category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,49,2,5,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,65,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
business,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,44,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0
citizen_journalism,0,1,0,0,0,0,0,21,0,0,0,0,3,0,1,0,26,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,1,1,1,0,0,1,0,0,49,0
comedy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
conferences_and_other_events,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,29,0
default_category,0,1,1,1,0,1,2,11,2,5,1,1,0,1,0,1,217,37,7,3,3,9,0,1,2,0,1,2,0,2,0,0,5,1,3,4,3,1,0,0,0,2,0,0,329,0
documentary,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,71,0
educational,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,133,9,1,2,1,2,0,0,1,0,1,0,0,1,2,0,1,0,1,1,1,0,0,1,0,2,2,1,127,0
food_and_drink,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,0
gaming,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,35,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,0
health,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,32,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,41,0
literature,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,6,38,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,0
movies_and_television,0,0,0,0,1,0,0,0,1,3,0,0,0,1,1,0,97,5,2,0,0,1,0,3,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,147,0
music_and_entertainment,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,136,3,10,0,1,2,0,0,0,0,0,1,0,6,0,2,3,0,0,1,0,0,2,0,0,0,0,1,147,0
personal_or_auto-biographical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,27,0
politics,0,0,0,0,3,0,0,115,0,0,1,2,1,0,0,0,238,55,0,0,1,9,1,0,0,3,2,0,0,2,4,0,0,0,18,5,2,7,0,1,0,0,1,0,116,5
religion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,188,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,55,0
school_and_education,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,21,0
sports,0,0,0,0,1,0,0,0,0,1,2,0,1,0,3,0,90,7,2,0,1,0,1,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,82,0
technology,1,0,0,0,0,1,1,3,0,0,1,4,0,0,0,0,226,14,1,1,2,4,0,0,0,0,1,0,0,0,2,0,0,1,3,0,2,0,1,0,1,0,3,1,127,0
the_environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
the_mainstream_media,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0
travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
videoblogging,2,1,3,1,0,0,0,1,1,2,0,0,0,0,0,0,82,9,2,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,2,128,0
web_development_and_sites,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
