category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43
art,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,60,2,0,0,0,1,1,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,1,1,0,0,0,55,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,23,0
citizen_journalism,0,0,0,0,4,0,1,1,0,0,1,2,1,0,0,34,6,10,0,0,1,0,0,21,0,0,0,0,0,0,0,0,10,0,3,0,0,1,0,0,0,0,0,35,0
comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,67,0
conferences_and_other_events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22,0
default_category,0,1,1,4,0,0,2,1,0,1,1,1,0,1,1,282,41,4,0,3,10,1,1,11,4,1,0,2,3,1,5,6,7,0,2,3,2,0,1,0,0,1,0,255,0
documentary,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,0,1,0,0,60,0
educational,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,161,9,1,0,2,2,0,0,1,0,0,2,0,1,2,1,1,2,3,1,0,0,0,2,0,0,0,0,97,1
food_and_drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,33,2
gaming,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,42,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,58,0
health,4,0,0,1,0,0,6,0,0,0,0,1,2,0,0,38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,1,0,0,26,0
literature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,22,0
movies_and_television,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,121,5,0,0,0,1,1,4,0,0,1,0,0,1,0,3,0,1,0,2,0,1,0,0,0,1,3,1,117,2
music_and_entertainment,0,0,1,0,0,3,0,2,0,0,0,0,0,3,0,168,3,0,0,0,2,1,0,0,0,0,0,2,6,0,4,3,1,0,1,0,0,0,0,0,0,0,0,121,0
personal_or_auto-biographical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
politics,0,0,0,1,1,0,0,0,3,3,8,3,2,0,0,257,55,18,1,0,10,0,0,116,1,2,4,0,2,3,0,0,6,1,3,0,0,8,1,0,0,0,1,82,0
religion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,0
school_and_education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0
sports,1,1,0,1,1,0,0,0,1,0,0,0,3,0,0,104,7,0,1,0,0,0,0,0,0,1,0,3,2,1,1,2,1,0,0,0,0,0,3,1,1,1,0,62,0
technology,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,263,17,3,0,1,4,0,0,3,0,0,2,0,0,0,0,0,2,3,2,0,0,0,1,0,0,0,0,96,2
the_environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
the_mainstream_media,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0
travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,0
videoblogging,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,109,10,1,1,0,2,0,1,1,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,1,1,0,2,101,2
web_development_and_sites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0
