category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37
art,0,1,1,0,0,0,3,0,0,0,9,67,0,0,0,2,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,43,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
business,0,1,0,0,0,0,0,1,0,0,0,54,1,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
citizen_journalism,0,0,0,1,0,0,0,0,1,0,1,55,0,10,0,6,0,0,5,0,0,21,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,26,0
comedy,0,0,1,0,0,0,0,1,0,1,4,78,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,50,1
conferences_and_other_events,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
default_category,2,2,0,1,1,1,0,0,0,2,13,360,0,6,3,42,2,0,0,1,0,11,8,3,2,1,2,3,0,3,1,0,0,4,1,1,0,184,0
documentary,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,3,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,45,0
educational,0,0,0,0,0,1,0,0,0,0,3,195,2,2,3,9,0,0,0,0,3,2,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,67,2
food_and_drink,1,0,0,0,1,0,0,0,0,1,1,43,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0
gaming,0,1,0,0,0,0,0,1,0,0,5,46,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,48,0
health,1,0,0,0,0,5,0,0,0,0,0,48,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,1,18,3
literature,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,39,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0
movies_and_television,1,0,0,0,0,0,0,0,0,1,9,154,2,0,0,6,0,0,0,5,0,0,4,0,1,0,0,1,1,0,3,0,0,0,0,1,1,78,1
music_and_entertainment,0,0,4,0,0,0,2,1,0,0,16,191,1,0,0,3,0,0,0,1,0,0,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,91,0
personal_or_auto-biographical,0,0,0,0,0,1,0,0,0,0,0,36,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
politics,0,0,0,8,1,0,0,1,6,0,2,301,1,18,0,55,0,1,1,0,5,118,0,0,0,1,0,3,3,4,0,0,1,1,0,3,0,56,2
religion,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
school_and_education,0,0,0,0,0,0,0,0,0,0,1,46,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
sports,0,1,0,0,0,1,0,0,0,0,4,116,0,0,0,7,0,1,1,0,0,0,4,3,0,3,1,1,1,0,1,0,0,0,0,1,1,49,3
technology,0,0,0,0,0,1,0,0,0,0,0,299,2,3,1,18,1,0,1,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,66,0
the_environment,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
the_mainstream_media,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
travel,0,1,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17,0
videoblogging,0,1,0,0,1,0,0,0,0,0,5,137,3,1,0,10,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,76,0
web_development_and_sites,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
