category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,0,0,0,0,0,0,10,86,1,2,0,0,0,0,0,0,2,1,1,0,1,0,1,3,0,0,25
autos_and_vehicles,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
business,0,0,0,0,0,0,0,61,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,14
citizen_journalism,0,0,0,0,0,0,2,77,0,6,1,0,5,0,0,21,0,0,0,0,0,1,0,0,0,0,18
comedy,0,0,0,0,0,0,5,93,0,2,3,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,34
conferences_and_other_events,1,1,0,0,0,0,0,57,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
default_category,0,3,4,0,0,1,15,417,1,48,5,3,0,1,3,12,0,1,1,4,2,1,1,1,2,0,134
documentary,0,0,0,1,1,0,4,60,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,36
educational,0,0,0,0,0,0,3,225,0,9,4,3,0,1,0,2,1,0,0,1,0,0,0,0,0,0,46
food_and_drink,2,0,0,0,0,0,1,54,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17
gaming,0,0,0,0,0,1,6,58,0,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,38
health,0,0,0,0,1,0,0,59,0,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,14
literature,0,0,0,0,0,0,0,33,0,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
movies_and_television,0,0,0,1,1,1,13,186,0,6,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,56
music_and_entertainment,0,1,0,1,0,0,18,219,1,3,0,0,0,0,2,0,5,1,0,0,0,0,1,2,1,1,65
personal_or_auto-biographical,0,1,0,1,0,0,0,38,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
politics,0,0,1,0,0,3,2,367,0,55,0,0,1,0,0,118,0,0,0,4,0,1,0,0,0,1,39
religion,0,0,0,0,0,0,1,233,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
school_and_education,0,0,0,0,0,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
sports,0,0,0,0,1,1,6,137,0,7,1,0,1,1,3,1,0,0,0,0,1,2,0,0,0,0,37
technology,1,0,0,0,0,0,0,332,0,19,0,2,1,1,0,3,0,1,0,0,0,0,0,0,0,0,41
the_environment,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
the_mainstream_media,0,0,0,0,0,0,0,71,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
travel,0,0,0,1,0,0,1,32,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
videoblogging,1,0,0,0,1,0,6,160,1,10,1,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,56
web_development_and_sites,0,0,0,0,0,0,0,27,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4
