category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31
art,0,0,0,0,0,0,0,0,0,0,15,0,0,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
business,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,4,0,0,2,1,0,0,1,0,0,0,0,67
citizen_journalism,0,1,0,0,2,1,0,0,0,0,24,0,0,1,0,0,0,1,0,0,0,0,2,8,0,2,3,1,2,3,0,0,80
comedy,0,0,1,0,0,0,0,0,0,1,22,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,87
conferences_and_other_events,0,0,0,0,0,0,1,0,0,0,20,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
default_category,1,3,2,0,0,0,4,4,0,1,77,2,1,68,1,1,0,0,0,2,1,0,1,2,0,2,2,0,0,0,0,1,488
documentary,0,1,0,0,0,1,0,0,0,0,11,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
educational,2,0,0,0,0,1,0,0,0,2,73,1,0,9,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,203
food_and_drink,0,0,0,0,0,0,0,1,1,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
gaming,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,78
health,0,1,0,0,0,0,0,0,0,0,40,0,0,8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,35
literature,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,72
movies_and_television,0,0,0,0,0,0,0,0,0,1,35,0,0,35,16,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,180
music_and_entertainment,1,0,0,0,0,0,0,1,0,0,9,3,2,75,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,229
personal_or_auto-biographical,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
politics,0,0,0,4,5,17,0,0,3,0,265,0,0,2,0,0,5,0,0,0,1,0,12,36,4,10,7,4,2,12,4,0,202
religion,1,0,0,0,0,0,0,0,0,0,93,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
school_and_education,0,0,0,0,0,0,0,0,0,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
sports,0,0,0,2,0,1,0,0,4,0,31,0,0,30,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,2,0,121
technology,0,0,1,0,0,1,4,0,0,0,108,2,0,13,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,267
the_environment,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,38
the_mainstream_media,0,0,0,0,0,0,0,0,0,0,35,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,48
travel,0,0,0,0,0,1,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
videoblogging,0,0,0,0,0,2,1,1,0,0,13,0,1,23,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,197
web_development_and_sites,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30
