category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20
art,0,0,100,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,30
autos_and_vehicles,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
business,0,0,53,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,29
citizen_journalism,0,1,84,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0,1,33
comedy,0,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33
conferences_and_other_events,0,1,48,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
default_category,0,5,379,4,2,6,8,2,4,3,1,0,3,0,0,2,0,3,1,2,0,239
documentary,0,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50
educational,0,0,199,1,2,0,6,0,2,0,0,0,0,0,3,0,0,1,0,0,0,82
food_and_drink,0,0,56,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,18
gaming,0,1,69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38
health,0,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
literature,0,0,50,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,29
movies_and_television,0,0,222,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,47
music_and_entertainment,0,0,205,1,0,3,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,107
personal_or_auto-biographical,3,0,23,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
politics,0,0,433,2,0,0,15,0,1,0,1,4,42,0,0,2,1,0,0,0,1,93
religion,0,0,199,0,0,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,53
school_and_education,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
sports,0,0,149,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,45
technology,0,0,282,1,1,2,7,2,3,0,0,0,0,0,0,0,1,0,1,0,0,107
the_environment,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
the_mainstream_media,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23
travel,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
videoblogging,0,0,132,2,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,103
web_development_and_sites,0,0,26,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
