cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,2,10,3,5,5,45,26,6,2,1,18,13,4,2,3,0,8,4,1,17,13,0,1,23,9,3
1,0,2,0,0,1,0,0,0,2,1,1,0,5,0,0,2,1,1,0,0,0,0,3,6,1,2
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,2,5,2,43,3,28,5,1,1,3,1,4,1,2,0,0,0,2,1,3,12,0,3,11,3,1
12,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,1,2,1,0,0,1,5,0,0,0,0,1,1,0,2,1,0,0,0,2,3,2,2
15,3,2,0,8,7,6,7,0,2,3,2,0,2,0,0,5,1,2,2,0,1,0,2,12,2,1
16,2,6,0,0,3,1,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,1,9,3,1
17,1,14,0,15,8,7,7,1,1,2,2,1,5,1,1,3,1,1,1,0,0,0,4,18,6,1
18,6,6,0,0,5,6,5,0,6,25,1,5,1,0,6,4,2,7,0,1,4,0,0,12,12,3
19,0,0,0,68,0,2,1,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,7,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,4,10,1,1,5,4,1,0,3,13,0,1,0,0,1,3,0,4,1,1,1,0,4,11,11,7
23,3,2,1,59,3,13,5,1,0,0,0,2,2,1,0,1,1,1,0,1,5,1,1,12,2,1
24,3,3,2,7,2,11,14,1,0,5,0,1,2,4,3,4,2,0,8,1,0,0,0,23,8,4
25,1,3,1,20,2,9,3,0,0,1,0,2,0,4,0,1,2,0,21,0,1,0,0,15,2,2
26,2,10,0,4,5,3,1,1,2,7,1,2,5,1,1,3,0,5,0,1,0,0,6,9,2,3
27,2,6,1,15,3,5,5,0,0,2,1,0,2,16,0,3,2,2,0,2,0,1,2,9,1,5
28,8,9,0,3,9,1,4,0,1,1,0,0,4,3,0,2,0,4,0,1,1,0,6,9,3,1
29,1,2,1,13,2,3,1,1,0,2,0,0,0,0,1,0,0,0,10,0,0,0,1,14,4,0
