category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,2,7,1,3,6,1,3,6,1,5,1,0,3,3,4,0,9,0,6,1,2,2,0,0,4,1,0,1,0,7,1,3,0,5,2,8,5,1,4,0,1,2,3,1,8,0,4,0,5,1
autos_and_vehicles,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
business,24,4,1,0,0,0,2,1,2,1,0,0,0,0,4,3,1,6,0,0,1,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,5,0,2,1,0,0,2,1,1,3,2,2
citizen_journalism,2,3,1,1,0,5,2,0,5,7,0,0,0,1,16,17,2,11,1,0,1,8,0,0,0,0,0,0,0,2,1,5,1,7,1,2,1,0,0,0,1,5,2,1,1,0,0,4,4,10
comedy,2,4,2,3,2,0,3,5,3,3,0,0,1,3,3,1,5,0,3,4,7,0,0,0,5,1,0,4,0,3,1,0,0,4,4,4,2,1,2,0,34,4,1,4,0,0,7,7,1,0
conferences_and_other_events,8,4,3,0,1,2,1,1,1,1,0,0,0,0,2,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,8,4,2,1,7,0,0,2,10,0
default_category,26,17,10,7,11,19,17,15,10,12,2,0,14,10,20,23,13,8,20,17,5,30,0,1,13,5,0,6,1,10,1,26,0,24,4,11,18,14,43,0,31,26,9,6,26,3,4,33,26,13
documentary,4,2,1,1,6,3,0,8,4,3,0,0,3,5,4,1,1,0,5,1,3,4,0,0,3,1,0,5,0,3,0,3,0,2,1,4,4,0,4,0,0,1,2,0,7,2,1,3,3,0
educational,32,9,11,3,0,4,15,5,6,5,0,0,2,0,4,11,1,1,4,11,2,17,0,0,2,1,0,0,0,1,1,30,0,9,1,3,10,1,13,1,13,7,6,3,10,0,2,12,24,2
food_and_drink,1,1,2,1,2,1,1,5,3,2,0,0,2,1,4,0,2,0,0,4,4,3,0,0,3,0,0,2,0,1,0,2,0,1,0,1,2,0,0,0,0,2,1,2,8,1,0,4,9,0
gaming,4,1,1,2,3,0,2,5,6,1,1,1,3,2,6,1,4,0,7,2,5,2,0,0,8,2,1,4,0,2,2,1,0,0,3,4,2,0,0,0,2,4,1,3,8,0,0,3,1,0
health,4,2,2,0,5,0,1,0,9,3,0,0,0,0,4,2,2,0,0,5,8,4,0,0,0,0,0,1,0,2,0,2,0,1,1,5,3,0,0,0,0,4,0,5,5,0,0,5,2,0
literature,1,1,0,0,0,21,1,1,0,0,0,0,0,0,0,6,0,0,0,6,0,12,0,0,1,0,0,1,0,0,0,1,0,0,0,0,7,11,1,0,0,0,5,0,1,0,0,0,0,6
movies_and_television,11,3,5,3,6,3,7,14,4,4,0,1,5,5,8,3,11,0,9,6,11,2,0,0,14,1,0,2,0,14,0,3,0,18,2,3,2,2,1,1,3,30,1,4,10,0,6,25,6,0
music_and_entertainment,1,2,2,11,5,1,3,17,3,0,2,0,13,11,3,3,8,0,25,1,3,6,0,0,22,2,0,5,0,10,1,4,0,2,7,11,4,2,31,1,6,2,1,1,54,0,8,12,13,2
personal_or_auto-biographical,3,0,0,0,2,0,0,1,2,1,0,0,0,0,0,1,0,0,3,2,1,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,4,0,0,1,0,1,10,0,0,0,10,0
politics,6,70,5,3,0,28,38,2,20,9,0,0,0,2,13,12,0,69,0,20,4,25,0,0,0,0,0,2,0,0,0,8,0,71,0,0,16,14,2,0,3,57,13,2,1,18,0,21,1,37
religion,14,6,67,0,0,2,11,1,1,0,0,0,0,1,0,3,0,0,5,2,2,0,0,0,2,0,0,2,0,1,0,6,0,3,1,1,2,0,17,0,67,1,0,0,11,0,1,1,28,0
school_and_education,7,1,2,1,0,0,4,0,3,0,0,0,1,0,0,7,0,0,0,3,1,3,0,0,1,0,0,0,0,1,0,7,0,1,0,0,2,1,1,0,1,1,0,0,1,0,0,1,2,0
sports,8,2,3,3,2,2,5,6,5,4,0,0,3,5,6,0,10,0,11,7,3,2,0,0,7,4,0,1,0,2,0,10,0,9,0,5,3,2,20,0,4,11,4,3,7,1,2,13,3,1
technology,54,26,11,0,0,10,40,8,6,0,0,0,2,0,6,15,2,2,2,10,4,15,1,0,3,0,0,2,0,2,1,51,0,25,0,0,17,3,5,0,10,13,4,1,13,1,0,9,24,3
the_environment,18,1,0,0,1,0,0,2,0,0,4,0,0,1,1,1,0,0,2,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,2,3,0
the_mainstream_media,14,9,3,0,1,2,10,2,1,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,3,0,9,0,9,0,0,2,0,1,0,1,2,1,0,5,0,0,1,4,0
travel,2,1,0,1,2,0,0,3,0,0,0,0,1,1,1,0,2,0,1,1,1,1,0,0,2,0,0,1,0,5,0,1,0,1,0,2,1,0,3,0,0,2,1,2,7,0,0,2,2,0
videoblogging,10,2,0,3,2,5,6,15,2,4,0,0,6,0,4,4,4,1,16,7,2,7,0,0,18,0,0,5,0,14,2,8,1,3,4,7,7,4,15,0,5,6,2,1,12,1,1,13,13,0
web_development_and_sites,4,2,1,0,0,1,3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,0,2,2,0,1,1,1,0,1,2,1
