category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,1,0,5,0,0,4,3,1,0,2,4,3,0,4,1,3,0,7,1,5,0,2,0,3,7,1,0,0,0,1,0,0,0,1,1,3,4,0,0,7,3,0,2,5,2,2,6,3,1,7,5,1,3,4,1,3,5,1,2,3
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
business,0,2,4,1,1,0,0,0,0,4,2,0,2,0,0,1,0,0,2,1,5,0,3,3,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,11,1,21,0,1,0,0,1,2,2,1,3,0,3,1,0,1,1
citizen_journalism,1,3,4,3,0,0,1,1,0,0,0,0,4,1,0,0,10,0,1,2,12,1,9,15,1,4,1,0,0,0,2,0,0,10,0,3,1,2,0,2,0,0,5,3,3,0,0,2,5,0,1,1,1,3,2,2,6,0,3,0
comedy,1,0,4,0,0,2,4,1,0,0,1,0,2,4,1,4,0,2,2,3,0,4,1,2,1,1,0,0,0,4,5,0,0,0,0,1,5,0,0,4,6,0,1,5,1,1,0,5,2,6,2,34,8,6,1,1,2,0,3,0
conferences_and_other_events,0,0,1,0,0,0,1,0,0,1,3,0,2,0,0,0,1,1,3,11,0,0,2,2,4,1,0,0,0,0,1,0,0,0,0,2,2,2,0,1,0,0,4,0,10,2,3,0,1,0,2,5,0,0,2,1,1,0,1,0
default_category,4,8,17,18,4,10,19,1,0,31,13,12,16,15,4,2,8,10,10,22,7,11,16,13,15,9,0,1,0,8,17,2,0,5,1,14,24,11,0,10,3,1,24,6,24,10,24,10,9,15,16,26,9,10,19,21,14,0,10,21
documentary,1,3,2,1,2,1,3,0,0,3,1,2,2,1,0,2,1,6,1,3,0,5,1,4,4,4,0,0,0,4,2,0,0,0,1,0,2,0,0,4,1,0,3,1,3,1,6,1,2,6,3,0,3,3,1,2,2,0,1,3
educational,1,6,10,2,0,1,7,1,0,7,7,1,11,2,1,2,5,1,10,24,1,0,8,4,6,4,0,0,0,0,4,0,0,1,1,3,4,5,1,4,0,0,28,3,27,4,10,4,3,2,25,11,2,1,2,8,2,0,6,12
food_and_drink,0,0,1,0,1,0,8,0,0,0,1,1,3,3,0,1,0,0,2,7,0,3,0,3,4,2,0,0,0,1,3,0,0,0,0,1,0,1,0,1,0,0,3,2,0,0,7,3,0,1,2,0,4,1,1,2,4,0,0,1
gaming,3,0,2,0,0,3,1,2,1,0,1,5,4,1,1,0,1,3,1,2,0,3,0,3,8,2,0,0,0,4,7,1,1,0,0,0,5,0,0,4,1,0,1,2,4,1,4,3,1,8,0,2,6,4,0,1,1,0,0,2
health,0,0,2,0,0,0,2,0,0,0,1,0,7,1,0,0,2,5,2,1,0,0,2,3,1,6,0,0,0,1,0,0,0,0,1,3,1,0,0,7,1,0,1,3,4,0,6,3,0,0,2,0,7,2,0,0,3,0,2,5
literature,0,4,1,16,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,13,1,0,0,1,2,0,0,0,12,12,0,0,0,5
movies_and_television,1,0,5,1,0,11,3,0,1,1,0,3,13,16,1,4,1,6,5,2,0,5,2,8,6,2,0,0,0,3,18,0,0,0,2,4,12,1,1,2,3,0,5,3,11,1,7,6,21,13,7,1,12,13,4,2,2,0,16,2
music_and_entertainment,5,1,4,2,0,8,4,1,0,25,0,11,6,13,2,7,1,8,2,8,0,10,2,3,27,0,0,0,0,6,5,2,0,1,0,1,24,9,0,8,3,0,3,0,1,1,37,12,0,22,5,6,5,11,0,3,1,1,1,3
personal_or_auto-biographical,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,6,0,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,1,8,0,0,1,0,0,0,3,1,7,1,0,2,0,0,1,1,0,3,1,0,1,1
