category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,0,3,0,1,7,3,2,0,4,3,2,1,5,0,3,1,5,3,1,2,2,0,1,4,3,1,1,0,1,8,1,4,0,0,2,5,0,2,0,1,0,0,5,0,3,3,4,1,0,2,0,0,1,3,1,1,2,0,6,3,0,1,0,3,4,0,5,2,0,1
autos_and_vehicles,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
business,3,0,2,0,0,0,1,1,0,0,0,0,3,0,1,0,3,1,0,1,2,0,0,1,1,1,0,1,15,1,0,5,3,0,17,0,0,0,0,0,0,3,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,1,2,0,0,0
citizen_journalism,6,0,2,3,0,1,1,10,2,0,6,4,7,0,1,1,2,4,4,1,16,0,0,0,1,1,0,0,5,3,0,1,15,0,2,0,0,1,0,1,1,2,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,11,0,1,0,1,0,3,1,1,1,0,0,2
comedy,0,4,0,2,0,3,0,0,3,0,3,2,3,4,0,2,1,0,0,6,2,0,0,4,1,0,0,0,1,6,1,2,1,3,1,5,0,3,0,0,0,1,0,2,6,0,4,34,0,3,0,0,1,2,2,4,1,0,0,1,4,1,0,1,3,2,1,4,2,1
conferences_and_other_events,0,0,1,2,0,2,0,0,0,0,1,3,1,0,0,5,3,2,2,0,2,0,0,0,1,0,0,0,5,0,0,4,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,9,0,3,2,0,0,2
default_category,9,6,6,10,6,19,6,5,2,9,15,8,13,14,13,15,8,23,15,9,9,0,0,11,12,15,3,3,18,9,14,35,19,6,23,12,1,5,1,3,0,7,17,11,3,9,9,28,0,11,0,0,0,12,3,18,9,7,12,8,6,4,2,24,14,10,16,3,1,6
documentary,3,1,2,2,4,2,0,0,3,2,1,1,3,1,1,4,2,4,2,3,5,0,0,7,1,1,1,2,1,1,0,2,1,2,3,3,0,0,0,1,0,0,4,2,1,2,4,0,0,1,0,0,0,1,2,1,1,0,3,1,4,0,0,2,0,1,2,1,2,1
educational,6,1,5,4,1,4,3,1,4,1,5,2,2,7,8,9,6,14,3,1,5,0,0,1,5,2,1,0,25,4,1,11,11,0,26,2,0,2,0,1,0,0,5,3,2,0,1,12,1,5,0,0,1,7,0,7,1,1,5,2,0,1,0,17,1,10,25,0,0,4
food_and_drink,0,1,2,3,0,0,0,0,1,1,0,0,4,2,0,6,1,4,1,3,3,0,0,3,1,0,1,1,2,2,0,0,0,2,0,1,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,1,3,0,0,4,0,1,0,0,7,1,2,2,0,1,0
gaming,1,2,2,2,2,5,0,0,2,4,0,0,2,0,0,1,0,0,0,5,2,1,1,4,1,0,2,0,1,4,0,1,0,1,4,6,0,1,0,4,0,2,4,6,0,1,3,2,0,2,1,0,1,2,2,1,2,0,7,3,3,1,0,1,1,1,0,1,1,1
health,2,0,1,9,0,0,3,0,0,0,1,0,3,3,3,5,1,2,0,5,2,0,0,0,2,0,0,0,0,4,0,0,1,5,4,0,0,5,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,2,0,5,0,0,1,7,1,0,0,1,0,1,2,1,0,0
literature,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,8,21,0,0,0,0,1,0,6,4,0,1,0,10,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
movies_and_television,0,3,8,4,4,9,1,0,2,7,18,20,3,4,0,8,3,3,3,10,6,0,0,10,2,0,0,0,2,9,2,0,3,2,10,7,0,5,0,1,0,0,2,6,6,1,11,2,1,5,1,0,0,2,1,14,6,0,6,1,3,1,0,4,14,5,4,1,2,1
music_and_entertainment,2,9,3,2,10,21,0,1,6,10,1,2,1,2,2,10,1,5,1,7,2,0,1,13,0,1,0,0,3,1,2,24,3,1,1,16,0,1,0,3,0,1,34,3,6,10,10,5,0,3,0,0,1,3,5,2,7,0,25,1,3,2,2,11,10,2,3,4,0,0
personal_or_auto-biographical,0,0,0,1,2,1,0,0,0,0,0,0,1,2,1,5,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,3,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,10,0,0,0,1,0,0
politics,17,3,5,15,0,1,44,28,0,0,36,15,6,14,14,2,12,7,20,4,15,0,0,1,59,17,5,18,6,3,13,2,12,0,5,0,0,2,0,0,0,5,0,7,0,1,0,3,0,43,0,0,0,8,1,15,0,68,0,0,1,0,0,1,2,5,16,0,1,14
