cluster,category,precision
0,travel,0.14285714285714285
1,citizen_journalism,0.3382352941176471
10,autos_and_vehicles,0.20454545454545456
11,conferences_and_other_events,1.0
12,religion,1.0
13,travel,0.15853658536585366
14,travel,0.2777777777777778
15,conferences_and_other_events,0.20425531914893616
16,videoblogging,1.0
17,food_and_drink,0.2
18,conferences_and_other_events,0.2558139534883721
19,food_and_drink,0.14285714285714285
2,travel,1.0
20,food_and_drink,0.1927710843373494
21,travel,0.1791044776119403
22,travel,0.20833333333333334
23,food_and_drink,0.16666666666666666
24,travel,0.2926829268292683
25,autos_and_vehicles,0.3333333333333333
26,citizen_journalism,0.45323741007194246
27,citizen_journalism,0.20353982300884957
28,school_and_education,0.358974358974359
29,citizen_journalism,0.5957446808510638
3,travel,1.0
30,food_and_drink,0.296
31,travel,0.1981981981981982
32,health,0.3288590604026846
33,food_and_drink,0.2692307692307692
34,health,0.4117647058823529
35,comedy,0.16417910447761194
36,travel,0.14925373134328357
37,autos_and_vehicles,0.2
38,citizen_journalism,0.2
39,art,0.5
4,gaming,0.4
40,citizen_journalism,0.3382352941176471
41,citizen_journalism,0.2826086956521739
42,travel,0.19642857142857142
43,conferences_and_other_events,0.25
44,citizen_journalism,0.3333333333333333
45,health,0.5047619047619047
46,autos_and_vehicles,0.15
47,autos_and_vehicles,0.14457831325301204
48,citizen_journalism,0.39416058394160586
49,food_and_drink,0.19540229885057472
5,food_and_drink,0.22641509433962265
50,religion,0.18181818181818182
51,travel,0.19607843137254902
52,travel,0.25
53,travel,0.19101123595505617
54,travel,0.16483516483516483
55,travel,0.17073170731707318
56,citizen_journalism,0.28
57,autos_and_vehicles,0.1917808219178082
58,citizen_journalism,0.6206896551724138
59,citizen_journalism,0.7040816326530612
6,travel,0.14864864864864866
60,health,0.20192307692307693
61,citizen_journalism,0.3469387755102041
62,travel,0.1935483870967742
63,citizen_journalism,0.17857142857142858
64,citizen_journalism,0.21518987341772153
7,food_and_drink,0.2222222222222222
8,autos_and_vehicles,0.5
9,food_and_drink,0.17647058823529413
