category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,212,146,43,15,20,71,292,124,110,255,174,163,284,68,217,229,311,99,73,86,1284,116,223,63,119,0
autos_and_vehicles,1,0,0,0,0,0,0,6,2,0,1,3,0,0,0,4,13,7,0,1,0,0,0,6,0,0
business,20,3,9,34,31,4,35,135,67,33,9,49,3,1,18,24,86,30,7,43,30,27,30,54,28,0
citizen_journalism,257,165,45,16,44,94,185,188,299,390,287,99,188,53,390,84,509,44,152,41,195,53,167,32,105,1
comedy,98,54,79,42,1,13,363,254,70,136,37,109,103,53,43,120,160,59,29,112,707,88,69,78,47,0
conferences_and_other_events,142,18,0,31,1,23,95,136,156,191,35,76,60,20,84,41,307,32,23,21,56,34,88,96,55,0
default_category,507,133,219,160,154,73,602,1309,543,720,283,382,382,187,411,491,1133,376,154,459,1732,286,321,290,238,2
documentary,177,93,38,65,21,48,243,150,27,304,122,99,159,104,139,80,58,62,80,35,587,74,172,21,169,0
educational,386,38,14,86,22,11,273,871,370,264,61,256,240,43,62,160,743,183,30,234,324,176,263,406,90,4
food_and_drink,15,18,19,2,2,7,182,86,22,17,12,28,37,13,2,143,55,71,2,104,68,123,13,35,25,0
gaming,135,20,112,121,11,21,183,43,62,209,26,119,121,52,11,116,142,72,29,112,399,81,163,28,114,0
health,35,60,0,34,48,65,50,391,50,105,79,49,35,16,232,19,548,38,8,8,118,15,103,38,61,0
literature,5,0,60,77,0,0,6,17,6,4,0,0,5,2,0,9,2,35,0,8,5,2,1,8,3,0
movies_and_television,323,201,71,74,20,135,1001,276,231,272,501,260,350,218,93,97,362,112,221,127,2027,138,983,68,356,0
music_and_entertainment,197,122,118,35,7,65,480,73,58,227,157,225,85,70,80,271,47,253,82,156,1802,100,138,28,80,2
personal_or_auto-biographical,7,0,6,7,2,0,19,3,9,3,2,32,7,1,1,17,17,41,1,28,41,11,16,12,2,0
politics,1059,226,18,258,376,142,547,6108,1025,5079,504,167,416,99,1756,151,2855,152,176,151,592,253,247,311,306,0
religion,2071,30,6,44,2,19,176,512,351,398,60,117,78,50,31,20,271,71,23,26,465,51,223,306,68,0
school_and_education,35,6,0,1,2,12,51,8,22,17,5,12,29,13,4,25,16,9,10,33,123,25,18,34,16,0
sports,83,39,51,125,65,40,349,409,140,75,73,148,104,69,68,180,211,173,44,100,632,89,161,88,131,4
technology,496,105,31,77,51,58,301,1190,951,532,52,218,217,80,194,387,1478,208,88,469,327,262,118,427,106,1
the_environment,0,17,11,0,8,3,85,970,10,4,15,15,26,14,3,100,64,36,5,40,21,35,2,28,5,0
the_mainstream_media,84,50,5,15,14,32,53,155,269,35,114,83,30,16,65,12,246,23,48,18,126,26,46,166,16,0
travel,4,16,20,31,50,12,64,19,5,2,13,13,32,6,0,31,24,32,14,30,152,23,26,9,8,0
videoblogging,65,53,133,96,24,14,221,269,37,33,72,122,68,45,52,106,106,167,73,125,456,91,67,70,55,1
web_development_and_sites,58,1,5,6,10,1,53,59,45,40,3,24,15,8,1,24,75,31,3,66,33,4,10,80,10,0
