category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,87,91,68,48,125,243,94,228,251,69,52,165,286,215,174,112,217,15,6,37,139,1264,52,168,7,73,107,194,139,71
autos_and_vehicles,0,1,0,0,6,2,0,0,0,0,0,5,2,1,1,3,0,0,0,1,6,0,12,0,0,0,0,4,0,0
business,1,43,1,11,130,37,14,30,33,4,6,51,55,20,9,26,18,34,31,9,110,29,37,4,0,9,28,19,3,8
citizen_journalism,133,40,49,41,188,122,76,167,393,91,75,98,534,257,286,83,393,14,26,47,282,186,24,28,3,3,45,78,166,155
comedy,26,114,45,20,240,289,31,65,136,12,79,116,106,114,37,119,42,46,7,96,105,666,73,51,1,60,84,71,44,29
conferences_and_other_events,21,22,18,30,138,65,18,84,191,23,38,84,296,150,33,50,85,30,0,0,225,55,23,20,0,15,35,33,16,23
default_category,81,477,180,147,1280,498,127,317,719,63,154,424,887,536,286,420,419,165,81,263,685,1620,354,238,15,196,280,363,119,153
documentary,69,36,106,88,146,177,93,174,304,43,102,107,56,172,122,116,140,68,5,33,38,569,5,18,11,49,73,45,82,80
educational,14,236,39,47,867,287,58,262,263,12,51,269,588,426,60,172,66,88,5,24,658,303,201,212,4,17,173,147,31,30
food_and_drink,1,102,13,26,84,164,11,12,16,7,28,36,41,16,12,58,1,2,1,29,40,68,25,30,0,15,122,131,9,1
gaming,9,113,48,43,40,120,59,157,210,21,52,115,156,135,26,118,11,121,9,132,75,370,3,98,3,55,81,76,17,29
health,1,9,16,29,392,43,30,102,101,65,18,51,170,37,79,39,232,34,10,3,61,110,449,22,0,1,14,20,59,8
literature,0,11,2,0,10,8,5,1,4,0,1,0,3,5,0,15,0,84,0,67,13,3,0,6,0,2,5,10,0,0
movies_and_television,128,131,213,137,284,692,198,971,268,128,200,266,381,321,504,451,94,76,16,70,234,1939,38,123,7,38,133,71,189,216
music_and_entertainment,39,159,68,38,61,372,39,134,225,65,68,235,33,200,157,319,77,36,5,106,70,1718,25,38,24,259,99,92,116,81
personal_or_auto-biographical,0,30,1,1,3,17,0,15,3,0,0,41,2,7,2,30,1,6,2,11,15,36,16,7,0,18,11,9,0,1
politics,178,155,93,107,6082,423,194,254,5076,135,258,198,1859,1048,507,200,1760,260,352,28,1065,563,1231,143,2,17,252,145,213,176
religion,17,27,48,28,512,159,31,232,398,18,64,135,297,2113,57,109,31,44,2,5,545,440,13,23,0,6,50,18,25,22
school_and_education,2,33,12,7,9,54,6,17,17,12,8,14,9,38,5,21,4,1,2,3,45,112,9,18,0,1,25,26,6,10
sports,21,99,67,46,406,308,125,158,73,36,48,155,111,84,72,183,68,128,2,89,196,604,131,66,4,42,90,155,38,46
technology,24,473,78,40,1183,256,84,117,536,52,88,266,1366,506,51,240,195,78,33,30,1203,281,229,154,4,84,265,327,96,85
the_environment,0,40,10,7,491,80,4,2,4,2,519,17,57,0,15,12,3,1,6,10,33,16,7,21,1,9,35,98,12,5
the_mainstream_media,11,18,16,4,150,35,24,42,33,31,20,94,169,87,114,42,69,16,6,5,395,117,104,9,3,6,23,12,47,45
travel,6,30,5,7,24,55,6,26,2,10,16,15,16,4,13,37,0,31,48,25,10,146,12,11,0,6,23,26,11,15
videoblogging,20,132,40,30,254,198,27,66,32,13,32,135,70,67,71,147,51,103,27,156,83,433,46,42,8,61,90,66,50,71
web_development_and_sites,0,68,7,1,60,49,8,11,38,1,10,22,49,67,5,31,1,6,8,10,94,34,40,13,0,1,4,23,1,3
