category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,168,50,0,138,183,1,85,32,68,39,104,20,160,151,155,110,165,137,114,1217,71,65,59,49,14,91,223,312,22,70,34,90,108,117,19,78,58,47,104,69
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,0,0,0,0,1,7,0,1,0,13,0,0,0,1,0,3,0,6,0,0,1,0
business,10,18,0,3,10,5,1,31,1,0,21,5,48,29,23,130,3,10,27,28,14,14,9,65,29,10,8,83,5,8,4,7,52,12,30,27,4,11,11,4
citizen_journalism,284,43,1,164,82,5,129,28,51,39,78,37,94,281,223,183,22,285,39,169,64,70,11,23,11,23,172,512,9,150,42,103,302,55,42,44,3,40,79,91
comedy,32,80,0,43,207,33,25,56,46,25,120,71,108,106,82,233,50,20,84,618,30,26,61,71,19,58,62,154,14,29,89,27,62,34,1,37,47,11,41,12
conferences_and_other_events,62,23,0,16,41,15,21,11,18,21,43,9,77,144,124,135,18,41,33,47,17,45,13,69,14,25,61,304,0,23,0,16,168,16,2,30,5,30,61,23
default_category,277,127,2,119,343,71,75,304,181,86,342,95,377,512,427,1263,239,321,278,1490,83,162,171,246,111,162,300,1123,59,152,222,99,533,219,147,271,168,136,188,66
documentary,96,52,0,81,164,46,64,8,103,70,105,23,101,222,132,142,17,84,72,519,88,79,30,16,45,38,142,57,15,78,24,78,27,5,30,33,41,77,79,44
educational,41,69,4,30,124,11,13,167,40,41,119,38,254,165,212,861,204,61,174,272,49,116,73,311,78,69,173,737,4,29,31,24,387,100,22,163,6,28,299,11
food_and_drink,2,48,0,9,88,2,0,69,13,9,57,22,30,6,10,80,29,2,122,59,10,1,36,29,2,55,14,52,0,1,34,10,23,92,1,40,6,12,19,7
gaming,7,44,0,17,82,12,10,44,49,19,104,23,116,131,76,20,95,13,81,321,61,63,76,17,114,28,148,139,13,28,159,16,69,51,11,34,50,42,98,21
health,208,18,0,57,27,1,1,6,16,18,38,0,48,79,28,386,18,59,13,96,30,72,3,55,33,11,45,547,0,8,10,46,33,9,48,27,0,29,17,65
literature,0,0,0,0,5,33,0,6,2,1,5,0,0,3,5,7,4,0,2,2,5,0,2,8,57,6,2,3,5,0,53,0,5,0,0,33,1,0,0,0
movies_and_television,57,219,0,188,571,48,113,65,211,205,447,46,251,162,165,262,127,206,134,1724,195,643,80,40,37,69,234,363,12,213,59,341,251,20,22,51,26,126,406,128
music_and_entertainment,55,110,2,113,296,17,37,37,66,20,257,71,220,177,188,46,38,76,100,1580,36,101,134,27,26,73,69,47,51,80,77,100,60,32,8,151,234,34,47,65
personal_or_auto-biographical,1,7,0,0,8,1,0,16,1,0,17,0,32,2,4,1,7,2,10,16,0,6,18,12,5,7,9,16,2,1,29,1,5,5,2,27,11,1,3,0
politics,1327,122,0,215,281,58,172,120,94,117,176,148,166,4537,950,6042,138,715,242,514,168,63,26,601,200,70,646,2864,2,175,42,223,678,88,375,160,9,105,210,135
religion,15,46,0,25,83,0,16,15,48,53,92,6,112,245,1518,510,22,44,52,408,33,77,13,123,44,21,239,275,3,21,5,32,450,7,2,67,5,21,702,19
school_and_education,2,11,0,6,29,0,2,23,13,10,23,0,14,9,21,8,17,3,25,96,6,10,12,25,1,13,13,17,0,10,12,4,21,14,2,15,0,7,20,12
sports,40,96,4,38,220,54,22,68,67,37,140,14,144,57,42,395,64,54,87,524,65,75,40,94,71,55,73,210,5,45,104,45,125,108,64,107,31,45,84,38
technology,111,82,1,92,129,12,26,403,80,55,204,29,225,416,429,1180,147,122,259,253,67,48,69,363,67,87,149,1474,14,87,14,20,945,256,50,178,70,31,128,52
the_environment,0,34,0,12,17,0,0,27,11,4,7,544,14,3,0,485,20,9,34,14,1,1,12,24,1,75,2,62,1,5,12,9,12,24,8,22,4,2,2,3
the_mainstream_media,21,27,0,47,24,12,9,5,15,11,30,13,84,16,71,150,9,73,24,103,16,20,13,229,4,10,31,238,4,46,5,89,204,4,10,16,4,2,27,31
travel,0,28,0,11,33,1,4,16,4,6,29,1,12,0,3,16,12,4,23,133,4,22,15,9,31,8,6,22,2,14,27,9,5,24,62,21,3,3,3,10
videoblogging,37,65,1,50,130,40,18,55,38,13,104,36,125,22,30,238,40,29,88,360,19,46,77,65,76,53,19,101,49,72,130,56,33,27,24,111,48,24,59,13
web_development_and_sites,0,10,0,1,17,1,0,59,8,6,24,3,22,27,41,59,12,6,4,27,6,4,10,57,6,5,18,76,0,3,7,0,49,18,10,36,1,1,30,1
