category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,24,42,38,17,98,18,32,157,51,70,72,185,0,34,66,63,16,57,28,83,82,4,2,1162,23,36,145,96,31,11,85,99,24,43,149,0,59,163,45,164,139,69,220,24,64,18,47,150,68,181,70,43,19,84,27
autos_and_vehicles,0,0,0,0,0,0,5,0,0,4,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,1,2,0,11
business,16,7,0,13,12,2,49,7,6,24,14,18,0,8,1,13,5,9,4,46,0,29,29,27,2,90,26,3,31,5,28,11,15,11,20,0,9,10,5,3,10,4,8,14,39,4,0,17,14,39,7,7,8,1,30
citizen_journalism,10,27,38,21,81,20,10,66,15,38,53,73,0,33,49,66,22,11,27,271,25,25,11,149,33,145,272,139,27,4,32,66,17,36,107,2,2,275,2,22,267,90,166,49,37,34,88,203,61,415,149,44,8,130,20
comedy,26,28,26,17,32,1,35,165,54,23,81,67,0,36,45,25,27,60,77,42,32,1,20,581,11,170,105,25,58,27,60,106,8,18,54,0,46,32,54,50,17,12,58,70,40,64,2,47,25,77,28,25,45,25,64
conferences_and_other_events,27,15,20,15,49,5,27,22,17,22,25,29,0,16,18,41,0,11,0,127,2,0,15,39,5,55,143,13,11,15,53,56,57,28,78,0,8,61,12,18,41,23,59,82,77,7,4,96,16,192,23,13,2,21,10
default_category,81,115,86,79,151,96,169,305,104,222,263,335,1,70,172,149,82,172,187,422,77,75,109,1392,94,726,500,72,301,63,184,204,314,134,201,10,102,270,164,235,312,62,299,158,509,86,38,379,77,567,150,73,77,73,199
documentary,29,8,67,49,89,28,11,141,44,34,80,25,0,42,100,77,25,28,22,22,53,5,25,467,47,103,216,57,8,41,21,74,2,86,24,0,17,96,40,17,84,43,134,14,26,21,18,127,86,40,79,60,9,64,2
educational,32,59,34,78,219,19,191,70,26,101,85,144,0,29,36,115,4,71,29,272,13,4,78,250,49,255,160,18,165,10,148,173,277,29,210,4,45,41,16,202,55,11,163,281,602,34,8,157,42,271,30,17,48,12,118
food_and_drink,1,47,8,31,12,4,17,54,11,31,31,127,0,12,13,2,8,32,28,14,4,1,2,50,1,59,6,6,70,0,30,79,3,18,23,0,42,1,12,29,4,7,13,8,20,24,0,8,9,27,1,8,35,0,18
gaming,27,15,18,22,94,3,6,66,33,27,84,71,0,24,48,59,19,75,149,57,8,8,114,300,40,7,128,9,44,9,29,53,10,42,48,1,46,6,52,95,13,20,142,26,7,23,7,67,58,119,29,11,22,10,2
health,8,0,18,14,16,39,27,27,2,27,29,17,0,10,14,72,0,2,7,24,7,10,33,86,6,119,74,55,6,0,12,17,3,29,75,0,3,206,1,18,57,65,45,18,267,0,27,25,30,124,8,22,6,1,397
literature,0,0,1,3,0,0,7,2,2,35,4,6,0,0,2,0,22,2,43,5,0,0,56,2,0,6,3,0,5,25,0,3,0,0,0,0,0,0,1,4,0,0,2,1,0,0,0,5,5,3,0,0,0,0,0
movies_and_television,40,55,200,17,380,12,28,444,205,38,308,65,0,169,198,629,45,73,45,195,125,16,37,1601,83,154,156,84,60,41,114,342,8,126,151,0,67,57,32,122,207,125,215,53,27,45,44,145,182,254,210,303,42,113,30
music_and_entertainment,112,14,19,8,43,15,12,249,108,142,198,78,0,89,64,74,61,129,68,37,112,5,27,1470,45,5,171,32,37,19,73,137,2,35,45,9,81,52,226,37,74,65,71,30,3,68,22,180,35,14,80,80,37,37,22
personal_or_auto-biographical,15,0,0,7,3,0,8,6,0,22,13,9,0,3,1,6,2,16,29,3,0,2,5,15,15,1,2,0,16,1,12,5,1,1,7,0,4,1,13,7,1,0,9,2,2,0,0,3,0,0,1,1,5,0,10
politics,21,91,114,138,200,35,518,211,110,136,108,140,0,90,93,60,0,22,39,548,74,349,205,452,42,3407,4486,152,120,52,94,158,180,104,237,0,24,1320,6,138,707,131,639,144,2618,141,87,916,165,1592,168,141,49,170,1032
religion,21,29,51,12,657,2,33,64,11,52,74,14,0,33,41,74,5,11,3,276,25,2,44,383,19,132,238,7,16,0,120,106,11,20,116,0,14,14,6,21,39,16,217,457,375,4,8,1287,31,193,21,25,15,16,8
school_and_education,7,11,10,9,11,0,19,21,3,6,18,23,0,6,10,11,0,11,12,17,6,2,1,93,2,0,9,0,23,0,7,26,6,7,6,0,6,2,1,18,4,12,13,23,8,0,1,12,5,2,10,2,6,2,6
sports,17,42,35,23,68,71,70,166,38,93,102,142,0,61,64,75,15,38,89,94,21,2,75,490,50,106,51,23,68,49,55,115,18,44,107,4,29,38,39,64,53,35,66,33,278,15,30,39,63,65,43,21,48,20,91
technology,38,85,54,138,92,20,244,80,66,126,159,323,0,49,70,44,23,65,6,799,19,33,66,228,62,1065,404,85,404,11,138,125,579,33,269,1,51,111,72,146,113,50,149,249,104,24,11,336,64,649,85,14,30,26,137
the_environment,0,12,4,5,1,5,20,7,2,15,4,86,0,3,10,1,1,12,10,9,0,6,0,13,2,484,3,13,27,0,6,21,3,5,21,1,19,0,10,20,8,1,2,3,1,539,5,0,1,41,5,5,37,0,8
