cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,1,4,2,10,1,0,2,0,4,1,1,0,2,3,2,4,0,6,19,0,1,1,6,30,11,3
1,6,26,0,3,3,11,7,2,2,10,0,8,1,2,2,3,4,4,0,4,2,0,9,19,10,2
10,1,4,0,37,11,8,8,1,0,1,3,1,4,7,0,6,0,0,2,3,0,0,5,17,4,2
11,5,1,1,18,12,45,14,1,1,2,2,4,4,6,0,0,5,3,0,2,19,1,0,18,4,0
12,1,1,1,52,1,1,0,0,5,0,1,0,1,10,0,1,0,1,0,3,0,0,0,10,2,1
13,4,3,0,0,2,0,0,0,1,26,0,1,0,0,0,1,0,0,0,0,0,0,1,5,11,4
14,3,14,1,19,3,8,8,1,0,6,0,19,1,4,0,2,2,4,0,1,0,0,7,15,3,4
15,1,31,0,2,4,7,4,1,1,6,0,8,1,1,0,1,4,1,0,2,2,0,0,10,2,5
16,2,0,0,5,4,5,5,0,2,8,2,7,0,2,3,1,0,2,1,1,0,0,0,15,5,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
18,1,2,0,17,2,8,9,1,1,3,0,0,0,5,1,3,0,2,1,3,1,0,2,10,1,6
19,2,0,2,5,0,8,9,0,2,3,0,0,0,0,1,2,0,1,0,1,1,0,1,17,3,2
2,6,0,0,0,7,7,1,2,2,23,1,4,0,3,0,0,1,1,0,0,0,0,0,9,7,3
20,3,3,1,31,1,13,5,1,0,7,0,5,0,6,0,0,4,2,0,0,1,0,3,8,1,5
21,0,0,0,66,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,8,2,0
22,2,2,0,134,4,11,5,0,1,0,0,0,23,1,0,2,0,0,0,2,2,0,3,12,0,0
23,1,7,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,4,1,1,0,1,6,2,1
24,25,7,0,1,13,10,5,2,4,39,0,15,7,0,3,1,3,11,1,1,1,0,15,32,12,5
25,0,2,1,5,1,38,18,2,1,1,1,4,2,1,2,3,2,3,1,8,2,0,2,19,3,2
26,1,3,0,5,1,13,4,0,1,2,3,2,0,1,1,2,0,1,0,1,1,0,1,6,3,1
27,0,3,0,2,4,3,9,2,1,1,11,2,1,0,0,0,0,0,0,4,12,0,0,7,2,0
28,4,5,0,10,5,13,6,0,0,1,0,11,2,7,1,3,5,3,1,3,2,0,3,10,2,2
29,3,25,3,1,10,17,8,2,1,14,0,19,2,4,1,11,6,5,0,3,2,0,4,23,13,4
3,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
30,1,5,0,0,2,1,0,0,0,6,0,3,0,1,0,0,2,1,0,1,2,0,1,6,3,2
31,0,1,1,8,0,7,6,0,1,2,0,1,0,1,2,0,4,0,0,0,0,0,1,9,5,0
32,1,7,0,2,2,2,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,7,7,2
33,4,8,1,10,5,8,3,1,0,1,1,2,2,9,0,0,4,0,0,0,2,0,2,9,2,3
