category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,3,2,4,4,9,7,3,3,2,3,2,45,0,3,2,0,9,1,11,1,0,0,2,1,7,10
autos_and_vehicles,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
business,4,3,0,2,3,13,3,5,7,0,1,4,0,3,3,2,5,3,2,2,5,0,6,1,7,2
citizen_journalism,3,1,1,3,15,3,7,5,5,5,0,4,0,0,1,2,10,14,17,2,17,0,0,1,13,2
comedy,1,4,2,2,6,7,2,13,11,6,10,24,0,4,2,3,21,1,7,0,0,0,1,2,6,11
conferences_and_other_events,2,4,0,4,2,7,0,4,3,0,0,4,0,3,0,4,10,1,7,2,0,0,2,1,12,2
default_category,36,13,8,30,33,51,13,31,33,17,30,85,2,20,22,17,37,26,25,12,10,2,17,15,43,36
documentary,6,9,2,4,3,5,10,1,5,0,7,15,0,4,2,1,6,3,8,2,1,0,1,6,2,6
educational,10,3,1,14,15,32,12,8,29,2,2,11,1,24,14,9,14,2,10,2,2,0,14,3,53,9
food_and_drink,3,1,0,1,13,8,4,4,2,1,6,5,0,1,3,0,12,1,2,0,0,0,3,1,1,6
gaming,4,3,1,2,8,8,3,2,0,15,9,19,0,3,3,1,10,2,4,4,0,0,0,0,3,6
health,0,1,0,1,7,4,0,25,3,0,1,8,0,0,0,1,2,2,5,0,0,0,1,0,22,5
literature,2,0,0,3,6,1,2,0,2,0,16,1,0,1,0,2,2,12,0,7,0,0,0,15,0,11
movies_and_television,1,33,3,1,10,20,2,14,16,6,9,35,0,8,0,2,58,3,18,2,0,0,6,10,4,11
music_and_entertainment,19,8,10,9,5,11,3,1,4,23,3,100,3,8,3,3,38,0,8,3,0,0,6,4,4,46
personal_or_auto-biographical,12,0,0,2,1,4,1,0,0,4,3,5,0,1,2,2,4,0,0,2,0,0,1,0,2,5
politics,5,2,0,3,33,10,20,170,53,2,7,1,0,10,6,21,6,81,48,1,65,0,8,10,30,3
religion,12,15,0,2,1,22,1,3,20,0,1,31,0,81,2,1,30,1,19,0,0,0,8,0,11,2
school_and_education,0,2,0,1,4,7,2,0,1,2,0,7,0,2,3,0,9,0,3,1,0,0,4,0,3,2
sports,8,4,1,6,14,6,2,12,11,12,6,33,1,3,2,4,16,7,8,1,0,0,5,5,18,14
technology,13,8,3,18,19,56,9,29,30,4,2,26,0,18,17,9,26,3,13,1,0,0,16,2,77,8
the_environment,4,1,1,3,3,1,0,0,9,1,1,2,0,0,1,0,1,1,1,1,0,0,15,0,3,0
the_mainstream_media,4,3,2,2,1,6,1,8,6,1,0,2,0,3,1,0,4,0,3,2,0,0,13,1,23,3
travel,2,1,0,1,3,2,1,1,0,2,6,7,0,0,2,1,4,3,1,0,3,0,1,0,2,7
videoblogging,12,6,5,10,8,17,2,6,6,15,13,30,1,4,6,7,21,4,5,4,2,0,4,11,7,37
web_development_and_sites,0,0,0,1,0,3,0,0,2,3,0,0,0,3,4,1,5,2,0,0,0,0,1,0,12,1
