category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,9,5,7,4,0,2,10,4,5,2,1,2,3,2,2,2,0,2,0,6,1,3,0,1,30,2,15,3,6,0,0,0,2,3,0
autos_and_vehicles,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,0,1,3,6,2,0,1,0,8,6,1,0,6,2,3,0,0,0,5,3,1,3,3,2,1,9,6,1,2,3,1,0,5,1,1
citizen_journalism,3,6,16,4,4,0,14,2,2,3,4,3,4,1,1,3,0,3,14,12,0,0,3,0,1,6,3,2,0,11,4,0,0,1,1
comedy,8,1,11,3,3,1,7,2,5,11,7,4,10,2,2,1,0,3,0,5,2,0,2,3,20,1,21,5,3,0,1,0,1,1,0
conferences_and_other_events,0,4,0,10,0,0,7,2,2,4,0,6,3,4,0,1,0,0,0,5,1,0,6,2,3,4,5,0,1,0,1,0,0,3,0
default_category,16,9,28,31,12,3,23,23,21,26,36,30,30,8,23,9,2,12,8,28,14,10,17,7,47,33,55,13,17,12,16,2,11,24,8
documentary,4,1,3,1,6,2,8,3,5,5,5,5,2,6,2,0,0,0,1,1,5,4,1,2,9,3,6,5,4,1,3,0,1,4,1
educational,7,2,18,41,10,0,7,15,18,24,2,15,10,1,10,6,0,1,1,25,3,2,6,14,7,12,10,0,1,0,5,1,14,7,1
food_and_drink,4,0,11,3,3,0,0,1,4,1,11,13,2,1,3,1,0,1,0,1,0,0,0,0,1,3,5,1,1,1,1,0,3,2,0
gaming,9,1,3,5,2,0,5,2,4,0,4,2,1,2,3,6,0,10,0,2,1,2,2,2,14,2,13,5,2,1,2,0,0,2,1
health,0,1,6,1,0,0,5,1,1,3,5,2,24,1,0,1,0,0,0,22,0,0,0,0,7,2,2,0,0,1,2,0,1,0,0
literature,1,0,2,2,1,0,0,2,0,2,22,1,0,0,0,3,0,0,0,0,10,2,1,0,1,0,1,8,1,0,21,0,0,2,0
movies_and_television,6,20,19,12,2,1,7,2,18,17,3,19,7,27,0,2,0,6,0,1,9,1,2,6,11,2,49,10,2,2,2,0,6,1,0
music_and_entertainment,19,9,5,4,3,8,5,6,12,8,4,12,1,5,3,2,0,21,0,4,4,0,4,5,71,7,39,3,36,0,1,3,2,13,3
personal_or_auto-biographical,3,1,1,0,1,0,0,1,3,0,3,1,0,0,1,1,0,1,0,2,0,0,3,0,3,3,5,1,5,0,1,0,0,5,6
politics,3,1,37,5,17,0,48,2,2,39,13,9,174,1,5,11,0,1,63,26,13,5,10,2,1,12,2,0,0,56,28,0,7,2,0
religion,0,6,2,13,0,0,10,2,13,22,0,25,3,12,1,0,0,0,0,4,0,0,1,76,23,8,21,1,1,0,2,0,6,11,0
school_and_education,2,0,5,7,2,0,1,1,3,1,0,1,0,2,2,0,0,0,0,2,0,0,1,2,5,2,12,0,0,0,0,0,2,0,0
sports,17,7,19,6,2,1,4,5,3,7,6,11,10,3,2,3,0,5,0,16,5,4,3,2,22,1,13,1,2,1,6,1,5,6,0
technology,3,4,15,47,10,1,19,13,33,25,3,15,26,6,14,9,0,3,0,43,2,2,9,8,21,14,16,3,10,1,3,0,15,9,5
the_environment,0,0,4,0,0,0,1,2,0,6,2,0,0,0,1,1,0,0,0,3,0,0,1,0,1,3,2,1,1,1,0,0,14,5,0
the_mainstream_media,0,2,0,7,1,1,2,2,2,5,1,2,10,1,1,2,0,1,0,17,1,1,1,2,1,2,4,1,1,0,0,0,13,5,0
travel,4,0,4,0,1,0,0,2,3,0,6,0,1,1,2,0,0,2,1,1,0,0,1,0,6,0,5,1,0,4,1,0,1,2,1
videoblogging,17,7,13,5,1,1,2,7,13,5,17,10,3,2,9,3,0,12,1,6,11,1,5,3,19,9,23,7,11,2,4,1,3,7,3
web_development_and_sites,1,1,0,7,0,0,2,2,0,2,2,3,0,0,4,0,0,1,0,7,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0
