category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,3,0,16,3,1,9,4,6,0,0,0,2,3,2,0,0,4,0,6,0,2,2,0,2,0,6,1,4,3,2,2,35,1,0,7,2,0,0,4,2
autos_and_vehicles,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,4,2,3,0,1,2,0,4,3,3,1,3,5,1,5,0,8,1,2,0,3,2,3,0,0,0,2,6,0,7,1,1,1,2,0,6,0,2,2,0
citizen_journalism,4,0,2,2,0,10,1,10,7,1,1,2,4,3,2,0,2,0,12,0,8,1,11,1,1,11,11,4,4,4,0,2,1,2,0,0,0,4,0,3
comedy,8,2,20,10,4,6,2,8,0,0,0,2,11,6,0,0,3,3,5,0,2,2,0,2,1,2,0,3,4,10,2,21,2,0,3,1,0,0,1,0
conferences_and_other_events,3,3,4,0,0,5,2,1,0,0,1,2,3,0,2,0,0,2,5,0,0,4,0,0,3,6,0,9,0,3,0,3,5,1,2,0,0,1,3,1
default_category,29,7,51,18,14,18,20,30,4,8,5,22,31,32,15,2,18,6,28,2,13,8,5,15,5,9,13,32,6,26,20,51,12,7,19,10,2,16,27,8
documentary,3,0,7,2,6,8,2,2,0,3,1,4,1,4,2,0,4,0,1,0,7,6,1,5,1,3,1,1,0,6,2,10,2,1,5,1,2,1,3,1
educational,15,3,11,3,0,7,15,14,1,1,0,8,8,2,5,0,15,12,23,1,10,2,3,3,3,3,0,41,1,28,9,8,10,1,3,12,0,3,7,5
food_and_drink,9,0,5,2,1,0,0,11,0,0,0,3,3,11,1,0,2,0,1,0,2,0,0,0,0,0,1,3,1,2,2,2,6,0,2,3,0,1,3,1
gaming,2,0,12,16,7,6,2,4,0,1,0,2,1,5,2,0,3,0,2,0,0,2,0,0,0,1,2,4,4,0,1,14,2,4,2,0,0,1,3,5
health,2,1,3,0,0,4,0,5,0,0,0,1,24,6,1,0,1,0,23,0,0,1,0,0,0,1,1,0,0,3,0,7,1,0,0,1,0,1,0,1
literature,1,2,2,0,6,0,2,1,0,0,0,0,0,24,0,0,0,0,0,0,2,0,0,11,0,0,0,1,1,2,0,1,1,1,0,0,0,20,2,3
movies_and_television,27,1,51,4,9,8,0,12,0,0,4,1,8,4,1,0,13,2,1,0,2,29,0,10,2,16,2,12,6,16,0,11,6,1,2,5,1,1,2,2
music_and_entertainment,13,1,41,12,2,7,6,4,0,3,3,5,2,3,4,0,9,2,4,3,3,6,0,3,1,6,0,2,21,6,3,76,2,3,40,2,4,1,17,2
personal_or_auto-biographical,1,1,5,3,0,0,1,1,0,6,0,3,1,3,3,0,1,0,2,0,1,0,0,0,1,0,0,0,2,0,1,4,3,0,3,0,0,1,3,1
politics,5,13,1,2,2,46,2,21,45,0,0,2,173,10,7,0,0,2,24,0,24,2,26,6,6,6,58,5,0,50,5,1,7,0,0,6,0,26,0,12
religion,26,1,21,0,0,10,2,3,0,1,2,3,3,0,5,0,9,74,4,0,0,12,1,0,0,6,0,12,1,19,0,21,7,0,1,5,0,1,13,0
school_and_education,1,0,11,2,0,0,1,7,0,0,0,1,0,0,1,0,3,2,2,0,1,2,0,0,0,1,0,7,0,1,1,5,1,1,0,2,0,0,0,0
sports,7,4,13,15,2,2,4,15,0,2,4,1,10,5,1,0,3,1,16,1,5,4,0,2,2,9,1,7,2,9,2,26,0,0,3,5,1,6,6,3
technology,16,5,17,4,1,19,12,14,0,4,1,12,24,2,5,0,32,4,43,0,8,7,2,2,4,9,2,41,4,25,11,18,14,0,9,14,0,3,10,9
the_environment,0,0,0,1,1,0,2,4,0,1,0,2,0,0,3,0,0,0,3,0,0,0,0,1,0,1,1,0,0,7,0,0,0,1,0,14,0,0,6,1
the_mainstream_media,0,0,5,1,0,2,1,0,0,2,2,2,9,1,1,0,1,2,17,0,1,2,0,1,0,1,0,7,2,6,1,1,0,2,2,13,0,0,2,2
travel,0,1,4,3,1,0,1,3,1,1,0,0,1,7,0,0,4,0,1,0,1,1,1,0,0,0,4,0,2,0,1,6,0,0,2,1,0,1,2,0
videoblogging,10,4,23,15,3,2,7,8,1,5,3,5,4,16,3,0,10,3,6,1,3,2,1,9,2,4,2,5,14,5,5,22,4,4,13,3,1,5,7,3
web_development_and_sites,2,1,1,3,0,2,2,0,0,0,0,1,0,1,2,0,0,0,7,0,0,0,0,0,0,2,1,6,0,2,4,0,1,0,0,0,0,0,0,0
