category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,8,2,0,0,0,10,2,25,0,1,0,3,0,2,1,0,3,2,0,4,3,3,2,6,1,0,6,1,0,1,0,3,1,1,2,0,5,1,4,1,1,3,0,2,2,1,0,1,3,2,2,7,4,1,1
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,2,1,2,1,2,0,1,1,8,1,4,0,4,2,1,0,0,2,0,3,3,1,0,4,0,0,0,4,2,1,2,0,1,0,1,1,2,3,0,3,2,1,0,1,1,3,0,1,0,5,3,3,0,0,3
citizen_journalism,1,0,1,1,0,1,3,0,1,1,0,6,15,1,1,0,1,0,0,7,4,0,3,2,3,0,3,3,4,0,0,0,0,2,2,2,6,7,0,10,1,4,0,2,0,5,1,1,4,3,9,1,9,0,0
comedy,11,0,0,0,0,5,1,15,2,1,0,3,0,3,1,0,0,0,6,3,4,1,0,9,6,0,0,8,0,2,2,2,0,1,4,0,0,5,1,0,0,7,0,0,1,2,1,1,6,6,0,22,2,2,0
conferences_and_other_events,0,0,0,0,1,0,2,3,2,0,0,4,0,0,0,0,1,3,0,5,6,4,1,4,0,0,1,2,1,1,2,0,1,0,0,1,5,0,0,0,4,2,0,0,0,0,4,2,0,3,1,0,4,0,4
default_category,21,8,8,12,8,23,18,32,19,6,7,8,8,12,6,2,16,7,12,10,23,10,8,19,30,2,9,18,13,6,11,2,6,4,11,7,18,17,5,10,10,15,2,15,17,10,9,6,10,21,12,33,9,7,16
documentary,4,3,2,1,0,3,3,5,2,1,0,5,0,0,1,2,1,2,4,2,4,1,0,2,3,0,3,3,1,1,2,0,2,5,0,1,0,2,4,1,5,4,0,1,2,6,0,2,0,1,0,6,3,2,1
educational,9,2,5,0,0,6,5,5,18,4,9,5,1,5,0,0,15,1,2,6,8,4,4,7,2,1,1,19,3,12,0,1,1,2,7,1,14,8,0,0,4,8,0,5,9,9,6,0,2,7,4,4,3,1,41
food_and_drink,8,1,0,0,0,3,2,1,3,2,0,0,0,2,0,0,0,0,3,3,11,2,1,3,4,0,0,1,0,0,1,0,0,1,2,0,0,6,1,1,1,2,0,1,2,3,0,0,0,0,5,2,0,0,0
