category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,3,0,1,1,0,0,1,0,6,0,2,0,5,0,3,2,1,3,7,0,2,5,1,1,0,1,0,0,3,0,0,27,0,1,0,0,0,2,1,0,3,1,3,5,0,2,1,2,9,0,5,10,0,2,1,1,0,3,2,1,3,1,0,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,0,0,1,2,4,3,2,2,0,1,1,0,2,3,1,0,2,0,1,0,1,2,1,1,3,4,2,0,0,4,1,1,0,2,1,0,0,2,2,1,0,1,0,1,4,0,0,0,2,3,0,1,1,7,0,3,0,1,0,0,1,6,1,0,1
citizen_journalism,5,0,0,0,0,0,10,4,0,0,4,0,1,14,10,3,1,1,3,0,0,2,2,3,0,5,0,0,8,0,2,1,0,1,4,0,0,1,0,1,3,0,1,3,0,2,0,0,1,2,7,1,2,2,1,1,1,4,0,1,4,3,5,0,1
comedy,1,0,1,0,3,0,0,0,3,0,4,0,3,0,0,3,1,1,11,3,1,8,0,6,0,8,2,0,2,0,4,15,4,2,0,0,0,4,1,0,1,0,0,8,1,7,1,0,22,0,2,2,1,0,2,0,1,2,2,0,1,2,0,0,0
conferences_and_other_events,3,0,3,2,6,0,0,0,0,0,1,0,2,0,5,0,4,0,2,0,0,2,1,0,1,3,3,0,2,0,0,3,0,4,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,1,0,0,3,0,1,3,3,0,0,3,4,0,1,1
default_category,7,1,11,12,6,4,7,11,12,3,6,6,10,8,20,10,7,4,19,14,12,23,7,26,8,18,7,2,10,4,11,33,9,16,14,1,2,14,3,4,7,9,10,15,10,12,3,18,32,0,10,20,5,18,2,13,4,7,14,1,19,18,4,6,5
documentary,2,0,0,2,1,0,0,0,5,2,1,1,0,0,2,1,5,0,0,3,2,4,2,3,2,3,0,0,1,0,0,6,2,3,1,0,1,0,1,0,1,4,0,6,2,2,0,1,6,0,1,3,3,2,0,4,1,4,5,2,3,1,1,0,1
educational,2,0,2,30,20,7,0,4,0,0,5,3,9,1,9,1,3,1,8,3,7,11,1,3,1,21,3,1,1,1,5,5,1,6,3,0,0,5,5,1,6,1,12,4,12,2,8,4,3,1,1,6,6,12,0,7,3,5,1,0,3,6,4,0,0
food_and_drink,0,0,1,0,1,0,1,2,1,0,5,0,0,0,0,2,0,0,7,3,2,7,0,0,0,0,0,0,0,0,2,1,0,9,1,0,0,1,2,0,1,1,0,3,0,0,0,1,2,0,8,3,2,4,1,0,0,0,0,1,2,1,0,0,0
gaming,1,0,2,1,1,0,1,1,1,0,2,1,1,0,2,2,1,7,2,3,1,4,4,3,1,0,0,0,0,0,0,10,4,2,1,0,0,0,1,0,4,1,1,4,3,9,0,2,11,0,4,3,0,1,0,2,0,2,0,0,1,1,1,0,0
