cluster,category,precision
0,conferences_and_other_events,0.25396825396825395
1,citizen_journalism,0.6666666666666666
10,the_mainstream_media,0.6666666666666666
100,travel,0.3333333333333333
1000,food_and_drink,1.0
1001,travel,1.0
1002,religion,1.0
1003,web_development_and_sites,1.0
1004,the_mainstream_media,1.0
1005,art,1.0
1006,comedy,1.0
1007,videoblogging,1.0
1008,web_development_and_sites,1.0
1009,travel,1.0
101,citizen_journalism,0.4
1010,conferences_and_other_events,1.0
1011,documentary,1.0
1012,art,1.0
1013,web_development_and_sites,1.0
1014,comedy,1.0
1015,health,0.5
1016,travel,1.0
1017,food_and_drink,1.0
1018,autos_and_vehicles,1.0
1019,travel,1.0
102,conferences_and_other_events,0.42857142857142855
1020,food_and_drink,1.0
1021,politics,1.0
1022,travel,1.0
1023,the_mainstream_media,1.0
1024,food_and_drink,1.0
1025,comedy,1.0
1026,videoblogging,1.0
1027,autos_and_vehicles,1.0
1028,travel,1.0
1029,default_category,1.0
103,documentary,0.8333333333333334
1030,default_category,1.0
1031,videoblogging,1.0
1032,conferences_and_other_events,1.0
1033,videoblogging,1.0
1034,literature,1.0
1035,default_category,1.0
1036,religion,1.0
1037,travel,1.0
1038,travel,1.0
1039,food_and_drink,1.0
104,conferences_and_other_events,0.5
1040,conferences_and_other_events,0.5
1041,autos_and_vehicles,1.0
1042,religion,1.0
1043,gaming,1.0
1044,autos_and_vehicles,1.0
1045,art,0.5
1046,autos_and_vehicles,1.0
1047,travel,1.0
1048,conferences_and_other_events,1.0
1049,religion,1.0
105,food_and_drink,0.4
1050,autos_and_vehicles,1.0
1051,conferences_and_other_events,1.0
1052,religion,1.0
1053,art,1.0
1054,travel,1.0
1055,art,1.0
1056,the_mainstream_media,1.0
1057,politics,1.0
1058,art,1.0
1059,documentary,1.0
106,citizen_journalism,1.0
1060,politics,1.0
1061,web_development_and_sites,1.0
1062,movies_and_television,1.0
1063,music_and_entertainment,1.0
1064,default_category,1.0
1065,health,1.0
1066,travel,1.0
1067,educational,1.0
1068,movies_and_television,1.0
1069,default_category,1.0
107,conferences_and_other_events,0.25
1070,travel,1.0
1071,food_and_drink,1.0
1072,autos_and_vehicles,1.0
1073,religion,1.0
1074,autos_and_vehicles,1.0
1075,documentary,1.0
1076,videoblogging,1.0
1077,health,1.0
1078,the_mainstream_media,1.0
1079,default_category,1.0
108,autos_and_vehicles,0.16666666666666666
1080,videoblogging,1.0
1081,documentary,1.0
1082,comedy,1.0
1083,videoblogging,1.0
1084,autos_and_vehicles,1.0
1085,gaming,1.0
1086,comedy,1.0
1087,religion,1.0
1088,the_mainstream_media,1.0
1089,autos_and_vehicles,1.0
109,literature,0.3333333333333333
1090,travel,1.0
1091,the_mainstream_media,1.0
1092,movies_and_television,1.0
1093,default_category,1.0
1094,conferences_and_other_events,1.0
1095,music_and_entertainment,1.0
1096,art,1.0
1097,travel,1.0
1098,citizen_journalism,1.0
1099,sports,1.0
11,citizen_journalism,0.7
110,default_category,0.4
1100,autos_and_vehicles,1.0
1101,videoblogging,1.0
1102,travel,1.0
1103,travel,1.0
1104,comedy,1.0
1105,business,1.0
1106,default_category,1.0
1107,business,1.0
1108,literature,1.0
1109,citizen_journalism,1.0
111,citizen_journalism,0.6
1110,travel,1.0
1111,travel,1.0
1112,autos_and_vehicles,1.0
1113,web_development_and_sites,1.0
1114,citizen_journalism,1.0
1115,travel,1.0
1116,conferences_and_other_events,1.0
1117,videoblogging,1.0
1118,default_category,1.0
1119,food_and_drink,1.0
112,travel,0.25
1120,default_category,1.0
1121,autos_and_vehicles,1.0
1122,food_and_drink,1.0
1123,health,1.0
1124,videoblogging,1.0
1125,travel,1.0
1126,web_development_and_sites,1.0
1127,autos_and_vehicles,1.0
1128,autos_and_vehicles,1.0
1129,videoblogging,1.0
113,videoblogging,0.2857142857142857
1130,travel,1.0
1131,documentary,1.0
1132,educational,1.0
1133,videoblogging,1.0
1134,movies_and_television,1.0
1135,default_category,1.0
1136,religion,1.0
1137,web_development_and_sites,1.0
1138,autos_and_vehicles,1.0
1139,autos_and_vehicles,1.0
114,art,0.2
1140,autos_and_vehicles,1.0
1141,conferences_and_other_events,1.0
1142,art,1.0
