cluster,category,precision
0,citizen_journalism,0.9380530973451328
1,food_and_drink,0.16216216216216217
10,health,1.0
100,citizen_journalism,1.0
1000,travel,1.0
1001,travel,1.0
1002,travel,1.0
1003,gaming,1.0
1004,travel,1.0
1005,web_development_and_sites,1.0
1006,the_mainstream_media,1.0
1007,technology,1.0
1008,religion,1.0
1009,travel,1.0
101,citizen_journalism,0.5
1010,comedy,1.0
1011,school_and_education,1.0
1012,technology,1.0
1013,music_and_entertainment,1.0
1014,conferences_and_other_events,1.0
1015,default_category,1.0
1016,comedy,1.0
1017,autos_and_vehicles,1.0
1018,travel,1.0
1019,autos_and_vehicles,1.0
102,citizen_journalism,0.5
1020,personal_or_auto-biographical,1.0
1021,web_development_and_sites,1.0
1022,the_mainstream_media,1.0
1023,conferences_and_other_events,1.0
1024,school_and_education,1.0
1025,conferences_and_other_events,1.0
1026,travel,1.0
1027,autos_and_vehicles,1.0
1028,conferences_and_other_events,1.0
1029,documentary,1.0
103,citizen_journalism,1.0
1030,travel,1.0
1031,comedy,1.0
1032,conferences_and_other_events,1.0
1033,travel,1.0
1034,food_and_drink,1.0
1035,travel,1.0
1036,default_category,1.0
1037,travel,1.0
1038,default_category,1.0
1039,autos_and_vehicles,1.0
104,citizen_journalism,1.0
1040,web_development_and_sites,1.0
1041,travel,1.0
1042,travel,1.0
1043,travel,1.0
1044,citizen_journalism,1.0
1045,health,1.0
1046,comedy,1.0
1047,citizen_journalism,1.0
1048,autos_and_vehicles,1.0
1049,videoblogging,1.0
105,citizen_journalism,0.5
1050,conferences_and_other_events,1.0
1051,food_and_drink,1.0
1052,the_mainstream_media,1.0
1053,travel,1.0
1054,health,1.0
1055,health,1.0
1056,personal_or_auto-biographical,1.0
1057,conferences_and_other_events,1.0
1058,comedy,1.0
1059,food_and_drink,1.0
106,comedy,1.0
1060,conferences_and_other_events,1.0
1061,travel,1.0
1062,travel,1.0
1063,autos_and_vehicles,1.0
1064,autos_and_vehicles,1.0
1065,autos_and_vehicles,0.5
1066,educational,1.0
1067,the_mainstream_media,1.0
1068,travel,1.0
1069,food_and_drink,1.0
107,movies_and_television,0.5
1070,the_mainstream_media,1.0
1071,default_category,1.0
1072,travel,1.0
1073,movies_and_television,1.0
1074,health,1.0
1075,citizen_journalism,1.0
1076,sports,1.0
1077,web_development_and_sites,1.0
1078,documentary,1.0
1079,travel,1.0
108,conferences_and_other_events,0.5
1080,autos_and_vehicles,1.0
1081,autos_and_vehicles,1.0
1082,food_and_drink,1.0
1083,videoblogging,1.0
1084,food_and_drink,1.0
1085,music_and_entertainment,1.0
1086,travel,1.0
1087,the_mainstream_media,1.0
1088,travel,1.0
1089,conferences_and_other_events,1.0
109,autos_and_vehicles,0.5
1090,autos_and_vehicles,1.0
1091,school_and_education,1.0
1092,conferences_and_other_events,1.0
1093,citizen_journalism,1.0
1094,food_and_drink,1.0
1095,videoblogging,1.0
1096,travel,1.0
1097,web_development_and_sites,1.0
1098,travel,1.0
1099,politics,1.0
11,citizen_journalism,0.9230769230769231
110,citizen_journalism,0.5
1100,politics,1.0
1101,travel,1.0
1102,food_and_drink,1.0
1103,health,1.0
1104,personal_or_auto-biographical,1.0
1105,health,1.0
1106,travel,1.0
1107,movies_and_television,1.0
1108,autos_and_vehicles,1.0
1109,comedy,1.0
111,travel,1.0
1110,autos_and_vehicles,1.0
1111,religion,1.0
1112,videoblogging,1.0
1113,travel,1.0
1114,travel,1.0
1115,business,1.0
1116,health,1.0
1117,health,1.0
1118,travel,1.0
1119,the_mainstream_media,1.0
112,autos_and_vehicles,0.5
1120,documentary,1.0
1121,travel,1.0
1122,videoblogging,1.0
1123,food_and_drink,1.0
1124,conferences_and_other_events,1.0
1125,autos_and_vehicles,1.0
1126,default_category,1.0
1127,autos_and_vehicles,1.0
1128,personal_or_auto-biographical,1.0
1129,religion,1.0
113,conferences_and_other_events,0.5
1130,videoblogging,1.0
1131,personal_or_auto-biographical,1.0
1132,music_and_entertainment,1.0
1133,food_and_drink,1.0
1134,health,1.0
1135,autos_and_vehicles,1.0
1136,sports,1.0
1137,documentary,1.0
1138,the_mainstream_media,1.0
1139,the_mainstream_media,1.0
114,default_category,1.0
1140,comedy,1.0
1141,art,1.0
1142,autos_and_vehicles,1.0
1143,personal_or_auto-biographical,1.0
1144,conferences_and_other_events,1.0
1145,conferences_and_other_events,1.0
1146,travel,1.0
1147,autos_and_vehicles,1.0
1148,documentary,1.0
1149,art,1.0
115,food_and_drink,0.5
1150,conferences_and_other_events,1.0
1151,health,1.0
1152,autos_and_vehicles,1.0
1153,web_development_and_sites,1.0
1154,web_development_and_sites,1.0
1155,food_and_drink,1.0
1156,art,1.0
1157,the_mainstream_media,1.0
1158,comedy,1.0
1159,school_and_education,1.0
116,food_and_drink,1.0
1160,travel,1.0
1161,documentary,1.0
1162,autos_and_vehicles,1.0
1163,food_and_drink,1.0
1164,food_and_drink,1.0
1165,autos_and_vehicles,1.0
1166,default_category,1.0
1167,school_and_education,1.0
1168,health,1.0
1169,the_mainstream_media,1.0
117,autos_and_vehicles,0.5
1170,school_and_education,1.0
1171,web_development_and_sites,1.0
1172,travel,1.0
1173,health,1.0
1174,technology,1.0
1175,default_category,1.0
1176,travel,1.0
1177,comedy,1.0
1178,politics,1.0
1179,citizen_journalism,1.0
118,food_and_drink,0.5
1180,conferences_and_other_events,1.0
1181,web_development_and_sites,1.0
1182,technology,1.0
1183,autos_and_vehicles,1.0
1184,default_category,1.0
1185,autos_and_vehicles,1.0
1186,travel,1.0
1187,health,1.0
1188,autos_and_vehicles,1.0
1189,travel,1.0
119,citizen_journalism,1.0
1190,educational,1.0
1191,personal_or_auto-biographical,1.0
1192,food_and_drink,1.0
1193,music_and_entertainment,1.0
1194,sports,1.0
1195,autos_and_vehicles,1.0
1196,art,1.0
1197,citizen_journalism,1.0
1198,personal_or_auto-biographical,1.0
1199,movies_and_television,1.0
12,citizen_journalism,0.8333333333333334
120,conferences_and_other_events,0.5
1200,autos_and_vehicles,1.0
1201,health,1.0
1202,default_category,1.0
1203,autos_and_vehicles,1.0
1204,sports,1.0
1205,web_development_and_sites,1.0
1206,health,1.0
1207,autos_and_vehicles,1.0
1208,autos_and_vehicles,1.0
1209,health,1.0
121,technology,0.6666666666666666
1210,comedy,1.0
1211,conferences_and_other_events,1.0
1212,health,1.0
1213,personal_or_auto-biographical,1.0
1214,travel,1.0
1215,school_and_education,1.0
1216,gaming,1.0
1217,educational,1.0
1218,default_category,1.0
1219,default_category,1.0
122,citizen_journalism,1.0
1220,videoblogging,1.0
1221,health,1.0
1222,autos_and_vehicles,1.0
1223,web_development_and_sites,1.0
1224,conferences_and_other_events,1.0
1225,the_mainstream_media,1.0
1226,business,1.0
1227,autos_and_vehicles,1.0
1228,autos_and_vehicles,1.0
1229,default_category,1.0
123,educational,0.5
1230,health,1.0
1231,conferences_and_other_events,1.0
1232,travel,1.0
1233,default_category,1.0
1234,default_category,1.0
1235,autos_and_vehicles,1.0
1236,religion,1.0
1237,politics,1.0
1238,literature,1.0
1239,web_development_and_sites,1.0
124,food_and_drink,0.5
1240,conferences_and_other_events,1.0
1241,autos_and_vehicles,1.0
1242,autos_and_vehicles,1.0
1243,movies_and_television,1.0
1244,default_category,1.0
1245,food_and_drink,1.0
1246,food_and_drink,1.0
1247,art,1.0
1248,default_category,1.0
1249,autos_and_vehicles,1.0
125,citizen_journalism,0.3333333333333333
1250,gaming,1.0
1251,food_and_drink,1.0
1252,autos_and_vehicles,1.0
1253,autos_and_vehicles,1.0
1254,default_category,1.0
1255,the_mainstream_media,1.0
1256,art,1.0
1257,food_and_drink,1.0
1258,food_and_drink,1.0
1259,autos_and_vehicles,1.0
126,the_mainstream_media,0.5
1260,default_category,1.0
1261,videoblogging,1.0
1262,religion,1.0
1263,travel,1.0
1264,autos_and_vehicles,1.0
1265,videoblogging,1.0
1266,travel,1.0
1267,music_and_entertainment,1.0
1268,conferences_and_other_events,1.0
1269,religion,1.0
127,citizen_journalism,1.0
1270,comedy,1.0
1271,travel,1.0
1272,autos_and_vehicles,1.0
1273,conferences_and_other_events,1.0
1274,default_category,1.0
1275,documentary,1.0
1276,default_category,1.0
1277,the_mainstream_media,1.0
1278,default_category,1.0
1279,videoblogging,1.0
128,citizen_journalism,0.5
1280,web_development_and_sites,1.0
1281,business,1.0
1282,autos_and_vehicles,1.0
1283,travel,1.0
1284,travel,1.0
1285,default_category,1.0
1286,educational,1.0
1287,citizen_journalism,1.0
1288,citizen_journalism,1.0
1289,gaming,1.0
129,autos_and_vehicles,0.5
1290,travel,1.0
1291,default_category,1.0
1292,autos_and_vehicles,1.0
1293,autos_and_vehicles,1.0
1294,default_category,1.0
1295,travel,1.0
1296,politics,1.0
1297,citizen_journalism,1.0
1298,default_category,1.0
1299,travel,1.0
13,conferences_and_other_events,0.5555555555555556
130,health,1.0
1300,autos_and_vehicles,1.0
1301,travel,1.0
1302,travel,1.0
1303,conferences_and_other_events,1.0
1304,travel,1.0
1305,travel,1.0
1306,comedy,1.0
1307,conferences_and_other_events,1.0
1308,travel,0.6666666666666666
1309,videoblogging,1.0
131,autos_and_vehicles,1.0
1310,autos_and_vehicles,1.0
1311,default_category,1.0
1312,business,1.0
1313,the_mainstream_media,1.0
1314,citizen_journalism,1.0
1315,educational,1.0
1316,food_and_drink,1.0
1317,conferences_and_other_events,1.0
1318,health,1.0
1319,travel,1.0
132,default_category,0.5
1320,travel,1.0
1321,conferences_and_other_events,1.0
1322,default_category,1.0
1323,religion,1.0
1324,comedy,1.0
1325,comedy,1.0
1326,travel,1.0
1327,citizen_journalism,1.0
1328,videoblogging,1.0
1329,politics,1.0
133,default_category,0.5
1330,travel,1.0
1331,health,1.0
1332,travel,1.0
1333,travel,1.0
1334,web_development_and_sites,1.0
1335,movies_and_television,1.0
1336,food_and_drink,1.0
1337,travel,1.0
1338,conferences_and_other_events,1.0
1339,health,1.0
134,citizen_journalism,1.0
1340,food_and_drink,0.5
1341,autos_and_vehicles,1.0
