video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,1,technology,20
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,1,documentary,0
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,1,documentary,19
1801Media-iPhone3GWhatDoPeopleKnow259.xml,1,default_category,18
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,1,music_and_entertainment,46
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,46
571mul470r-OhhhhhhBama392.xml,1,the_environment,45
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,31
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,1,default_category,13
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,1,religion,58
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,1,religion,58
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,34
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,1,religion,7
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,34
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,67
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,1,religion,7
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,1,religion,29
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,1,religion,58
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,1,religion,63
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,1,religion,58
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,1,religion,19
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,1,religion,7
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,1,videoblogging,19
Aaronjupiter-MuscleUp759.xml,1,documentary,25
ABCNewspapers-BlackBeltGranny347.xml,1,the_mainstream_media,42
ABCNewspapers-ChemnitzerConcertina100.xml,1,the_mainstream_media,31
Abird-ThrownFromTheHolidayTrain826.xml,1,default_category,64
AbsoluteDisaster-CraigTheWerewolf1753.xml,1,comedy,18
ACDigest-AnnapolisCityDigest103551.xml,1,default_category,30
ACDigest-AnnapolisCityDigest107788.xml,1,default_category,30
ACDigest-AnnapolisCityDigest108396.xml,1,default_category,21
AceWebsites-HowToFindAndInstallATheme591.xml,1,default_category,8
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,1,technology,34
Acnethai-414.xml,1,health,19
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,1,health,31
