video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,47
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,14
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,53
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,27
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,44
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,53
571mul470r-OhhhhhhBama392.xml,42,the_environment,5
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,41
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,22
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,5
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,22
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,4
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,23
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,12
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,40
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,11
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,11
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,34
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,48
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,22
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,23
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,38
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,28
Aaronjupiter-MuscleUp759.xml,90,documentary,39
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,54
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,4
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,8
AbsoluteDisaster-CraigTheWerewolf1753.xml,11,comedy,46
ACDigest-AnnapolisCityDigest103551.xml,58,default_category,5
ACDigest-AnnapolisCityDigest107788.xml,73,default_category,5
ACDigest-AnnapolisCityDigest108396.xml,38,default_category,5
AceWebsites-HowToFindAndInstallATheme591.xml,41,default_category,33
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,13,technology,5
Acnethai-414.xml,2,health,22
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,7,health,35
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,79,default_category,28
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,62,music_and_entertainment,28
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,19,default_category,28
Adobedreamer-ApplicationWorkspaceOverview128.xml,5,educational,22
Adobedreamer-Basics313.xml,54,educational,48
Adobedreamer-CleaningUpYourCode369.xml,6,technology,22
Adobedreamer-CodeToolbar161.xml,5,educational,22
Adobedreamer-ConstructionOfABasicWebsite690.xml,78,educational,48
Adobedreamer-CoveredInTisCourse132.xml,1,educational,18
Adobedreamer-CreatingNewPages952.xml,9,technology,1
Adobedreamer-DreamweaverViewOptions911.xml,10,educational,12
Adobedreamer-HowToCreateAnEmailLink283.xml,6,technology,49
Adobedreamer-HTMLTutorial576.xml,37,educational,48
Adobedreamer-Introduction127.xml,1,educational,12
Adobedreamer-TheBasics983.xml,12,educational,24
Adobedreamer-TheDocumentToolbar845.xml,19,web_development_and_sites,29
Adobedreamer-TheInsertBar208.xml,3,web_development_and_sites,37
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,95,technology,39
Adobedreamer-TheStructureOfXMLCode806.xml,7,technology,52
Adobedreamer-using_mysql_admin852.xml,16,technology,52
Adobedreamer-WhatIsMySQL343.xml,2,technology,42
Adobedreamer-XMLBasics582.xml,8,technology,42
Adobefireworks-BlurDodgeAndSharpen840.xml,3,educational,54
Adobefireworks-BrushPreserve315.xml,1,educational,12
Adobefireworks-FireworksSmartWebIntergration409.xml,28,educational,11
Adobefireworks-ImageMasks896.xml,3,educational,12
Adobefireworks-ImportAndExportWithFireworksCS3111.xml,14,educational,29
Adobefireworks-WorkingWithLayersCS3Style263.xml,9,educational,11
Adventcalendar-December15th618.xml,2,educational,20
Adventcalendar-December17th902.xml,2,default_category,25
Adventcalendar-December18th499.xml,2,educational,46
Aerobroken-ABNRockUpdate11072008WS229.xml,2,music_and_entertainment,28
Aerobroken-ABNRockUpdate11212008339.xml,4,music_and_entertainment,28
Aerobroken-ABNRockUpdate12052008776.xml,2,music_and_entertainment,10
Agaelebe-14EDTEDCarlosBrando444.xml,5,conferences_and_other_events,53
Agaelebe-ResultsONDayAleksandarMandic715.xml,17,conferences_and_other_events,23
Agaelebe-RubyRailsNoMundoRealFbioKung992.xml,2,default_category,54
Agahran-ClosetCollapsePart1534.xml,1,personal_or_auto-biographical,16
Agimble-TheProfitPartnerPresentsFrazierOLeary476.xml,71,business,39
AGORANEWS3-Villaverde01175.xml,9,citizen_journalism,25
AGORAVIDEOS4-animalesNocturnosEnElESTAS405.xml,4,default_category,43
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,70,politics,11
AlanTaylor925-ALANANDREWTAYLORFILMMAKERSHOWREEL915.xml,14,personal_or_auto-biographical,44
AlanTaylor925-AloneShortFilm417.xml,32,movies_and_television,16
AlanTaylor925-EdinburghFestivalCavalcade544.xml,17,music_and_entertainment,28
AlanTaylor925-EdinburghFestivalFringe114.xml,39,comedy,34
AlanTaylor925-FalklandsWarRemembrance209.xml,78,educational,28
AlanTaylor925-LastVoyageOfTheQE2755.xml,17,school_and_education,8
ALAOIF-CoryDoctorowPrivacyIsItTimeForARevolution901.xml,3,conferences_and_other_events,28
Alawash-PalReveresOrBenedictArnoldsWhistleblowingInThePost911Ag621.xml,6,conferences_and_other_events,4
Albarra-12_2_29518.xml,1,default_category,12
Albarra-12_2_41158.xml,1,default_category,32
Albarra-12_2_56990.xml,1,default_category,36
Albarra-3_4637.xml,1,educational,32
Albarra-A1_4865.xml,1,default_category,36
Albarra-activity2_1946.xml,5,educational,36
Albarra-AlbarraR3_3_1to3911904.xml,1,default_category,29
Albarra-latexshort711.xml,18,default_category,1
Albarra-limitCalculusMathDerivativeTangentLineLinearEquationInte958.xml,1,default_category,36
Albarra-MA123Set005Part3124.xml,3,default_category,36
Albarra-MeanValueTheorem1456.xml,3,educational,36
Albarra-MeanValueTheorem2541.xml,10,educational,36
Albarra-part12675.xml,1,default_category,36
Albarra-part5590.xml,14,default_category,36
Albarra-Problem12217124.xml,1,default_category,4
Albarra-Problem12315755.xml,2,educational,36
Albarra-Problem12322851.xml,2,educational,36
Albarra-Problem1234514.xml,2,educational,36
Albarra-QuranPart1_2ndversion977.xml,3,educational,21
Albarra-QuranPart2675.xml,14,educational,36
Albarra-QuranPart5845.xml,22,educational,36
Albarra-Review3SectionIProblem6397.xml,1,default_category,47
Albarra-Set007Problem10354.xml,1,default_category,32
Albarra-Set007Problem15207.xml,5,default_category,35
Albarra-Set007Problem2326.xml,4,default_category,43
Albarra-Set007Problem6316.xml,1,default_category,32
Albarra-Set007Problem7852.xml,2,default_category,14
Albarra-Set007Problem8407.xml,3,default_category,14
Albarra-SubtractionMadeEasy779.xml,2,default_category,1
Albarra-whs2_1932.xml,15,educational,1
Alecmuffett-ITFuturologyWhatCouldHappenToTheWebBy2012423.xml,18,technology,11
Alecmuffett-Reuse20563.xml,4,default_category,1
Alefarendsen-SpringSourceToolSuiteErrorAnalysis486.xml,1,default_category,21
Alexodam-NameCompetition565.xml,5,technology,19
Alfocus-BannedBooksWeekIdLikeToFindBLEEP872.xml,24,default_category,38
Alfocus-FreedomToReadFoundationMidwinterAuthorEventFeaturingLaur843.xml,2,default_category,53
AliaK-NaVloPoMo26Day26SultanAhmetHagiaSofia834.xml,14,travel,10
AliaK-VloMo08Day3PalmBeachSydney662.xml,2,travel,2
Alienbabeltech-JohnCarmackCriticizesPhysX861.xml,1,gaming,34
Alleyno-EP33TheZeigtgeistMovementDontMindTheMenBehindTheCurt802.xml,49,documentary,0
Allusel-AquaticaTheUnderwaterAdventure954.xml,7,gaming,44
Amberlrhea-ThanksForTheMemoriesNowGetOutOfMyClosetEpisode3696.xml,2,personal_or_auto-biographical,51
AmnestyVlaanderen-AnnVanElsen532.xml,2,default_category,13
AmnestyVlaanderen-BartPeetersSteuntSharifOmarEnZijnDorpJayyus321.xml,1,default_category,29
AmnestyVlaanderen-GeertHosteSteuntAungSanSuuKyi704.xml,2,default_category,38
Andersonuniversity-SimManDedication503.xml,13,educational,33
Andmau-Brujitas947.xml,1,default_category,51
Andrekleinnett-DSCN0070250.xml,1,default_category,31
