cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster34,21,157,0,18,37,13,14,4,3,31,0,14,2,26,1,3,3,22,1,3,7,0,11,54,14,30
cluster22,69,120,0,132,35,49,11,12,9,64,1,16,64,90,0,7,23,19,0,2,30,0,12,61,13,43
cluster69,47,46,0,89,31,10,8,1,1,27,4,10,27,84,0,0,2,7,0,0,46,0,2,39,6,22
cluster77,18,29,4,88,15,103,65,9,3,13,1,14,11,13,3,24,18,20,3,10,8,0,23,70,16,29
cluster39,32,261,0,122,18,11,11,1,8,73,5,21,18,34,1,6,8,10,0,6,42,1,21,56,48,46
cluster15,69,31,0,133,16,19,8,2,3,15,0,13,1,106,0,0,20,8,0,1,1,0,17,55,6,55
cluster24,36,178,4,111,33,50,29,9,3,18,4,49,17,38,0,8,18,13,1,2,9,0,20,80,10,61
cluster58,42,37,6,17,15,31,46,7,4,25,6,5,3,5,6,12,8,21,0,4,2,1,43,62,50,12
cluster59,65,265,22,91,86,69,66,15,10,111,11,53,13,54,5,60,39,38,3,9,13,0,82,153,50,50
cluster38,20,149,1,70,19,40,10,5,12,64,0,12,0,14,0,3,4,14,0,3,43,0,8,39,25,33
cluster54,135,151,23,4328,47,372,149,9,0,163,3,223,66,258,1,6,116,121,3,21,14,0,95,461,19,205
cluster55,6,7,38,203,20,346,268,15,2,3,0,11,4,2,1,5,40,4,0,15,10,3,10,169,1,2
cluster56,17,100,1,42,4,8,3,1,2,28,0,3,1,25,0,1,2,4,0,0,12,0,11,23,17,45
cluster57,16,7,2,23,65,18,9,0,5,4,7,0,0,13,0,6,3,1,1,2,12,0,1,48,10,12
cluster50,28,18,0,8,8,9,19,0,4,28,5,8,0,4,1,14,4,5,0,2,5,0,10,32,13,20
cluster51,37,33,0,67,10,36,11,4,1,15,5,4,5,101,0,1,19,0,0,3,5,0,12,65,33,33
cluster52,48,53,3,153,27,55,30,1,2,8,1,14,29,35,0,5,12,37,3,11,7,0,17,38,4,56
cluster53,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
cluster10,23,55,2,47,25,29,11,2,3,24,6,7,4,38,1,2,1,19,0,2,8,0,13,66,18,23
cluster11,87,18,11,42,53,185,48,10,12,21,26,7,4,53,3,86,14,23,0,11,3,0,27,116,18,1
cluster74,62,60,4,522,36,96,21,4,0,20,5,23,26,123,1,0,28,3,0,8,49,0,10,170,17,53
cluster75,41,69,8,51,32,70,93,12,15,26,13,14,11,11,7,18,14,48,4,1,4,0,22,108,24,19
cluster72,25,8,42,171,18,530,252,6,5,2,3,6,3,18,1,3,49,10,0,14,4,0,6,288,9,4
cluster73,60,59,0,20,25,49,43,6,4,79,21,12,2,4,4,40,4,41,0,10,11,0,39,81,41,17
cluster16,109,184,0,331,26,28,44,3,4,63,4,22,52,187,1,6,23,12,0,4,22,0,13,178,16,57
cluster17,50,70,7,86,40,35,26,3,2,24,1,28,14,39,0,11,10,34,1,3,7,0,35,106,19,75
cluster18,25,162,3,57,42,30,54,4,9,27,0,242,13,55,6,3,5,43,0,2,11,0,10,108,2,62
cluster33,46,183,1,93,37,58,20,3,14,96,0,11,1,14,1,9,16,25,2,6,9,0,51,90,35,39
cluster30,4,16,7,327,1,30,4,1,47,6,6,2,10,18,2,1,0,8,0,28,1,0,1,69,20,5
cluster31,155,75,4,32,98,38,58,13,21,317,3,11,12,20,31,17,1,84,1,3,2,0,70,303,107,22
cluster36,37,22,17,122,32,116,95,12,5,28,18,40,21,30,8,25,13,9,21,19,9,3,23,140,43,8
cluster37,32,18,1,2,17,66,5,0,1,200,4,4,0,2,11,6,5,45,0,4,1,0,44,135,37,36
cluster78,129,405,9,204,113,73,56,17,32,210,3,70,25,64,4,38,17,62,1,6,16,0,149,286,89,106
cluster35,42,122,1,102,43,28,25,7,3,33,2,19,29,36,1,11,28,42,0,12,1,0,10,135,25,79
cluster13,9,4,43,48,6,55,31,3,4,11,6,0,0,4,8,23,0,9,2,6,0,0,10,109,29,2
cluster79,22,42,31,110,22,199,209,21,1,29,4,368,6,36,0,8,69,24,1,13,11,0,51,117,22,14
cluster29,141,130,11,203,97,246,181,6,5,41,20,82,72,87,7,22,62,39,0,19,40,2,42,181,39,19
cluster64,25,74,2,72,23,16,12,0,9,67,1,19,4,22,1,4,3,11,0,2,26,0,15,28,23,25
cluster12,95,361,6,146,68,56,165,6,0,41,1,188,16,60,2,12,40,72,0,93,12,0,28,116,32,73
cluster14,49,69,27,93,18,161,137,15,1,33,0,1070,8,46,0,6,49,36,3,3,39,1,42,120,28,29
cluster49,30,2,49,428,23,91,492,8,1,4,1,313,11,7,0,0,14,1,0,14,14,0,21,292,28,2
cluster48,329,837,5,246,141,71,118,13,43,730,5,165,31,71,5,18,13,166,1,9,51,0,297,539,135,209
cluster3,146,49,0,1225,34,102,39,0,0,48,0,13,190,247,1,1,57,5,0,10,17,0,29,247,36,85
cluster43,38,46,0,135,47,110,65,11,17,10,14,27,0,26,4,52,13,20,0,9,6,0,24,126,33,26
