video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,11
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,15
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,0
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,25
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,11
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,1
571mul470r-OhhhhhhBama392.xml,42,the_environment,14
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,6
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,15
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,1
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,1
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,23
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,6
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,9
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,3
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,1
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,15
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,14
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,1
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,15
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,6
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,3
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,23
Aaronjupiter-MuscleUp759.xml,90,documentary,1
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,7
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,12
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,8
