video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,18
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,59
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,40
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,11
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,1
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,14
571mul470r-OhhhhhhBama392.xml,42,the_environment,44
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,46
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,10
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,24
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,47
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,23
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,14
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,54
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,27
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,34
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,34
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,17
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,47
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,10
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,17
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,27
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,23
Aaronjupiter-MuscleUp759.xml,90,documentary,24
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,45
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,15
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,48
AbsoluteDisaster-CraigTheWerewolf1753.xml,11,comedy,19
ACDigest-AnnapolisCityDigest103551.xml,58,default_category,44
ACDigest-AnnapolisCityDigest107788.xml,73,default_category,56
ACDigest-AnnapolisCityDigest108396.xml,38,default_category,44
AceWebsites-HowToFindAndInstallATheme591.xml,41,default_category,49
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,13,technology,44
Acnethai-414.xml,2,health,10
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,7,health,40
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,79,default_category,23
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,62,music_and_entertainment,23
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,19,default_category,23
Adobedreamer-ApplicationWorkspaceOverview128.xml,5,educational,34
Adobedreamer-Basics313.xml,54,educational,47
Adobedreamer-CleaningUpYourCode369.xml,6,technology,34
Adobedreamer-CodeToolbar161.xml,5,educational,47
Adobedreamer-ConstructionOfABasicWebsite690.xml,78,educational,47
Adobedreamer-CoveredInTisCourse132.xml,1,educational,44
Adobedreamer-CreatingNewPages952.xml,9,technology,2
Adobedreamer-DreamweaverViewOptions911.xml,10,educational,36
Adobedreamer-HowToCreateAnEmailLink283.xml,6,technology,35
Adobedreamer-HTMLTutorial576.xml,37,educational,47
Adobedreamer-Introduction127.xml,1,educational,54
Adobedreamer-TheBasics983.xml,12,educational,5
Adobedreamer-TheDocumentToolbar845.xml,19,web_development_and_sites,8
Adobedreamer-TheInsertBar208.xml,3,web_development_and_sites,34
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,95,technology,47
Adobedreamer-TheStructureOfXMLCode806.xml,7,technology,12
Adobedreamer-using_mysql_admin852.xml,16,technology,12
Adobedreamer-WhatIsMySQL343.xml,2,technology,41
Adobedreamer-XMLBasics582.xml,8,technology,41
Adobefireworks-BlurDodgeAndSharpen840.xml,3,educational,35
Adobefireworks-BrushPreserve315.xml,1,educational,34
