cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0
cluster11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster12,16,16,12,122,33,162,126,2,0,14,2,292,7,12,1,4,7,12,0,20,1,6,3,128,21,10
cluster39,1,0,2,9,0,20,40,0,0,2,1,1,0,1,3,0,0,0,0,4,0,0,2,27,4,0
cluster14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster16,1,1,0,1,1,2,0,0,3,7,0,0,0,3,0,0,0,0,1,1,0,0,0,1,7,2
cluster17,1,4,0,0,3,1,1,0,0,2,1,0,0,0,1,1,0,5,1,0,3,0,11,7,0,1
cluster18,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster33,10,31,2,1,9,12,1,0,9,26,2,4,0,11,4,8,0,31,5,4,0,0,27,69,47,7
cluster30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster31,3,6,0,0,20,2,1,0,2,10,3,0,0,0,0,0,0,10,1,2,0,2,4,22,7,5
cluster36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cluster34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster35,2,3,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0
cluster38,8,9,12,14,5,44,61,6,0,8,1,13,1,12,0,2,4,1,0,4,0,1,2,52,9,5
cluster13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
cluster41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
cluster40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster29,17,8,11,7,5,13,20,3,5,6,5,0,1,5,1,1,2,3,0,8,1,0,6,24,8,2
cluster28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster21,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cluster20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cluster23,13,29,13,34,18,73,66,4,0,6,0,35,6,12,0,2,35,7,0,6,1,0,1,43,11,16
cluster22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster25,4,15,0,33,4,4,9,1,0,0,0,0,1,4,0,0,1,6,1,0,0,0,3,24,3,3
cluster24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster27,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cluster26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
cluster9,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cluster19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster2,184,120,21,375,290,412,182,24,60,140,20,55,90,142,17,111,47,178,93,49,40,4,98,457,192,112
cluster3,163,161,85,642,164,534,247,41,83,104,49,34,54,182,22,97,32,102,4,74,19,1,93,585,189,105
cluster0,2007,3007,362,13535,1197,4899,3161,215,125,1111,147,3905,1301,2585,107,317,1217,1004,31,478,1060,29,885,5007,694,1266
cluster1,2347,5072,144,8248,1890,2227,1685,230,348,3467,1285,1127,742,1102,127,558,474,1132,106,249,618,1,1775,5032,1387,1627
cluster6,1,9,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,6,1,4
cluster7,3,1,1,0,3,0,0,0,1,25,0,0,0,2,0,0,0,3,1,0,1,0,1,4,9,0
cluster4,9,5,0,0,3,5,5,0,0,1,0,1,0,5,1,0,0,5,2,3,0,0,2,19,16,13
cluster5,3,17,0,0,2,10,0,0,0,1,0,0,0,1,1,0,0,1,9,0,2,0,4,21,8,3
