video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,3983
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,894
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,1546
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,211
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,3475
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,3527
571mul470r-OhhhhhhBama392.xml,42,the_environment,2053
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,142
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,1741
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,2147
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,1787
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,124
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,1812
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,2869
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,3484
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,2003
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,2128
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,1975
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,2161
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,529
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,3295
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,1946
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,4157
Aaronjupiter-MuscleUp759.xml,90,documentary,3111
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,3779
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,3733
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,632
AbsoluteDisaster-CraigTheWerewolf1753.xml,11,comedy,3487
ACDigest-AnnapolisCityDigest103551.xml,58,default_category,1547
ACDigest-AnnapolisCityDigest107788.xml,73,default_category,2825
ACDigest-AnnapolisCityDigest108396.xml,38,default_category,3088
AceWebsites-HowToFindAndInstallATheme591.xml,41,default_category,1748
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,13,technology,2539
Acnethai-414.xml,2,health,1868
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,7,health,770
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,79,default_category,958
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,62,music_and_entertainment,1780
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,19,default_category,2187
Adobedreamer-ApplicationWorkspaceOverview128.xml,5,educational,2975
Adobedreamer-Basics313.xml,54,educational,2181
Adobedreamer-CleaningUpYourCode369.xml,6,technology,2163
Adobedreamer-CodeToolbar161.xml,5,educational,2662
Adobedreamer-ConstructionOfABasicWebsite690.xml,78,educational,2038
Adobedreamer-CoveredInTisCourse132.xml,1,educational,3903
Adobedreamer-CreatingNewPages952.xml,9,technology,3478
Adobedreamer-DreamweaverViewOptions911.xml,10,educational,3075
Adobedreamer-HowToCreateAnEmailLink283.xml,6,technology,1299
Adobedreamer-HTMLTutorial576.xml,37,educational,1315
Adobedreamer-Introduction127.xml,1,educational,1960
Adobedreamer-TheBasics983.xml,12,educational,2209
Adobedreamer-TheDocumentToolbar845.xml,19,web_development_and_sites,300
Adobedreamer-TheInsertBar208.xml,3,web_development_and_sites,2370
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,95,technology,74
Adobedreamer-TheStructureOfXMLCode806.xml,7,technology,476
Adobedreamer-using_mysql_admin852.xml,16,technology,1771
Adobedreamer-WhatIsMySQL343.xml,2,technology,2398
Adobedreamer-XMLBasics582.xml,8,technology,1840
Adobefireworks-BlurDodgeAndSharpen840.xml,3,educational,1925
Adobefireworks-BrushPreserve315.xml,1,educational,2570
Adobefireworks-FireworksSmartWebIntergration409.xml,28,educational,1644
Adobefireworks-ImageMasks896.xml,3,educational,1821
Adobefireworks-ImportAndExportWithFireworksCS3111.xml,14,educational,416
Adobefireworks-WorkingWithLayersCS3Style263.xml,9,educational,1206
Adventcalendar-December15th618.xml,2,educational,324
Adventcalendar-December17th902.xml,2,default_category,4085
Adventcalendar-December18th499.xml,2,educational,2117
Aerobroken-ABNRockUpdate11072008WS229.xml,2,music_and_entertainment,4079
Aerobroken-ABNRockUpdate11212008339.xml,4,music_and_entertainment,2685
Aerobroken-ABNRockUpdate12052008776.xml,2,music_and_entertainment,3378
Agaelebe-14EDTEDCarlosBrando444.xml,5,conferences_and_other_events,1288
Agaelebe-ResultsONDayAleksandarMandic715.xml,17,conferences_and_other_events,2530
Agaelebe-RubyRailsNoMundoRealFbioKung992.xml,2,default_category,431
Agahran-ClosetCollapsePart1534.xml,1,personal_or_auto-biographical,13
Agimble-TheProfitPartnerPresentsFrazierOLeary476.xml,71,business,2141
AGORANEWS3-Villaverde01175.xml,9,citizen_journalism,1968
AGORAVIDEOS4-animalesNocturnosEnElESTAS405.xml,4,default_category,2535
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,70,politics,3121
AlanTaylor925-ALANANDREWTAYLORFILMMAKERSHOWREEL915.xml,14,personal_or_auto-biographical,1520
AlanTaylor925-AloneShortFilm417.xml,32,movies_and_television,118
AlanTaylor925-EdinburghFestivalCavalcade544.xml,17,music_and_entertainment,1404
AlanTaylor925-EdinburghFestivalFringe114.xml,39,comedy,688
AlanTaylor925-FalklandsWarRemembrance209.xml,78,educational,1836
AlanTaylor925-LastVoyageOfTheQE2755.xml,17,school_and_education,675
ALAOIF-CoryDoctorowPrivacyIsItTimeForARevolution901.xml,3,conferences_and_other_events,1608
Alawash-PalReveresOrBenedictArnoldsWhistleblowingInThePost911Ag621.xml,6,conferences_and_other_events,1770
Albarra-12_2_29518.xml,1,default_category,1410
Albarra-12_2_41158.xml,1,default_category,2638
Albarra-12_2_56990.xml,1,default_category,2592
Albarra-3_4637.xml,1,educational,3090
Albarra-A1_4865.xml,1,default_category,1030
Albarra-activity2_1946.xml,5,educational,2503
Albarra-AlbarraR3_3_1to3911904.xml,1,default_category,136
Albarra-latexshort711.xml,18,default_category,438
Albarra-limitCalculusMathDerivativeTangentLineLinearEquationInte958.xml,1,default_category,2469
Albarra-MA123Set005Part3124.xml,3,default_category,3261
Albarra-MeanValueTheorem1456.xml,3,educational,515
Albarra-MeanValueTheorem2541.xml,10,educational,893
Albarra-part12675.xml,1,default_category,3223
Albarra-part5590.xml,14,default_category,1850
Albarra-Problem12217124.xml,1,default_category,4131
Albarra-Problem12315755.xml,2,educational,2652
Albarra-Problem12322851.xml,2,educational,3361
Albarra-Problem1234514.xml,2,educational,3551
Albarra-QuranPart1_2ndversion977.xml,3,educational,1605
Albarra-QuranPart2675.xml,14,educational,2589
Albarra-QuranPart5845.xml,22,educational,472
Albarra-Review3SectionIProblem6397.xml,1,default_category,3647
Albarra-Set007Problem10354.xml,1,default_category,2608
Albarra-Set007Problem15207.xml,5,default_category,2554
Albarra-Set007Problem2326.xml,4,default_category,2409
Albarra-Set007Problem6316.xml,1,default_category,2439
Albarra-Set007Problem7852.xml,2,default_category,2355
Albarra-Set007Problem8407.xml,3,default_category,513
Albarra-SubtractionMadeEasy779.xml,2,default_category,654
Albarra-whs2_1932.xml,15,educational,832
Alecmuffett-ITFuturologyWhatCouldHappenToTheWebBy2012423.xml,18,technology,2381
Alecmuffett-Reuse20563.xml,4,default_category,3476
Alefarendsen-SpringSourceToolSuiteErrorAnalysis486.xml,1,default_category,2303
