category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,3,2,2,4,3,1,1,1,6,2,3,4,6,7,2,5,2,5,1,0,3,1,1,2,1,3,1,0,4,1,0,6,1,4,0,0,1,1,0,0,1,7,9,1,3,0,2,2,1,0,0,1,3,3,0,1,1,8,0,0
autos_and_vehicles,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,3,0,0,0,1,7,0,1,0,0,0,1,1,4,0,3,0,0,1,0,2,1,1,23,1,3,2,0,0,4,1,0,1,13,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,2,1,0,0
citizen_journalism,0,0,1,1,0,12,3,0,0,0,1,2,2,4,0,3,0,0,1,0,1,8,4,3,4,3,4,12,0,13,3,4,0,5,0,0,0,0,0,0,0,3,1,1,1,1,2,13,1,0,0,1,7,0,0,0,1,4,1,0
comedy,3,1,1,2,6,1,2,0,2,0,6,0,6,3,0,0,3,3,2,0,3,0,3,3,4,4,3,0,5,1,0,4,0,0,0,0,1,31,0,0,4,3,1,1,6,5,1,2,2,0,0,1,4,3,0,0,2,5,0,0
conferences_and_other_events,4,0,3,0,0,0,1,0,1,0,2,8,0,4,0,0,0,0,2,0,1,1,0,10,1,1,2,2,0,2,1,3,0,5,0,0,0,3,0,0,0,0,6,0,0,1,1,2,0,0,0,0,1,0,0,0,5,0,0,0
default_category,34,7,6,10,3,10,8,5,10,9,27,16,17,20,14,21,1,7,7,0,18,5,8,35,17,14,17,13,13,35,24,30,16,31,1,0,3,11,2,0,5,8,24,1,12,7,23,7,11,1,0,3,13,5,2,0,7,6,0,0
documentary,3,1,1,0,1,1,3,2,6,1,4,0,7,3,3,3,1,0,1,0,3,2,2,4,2,4,1,4,5,3,1,0,2,1,0,0,0,0,1,0,2,5,5,0,3,0,1,4,3,0,0,0,3,5,0,0,0,1,0,0
educational,9,1,5,1,2,2,4,1,0,1,6,7,7,10,13,13,0,2,6,0,16,3,5,33,10,1,7,7,3,20,2,6,7,37,0,0,1,4,0,0,0,4,10,1,1,4,3,3,0,0,1,1,4,0,0,0,9,2,0,0
food_and_drink,0,0,1,0,0,0,2,1,0,0,2,3,5,1,2,1,0,2,2,0,1,0,1,1,4,1,3,3,2,5,0,1,4,2,0,0,0,0,0,0,1,1,7,0,3,2,1,2,3,0,0,0,5,1,0,0,0,2,0,0
gaming,0,1,1,1,0,0,2,1,3,1,5,0,5,2,3,2,1,2,1,1,1,0,1,6,2,6,2,1,8,2,0,2,2,1,0,0,0,0,2,1,2,4,7,2,5,3,0,3,2,0,0,2,3,3,0,1,0,4,0,0
health,0,0,0,0,0,0,5,1,3,0,1,0,2,2,0,5,1,5,2,0,1,1,0,4,6,3,5,3,0,2,1,3,0,3,0,0,0,0,0,0,1,5,5,0,4,4,0,0,2,0,0,0,5,0,0,0,0,2,0,0
literature,0,0,6,0,0,0,0,0,0,0,1,0,2,1,0,9,0,0,0,0,1,5,0,0,0,0,0,7,1,7,21,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0
movies_and_television,1,4,1,3,6,0,3,2,5,4,9,3,14,9,2,0,1,3,3,0,5,0,13,11,23,12,20,2,8,4,2,22,1,6,0,0,0,0,0,1,1,3,10,1,12,4,3,8,3,0,1,1,2,4,0,0,4,9,0,0
music_and_entertainment,15,6,2,12,6,0,1,1,6,8,26,11,16,5,29,4,2,8,2,0,5,0,0,1,6,7,2,3,16,7,2,3,0,4,0,0,1,5,0,0,5,12,41,2,7,1,1,3,8,0,0,5,1,6,2,1,2,2,0,0
personal_or_auto-biographical,3,0,0,0,0,0,1,0,2,0,2,9,1,1,3,1,1,1,0,0,1,0,0,3,0,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,10,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
politics,2,0,20,1,0,73,7,1,0,0,4,0,2,80,0,27,0,3,4,0,25,10,33,4,20,4,24,9,0,35,17,81,30,5,0,0,0,3,0,0,2,0,3,0,4,2,29,11,2,0,0,0,10,0,0,0,2,3,0,0
religion,21,0,0,0,1,0,1,0,0,0,4,18,1,6,8,2,1,0,47,0,12,1,4,24,1,1,0,1,2,7,1,1,0,7,0,0,0,29,0,0,1,1,8,0,2,0,1,0,0,0,0,0,0,2,0,0,43,0,0,0
school_and_education,0,0,0,0,0,1,1,0,0,1,3,0,0,1,1,2,0,1,1,0,3,2,1,9,2,2,1,1,1,3,0,1,0,11,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sports,13,2,6,3,0,0,4,2,1,2,12,0,9,4,9,2,0,4,1,0,6,0,2,10,5,4,8,2,8,3,1,11,5,6,0,0,3,2,0,0,2,5,5,1,4,3,2,3,6,0,0,0,3,1,0,0,6,8,0,0
technology,5,1,6,1,0,5,0,1,0,1,5,15,4,30,6,16,0,0,8,0,37,3,16,57,11,2,6,11,7,16,11,19,7,45,0,1,0,5,0,0,1,0,13,1,4,1,6,5,0,0,0,0,1,1,0,0,9,1,0,0
the_environment,0,0,1,0,1,0,0,0,1,0,1,2,3,1,2,0,0,0,0,0,0,0,0,20,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0
the_mainstream_media,0,0,1,1,0,2,0,0,1,0,1,3,2,15,1,0,0,0,3,0,7,0,3,13,2,2,1,1,1,1,3,5,1,8,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
travel,1,0,1,1,0,0,0,0,2,2,0,0,4,1,3,0,0,1,0,0,0,0,0,3,0,4,0,1,3,0,0,3,0,2,0,0,0,0,0,0,1,1,8,0,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0
videoblogging,7,3,3,8,1,1,0,3,2,4,16,11,14,5,8,4,2,1,0,0,4,1,2,11,6,12,6,4,17,12,5,5,6,8,0,0,0,0,0,0,4,7,13,2,2,2,4,2,1,0,0,2,5,1,0,0,3,1,0,1
