category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,0,2,3,4,3,3,0,0,0,4,1,1,0,1,0,1,0,6,2,1,4,2,1,2,5,2,0,1,0,3,1,1,2,1,5,4,3,9,1,0,3,6,0,0,0,0,1,1,0,5,7,3,3,1,1,3,2,2,1,1,0,1,0,3,0,1,1,8,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
business,0,0,0,0,1,0,0,0,0,0,7,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,1,23,2,3,13,3,1,0,1,1,1,0,0,0,0,0,2,0,0,4,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,2,1,0,0
citizen_journalism,2,0,0,1,0,1,10,0,0,1,12,2,2,11,0,3,0,0,0,0,0,1,2,0,0,0,2,1,0,2,8,4,3,4,3,5,0,1,0,3,1,2,1,0,0,0,0,0,0,4,4,1,1,1,0,7,2,13,1,0,0,1,2,0,0,0,1,4,1,0
comedy,0,1,0,2,6,2,0,0,0,1,1,0,0,0,0,2,0,2,0,0,5,1,4,0,3,3,2,2,0,2,0,3,3,3,0,0,3,1,4,0,6,6,5,0,0,0,1,31,0,4,3,3,6,1,0,4,1,2,2,0,0,1,1,3,0,0,2,5,0,0
conferences_and_other_events,1,0,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,0,1,2,0,0,1,0,10,2,0,5,4,6,0,1,0,0,1,0,0,0,0,3,0,3,4,1,2,0,0,1,1,2,0,0,0,0,2,0,0,0,5,0,0,0
default_category,6,7,7,10,3,8,7,0,1,6,10,9,4,17,7,8,0,10,9,5,9,6,13,14,7,1,6,7,0,2,5,8,35,17,21,31,34,24,5,24,12,17,7,1,0,0,3,11,2,26,20,18,27,1,9,13,23,7,11,4,4,3,18,5,2,0,7,6,0,0
documentary,3,1,0,0,1,3,1,0,0,1,1,0,0,0,0,3,0,6,1,2,4,1,2,3,0,1,1,1,0,4,2,2,4,1,3,1,3,5,2,1,3,7,0,0,0,0,0,0,1,0,3,3,4,0,2,3,1,4,3,0,1,0,3,5,0,0,0,1,0,0
educational,5,1,4,1,2,1,2,1,0,1,2,3,6,3,2,4,0,0,1,1,2,5,4,13,2,0,0,6,0,3,3,5,33,7,13,37,9,10,0,2,1,7,4,0,0,0,1,4,0,4,10,16,6,1,5,4,3,3,0,2,1,1,17,0,0,0,9,2,0,0
food_and_drink,3,0,1,0,0,0,0,0,0,1,0,2,3,0,1,2,0,0,0,1,2,1,1,2,2,0,1,2,0,0,0,1,1,3,1,2,0,7,1,0,3,5,2,0,0,0,0,0,0,1,1,1,2,0,3,5,1,2,3,0,0,0,5,1,0,0,0,2,0,0
gaming,0,1,0,1,0,2,1,0,0,2,0,0,0,0,0,2,0,3,1,1,6,1,2,3,2,1,4,1,1,2,0,1,6,2,2,1,0,7,2,0,5,5,3,0,0,1,0,0,2,0,2,1,5,2,2,3,0,3,2,2,2,2,2,3,0,1,0,4,0,0
health,1,0,0,0,0,1,2,0,0,5,0,0,1,1,0,5,0,3,0,1,0,0,5,0,5,1,2,2,0,0,1,0,4,5,5,3,0,5,1,1,4,2,4,0,0,0,0,0,0,3,2,1,1,0,0,5,0,0,2,0,0,0,1,0,0,0,0,2,0,0
literature,5,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,1,21,0,2,0,0,0,0,0,0,0,0,1,1,1,0,2,0,14,0,0,0,1,0,3,0,0,0,2,0,0,0
movies_and_television,1,4,1,3,6,11,1,1,0,1,0,2,3,1,0,3,1,5,4,2,7,1,20,2,3,1,1,3,0,2,0,13,11,20,0,6,1,10,1,2,12,14,4,0,0,0,0,0,0,20,9,5,9,1,1,2,3,8,3,2,1,1,3,4,0,0,4,9,0,0
