category,cluster,precision
art,cluster 29,0.07518796992481203
movies_and_television,cluster 28,0.08550185873605948
web_development_and_sites,cluster 21,0.13513513513513514
politics,cluster 34,0.13682432432432431
sports,cluster 23,0.06532663316582915
technology,cluster 19,0.14214463840399003
educational,cluster 41,0.12542372881355932
school_and_education,cluster 41,0.20754716981132076
travel,cluster 35,0.16
music_and_entertainment,cluster 35,0.1277258566978193
the_environment,cluster 19,0.40816326530612246
religion,cluster 26,0.277992277992278
health,cluster 22,0.09195402298850575
citizen_journalism,cluster 21,0.25190839694656486
personal_or_auto-biographical,cluster 23,0.23529411764705882
food_and_drink,cluster 21,0.10256410256410256
conferences_and_other_events,cluster 23,0.1643835616438356
gaming,cluster 22,0.07272727272727272
literature,cluster 36,0.25301204819277107
business,cluster 19,0.27058823529411763
the_mainstream_media,cluster 9,0.1724137931034483
autos_and_vehicles,cluster 9,0.2857142857142857
comedy,cluster 26,0.23076923076923078
default_category,cluster 21,0.0803030303030303
videoblogging,cluster 23,0.0743801652892562
documentary,cluster 21,0.08333333333333333
