category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,0,0,0,1,4,0,0,0,5,0,0,7,4,5,1,1,1,2,1,0,1,0,1,1,0,2,2,8,4,7,44,2,1,2,1,0,9,0,3,0,2,0,3,0,3,0,3,1,0,0,0,2,0,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
business,0,0,3,4,1,0,3,1,0,1,3,4,0,0,1,0,3,0,0,0,2,0,0,2,0,0,1,10,1,10,3,0,1,2,0,0,5,2,1,2,0,1,1,1,0,3,0,5,2,1,3,0,0,0,3
citizen_journalism,1,0,0,0,1,0,0,2,0,1,14,7,8,0,2,0,3,0,1,0,0,0,1,1,0,1,3,5,0,7,5,1,2,0,0,0,9,1,0,11,5,1,7,1,6,2,3,2,0,0,5,1,0,0,11
comedy,0,10,1,6,4,0,0,0,4,1,0,7,1,0,4,0,0,2,1,0,1,0,0,2,0,1,3,9,2,20,35,0,2,0,1,0,5,3,2,1,0,0,1,0,2,3,7,5,0,0,0,0,0,0,0
conferences_and_other_events,0,0,1,2,2,0,0,1,0,4,0,9,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,4,6,4,0,0,0,0,0,11,5,1,0,1,1,2,2,1,1,0,4,0,1,0,0,0,1,0
default_category,1,7,6,9,12,3,3,5,12,13,7,23,9,11,18,1,18,2,6,4,9,3,5,27,2,10,11,25,30,53,87,3,18,8,6,2,36,19,6,9,9,4,13,5,13,10,15,17,6,5,3,10,2,6,7
documentary,0,4,1,4,2,0,0,0,3,0,1,7,4,1,0,0,2,0,1,1,5,0,0,0,0,3,2,3,3,8,13,3,3,3,3,0,2,1,5,4,4,1,2,0,2,1,0,1,1,2,0,1,2,0,0
educational,0,1,4,4,0,0,9,2,11,9,1,30,3,2,10,0,7,1,0,8,4,3,3,7,0,2,0,14,5,27,13,1,1,1,1,1,40,4,0,5,8,0,0,2,2,17,4,13,1,0,1,13,0,0,1
food_and_drink,0,2,2,6,3,0,0,0,3,5,0,1,2,1,2,0,0,0,0,0,0,0,1,3,0,1,1,4,3,7,4,2,0,0,0,0,3,0,0,5,1,0,0,0,9,0,1,5,1,0,0,0,0,0,0
gaming,0,5,1,2,1,0,0,0,4,1,1,4,1,2,1,1,1,1,11,1,0,1,0,2,0,0,1,5,4,2,21,2,2,1,0,0,3,3,2,0,6,0,0,1,1,3,7,3,1,0,0,1,0,0,0
health,0,0,1,1,1,0,1,1,8,0,2,0,1,0,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26,8,0,2,0,0,0,4,1,0,0,2,0,4,0,1,2,0,2,0,0,0,0,0,0,0
literature,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,11,3,0,2,5,2,0,32,1,1,0,1,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
movies_and_television,0,5,2,12,0,1,3,0,6,11,3,7,16,1,0,1,0,1,3,1,37,2,1,0,0,5,6,31,1,21,54,1,2,0,5,0,6,2,1,2,3,4,1,1,1,0,1,10,0,0,0,0,1,0,0
music_and_entertainment,1,3,4,10,4,4,1,0,11,5,0,8,9,23,3,6,4,5,16,1,6,4,1,2,0,0,2,10,18,3,95,2,2,0,0,3,4,3,19,1,2,2,0,0,3,2,6,4,1,3,1,1,4,0,0
personal_or_auto-biographical,5,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,2,1,0,0,2,4,6,0,5,1,1,0,0,0,0,1,2,1,1,0,0,1,1,0,3,1,0,3,0,1,0,0,0
politics,0,1,2,0,1,2,2,2,2,4,70,42,5,0,9,0,0,0,1,0,1,2,4,6,0,2,0,27,0,205,4,1,16,3,3,0,19,21,0,24,13,0,4,0,5,6,5,7,0,0,20,1,0,3,50
religion,0,0,1,7,2,2,2,2,2,26,1,74,10,3,1,0,2,0,0,0,4,2,0,2,0,0,1,9,13,19,32,4,0,0,0,0,10,1,1,0,0,2,5,0,0,5,1,3,0,0,1,1,0,12,0
school_and_education,0,0,0,1,1,0,2,0,4,4,0,2,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,2,1,1,12,1,0,0,0,0,6,0,0,1,0,0,1,1,1,0,2,3,0,0,0,0,0,0,0
sports,0,2,0,4,2,1,3,1,9,6,6,3,5,6,7,0,2,0,3,0,2,2,0,3,0,1,3,13,6,20,29,0,2,4,2,1,9,6,0,2,3,1,2,0,9,1,11,3,0,1,2,0,1,0,0
technology,2,3,10,3,9,0,4,0,8,10,2,24,6,5,8,0,4,1,1,5,5,2,2,15,0,1,2,28,12,42,23,2,2,2,2,0,63,10,2,6,8,1,6,0,5,29,1,15,3,3,1,9,0,0,0
the_environment,0,2,3,0,1,0,10,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,5,10,0,0,0,0,1,0,3,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
the_mainstream_media,0,0,0,2,1,0,3,1,0,1,0,4,1,1,17,1,1,1,1,0,0,1,0,1,0,0,1,9,2,10,2,0,0,1,0,0,12,0,0,1,2,2,1,2,0,0,1,3,0,3,0,0,0,0,0
travel,0,3,1,0,0,0,0,0,2,0,5,0,2,1,2,0,0,0,1,0,1,0,0,2,0,0,2,3,4,0,8,0,2,0,0,0,2,1,0,1,1,0,0,0,1,0,2,2,0,0,0,1,0,0,0
videoblogging,1,2,4,7,1,2,1,2,15,8,4,4,5,7,1,5,3,3,5,2,2,0,1,7,0,7,6,13,9,7,32,2,10,1,4,1,5,6,4,2,1,2,0,1,6,1,12,7,4,1,2,3,1,1,0
web_development_and_sites,0,1,0,0,0,0,0,0,0,0,1,3,2,0,3,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,8,1,0,1,0,0,0,0,0,3,2,3,0,0,0,3,0,0,0
