category,cluster,precision
art,cluster 8,0.3283582089552239
autos_and_vehicles,cluster 25,0.7142857142857143
business,cluster 2,0.12790697674418605
citizen_journalism,cluster 26,0.12213740458015267
comedy,cluster 8,0.23972602739726026
conferences_and_other_events,cluster 12,0.14864864864864866
default_category,cluster 8,0.13102409638554216
documentary,cluster 8,0.11926605504587157
educational,cluster 25,0.16891891891891891
food_and_drink,cluster 23,0.11538461538461539
gaming,cluster 8,0.19090909090909092
health,cluster 2,0.3068181818181818
literature,cluster 13,0.3855421686746988
movies_and_television,cluster 8,0.19852941176470587
music_and_entertainment,cluster 8,0.2950310559006211
personal_or_auto-biographical,cluster 15,0.1568627450980392
politics,cluster 2,0.34789915966386553
religion,cluster 12,0.30038022813688214
school_and_education,cluster 8,0.22641509433962265
sports,cluster 8,0.1457286432160804
technology,cluster 25,0.17444717444717445
the_environment,cluster 16,0.2653061224489796
the_mainstream_media,cluster 25,0.3258426966292135
travel,cluster 8,0.16
videoblogging,cluster 8,0.13168724279835392
web_development_and_sites,cluster 25,0.2894736842105263
