category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42
art,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,118,0
autos_and_vehicles,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
business,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,19,0,0,0,1,0,0,0,1,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,52,0
citizen_journalism,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,1,0,0,11,0,0,0,3,0,5,6,4,4,0,0,0,0,0,0,0,83,0
comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109,0
conferences_and_other_events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
default_category,0,1,0,0,0,5,1,1,6,2,1,1,0,10,3,1,13,0,2,2,2,1,3,0,0,5,1,2,2,1,1,0,2,1,0,1,1,1,1,2,1,0,578,5
documentary,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100,0
educational,0,1,0,0,0,3,0,0,1,0,0,1,0,3,0,0,19,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,260,0
food_and_drink,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
gaming,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0
health,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,3,0,0,74,0
literature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
movies_and_television,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,254,0
music_and_entertainment,0,0,6,0,0,0,1,0,0,0,0,0,0,24,3,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,6,0,1,0,0,2,0,267,1
personal_or_auto-biographical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
politics,0,0,0,6,0,132,3,0,1,0,0,0,0,1,1,3,3,0,10,0,3,0,9,0,2,66,0,0,8,11,0,1,21,6,4,0,0,0,3,1,0,5,292,0
religion,0,0,2,0,4,2,0,0,3,0,0,0,23,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,212,0
school_and_education,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,0
sports,0,2,0,3,0,3,0,2,0,0,0,0,0,17,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,157,2
technology,4,1,1,0,0,14,0,1,0,0,0,4,0,1,0,0,22,0,2,1,2,0,1,6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,333,0
the_environment,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
the_mainstream_media,0,2,1,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
travel,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
videoblogging,0,0,2,0,0,2,0,1,0,0,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,224,0
web_development_and_sites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
