category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43
art,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,16,1,2,0,0,9,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,80,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
business,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,39,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,0
citizen_journalism,0,0,2,0,0,1,0,7,6,8,0,2,0,0,1,17,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,15,0,0,0,0,1,0,0,60,1
comedy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,45,1,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0
conferences_and_other_events,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0
default_category,1,0,1,1,1,1,0,1,2,1,0,3,0,1,38,112,35,4,5,3,10,2,3,2,0,1,2,0,5,1,0,7,1,4,2,8,2,0,0,0,0,0,2,398,0
documentary,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,9,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
educational,0,0,1,0,1,1,0,1,0,0,1,0,0,1,8,93,7,1,1,0,2,0,1,1,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,169,0
food_and_drink,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
gaming,0,0,0,0,1,0,2,0,0,0,0,0,0,0,12,10,0,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,74,0
health,4,0,1,0,0,5,0,1,0,0,0,0,0,0,1,13,0,0,1,0,0,0,0,0,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
literature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,36,0
movies_and_television,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,57,5,2,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,4,0,0,0,0,0,184,0
music_and_entertainment,0,0,1,0,2,0,0,0,0,0,0,0,0,0,78,15,3,8,1,1,22,1,2,4,0,2,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,172,2
personal_or_auto-biographical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2
politics,0,0,4,15,0,3,0,15,21,1,1,1,4,2,1,212,55,0,3,1,0,0,0,2,0,0,3,0,6,0,4,0,2,1,0,75,0,0,3,5,6,0,0,146,0
religion,0,5,0,0,0,1,0,0,0,1,0,0,0,0,15,133,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,95,0
school_and_education,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
sports,0,0,0,0,0,3,1,0,0,0,0,1,0,0,25,39,6,2,0,0,8,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,105,0
technology,0,0,0,1,0,0,0,3,0,0,4,0,0,1,6,182,14,1,1,1,1,0,0,0,0,1,0,0,6,1,1,0,0,1,1,1,0,0,2,0,0,2,0,169,1
the_environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
the_mainstream_media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
videoblogging,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18,27,9,2,0,0,14,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,161,1
web_development_and_sites,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
