cluster,category,precision
24,travel,0.4
25,travel,0.2222222222222222
26,food_and_drink,0.6666666666666666
27,citizen_journalism,0.8
20,citizen_journalism,0.25
21,literature,0.5
22,art,0.6
23,citizen_journalism,0.2
28,citizen_journalism,0.8571428571428571
29,travel,0.4
1,food_and_drink,0.2077922077922078
0,travel,0.13148283418553688
3,videoblogging,0.21428571428571427
2,citizen_journalism,0.3673469387755102
5,default_category,0.42857142857142855
4,citizen_journalism,0.25821596244131456
7,travel,0.4
6,citizen_journalism,0.2
9,movies_and_television,0.5
8,autos_and_vehicles,0.45454545454545453
11,citizen_journalism,0.35714285714285715
10,citizen_journalism,0.7151515151515152
13,travel,0.22857142857142856
12,comedy,0.3333333333333333
15,movies_and_television,0.25
14,comedy,0.21428571428571427
17,literature,0.5
16,citizen_journalism,0.25
19,citizen_journalism,0.6
18,citizen_journalism,0.4
31,autos_and_vehicles,0.5
30,educational,0.5
37,literature,0.4
36,travel,0.8
35,conferences_and_other_events,0.16666666666666666
34,citizen_journalism,0.42857142857142855
33,autos_and_vehicles,0.2
-1,travel,0.17100371747211895
32,comedy,0.25
