category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8
art,0,2,0,0,121,1,0,0,10,0
autos_and_vehicles,0,0,0,0,7,0,0,0,0,0
business,0,0,0,1,85,0,0,0,0,0
citizen_journalism,0,0,1,4,126,0,0,0,0,0
comedy,5,0,0,0,141,0,0,0,0,0
conferences_and_other_events,0,1,0,0,72,1,0,0,0,0
default_category,0,4,1,0,658,1,0,0,0,0
documentary,0,0,0,0,108,0,0,0,1,0
educational,0,0,0,0,296,0,0,0,0,0
food_and_drink,0,0,0,0,78,0,0,0,0,0
gaming,0,0,0,0,110,0,0,0,0,0
health,0,1,0,0,87,0,0,0,0,0
literature,0,0,0,0,83,0,0,0,0,0
movies_and_television,0,1,0,0,271,0,0,0,0,0
music_and_entertainment,0,3,0,0,317,0,0,0,2,0
personal_or_auto-biographical,0,0,0,0,51,0,0,0,0,0
politics,0,0,6,8,533,0,38,5,0,5
religion,0,1,0,0,261,1,0,0,0,0
school_and_education,0,0,0,0,53,0,0,0,0,0
sports,0,2,0,0,195,1,0,0,1,0
technology,0,1,0,0,404,2,0,0,0,0
the_environment,0,0,0,0,49,0,0,0,0,0
the_mainstream_media,0,0,0,0,89,0,0,0,0,0
travel,0,0,0,0,50,0,0,0,0,0
videoblogging,0,3,0,0,240,0,0,0,0,0
web_development_and_sites,0,0,0,0,38,0,0,0,0,0
