category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12
art,0,0,0,0,18,0,0,115,0,1,0,0,0,0
autos_and_vehicles,0,0,0,0,0,0,0,7,0,0,0,0,0,0
business,0,0,0,0,1,1,0,83,0,1,0,0,0,0
citizen_journalism,0,0,0,0,0,5,1,124,1,0,0,0,0,0
comedy,0,0,0,9,1,0,0,136,0,0,0,0,0,0
conferences_and_other_events,0,0,0,0,2,0,0,72,0,0,0,0,0,0
default_category,0,0,0,1,16,0,1,640,1,4,0,0,0,1
documentary,0,0,0,0,2,0,0,107,0,0,0,0,0,0
educational,0,0,0,0,3,0,0,293,0,0,0,0,0,0
food_and_drink,0,0,0,0,1,0,0,77,0,0,0,0,0,0
gaming,0,0,0,0,2,0,0,108,0,0,0,0,0,0
health,0,11,0,0,1,0,0,76,0,0,0,0,0,0
literature,0,0,0,0,0,0,0,83,0,0,0,0,0,0
movies_and_television,0,0,0,0,2,0,0,269,0,1,0,0,0,0
music_and_entertainment,0,0,0,0,14,0,0,308,0,0,0,0,0,0
personal_or_auto-biographical,0,0,0,0,3,0,0,48,0,0,0,0,0,0
politics,0,0,0,0,0,10,11,426,6,115,8,3,12,4
religion,10,0,5,0,8,0,1,239,0,0,0,0,0,0
school_and_education,0,0,0,0,0,0,0,53,0,0,0,0,0,0
sports,0,0,0,0,7,0,0,191,0,1,0,0,0,0
technology,0,0,0,0,5,0,2,400,0,0,0,0,0,0
the_environment,0,0,0,0,0,0,0,49,0,0,0,0,0,0
the_mainstream_media,0,0,0,0,0,0,0,89,0,0,0,0,0,0
travel,0,0,0,0,0,0,0,50,0,0,0,0,0,0
videoblogging,0,0,0,0,8,0,0,235,0,0,0,0,0,0
web_development_and_sites,0,0,0,0,0,0,0,38,0,0,0,0,0,0
