category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13
art,0,0,0,0,1,21,0,0,111,0,0,0,0,0,1
autos_and_vehicles,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
business,0,0,0,0,3,1,0,0,81,1,0,0,0,0,0
citizen_journalism,0,0,0,0,3,0,0,0,118,5,1,2,0,2,0
comedy,0,0,0,0,2,19,5,0,120,0,0,0,0,0,0
conferences_and_other_events,0,0,0,0,1,2,0,0,70,0,0,0,1,0,0
default_category,0,1,0,0,19,27,2,0,613,0,1,0,0,0,1
documentary,1,0,0,0,1,3,0,0,104,0,0,0,0,0,0
educational,0,0,0,0,3,4,2,4,283,0,0,0,0,0,0
food_and_drink,0,0,0,0,1,1,0,0,76,0,0,0,0,0,0
gaming,0,0,0,0,0,6,0,0,103,0,0,0,1,0,0
health,0,1,0,0,24,6,0,0,56,0,0,0,1,0,0
literature,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
movies_and_television,0,0,0,0,1,6,1,0,264,0,0,0,0,0,0
music_and_entertainment,0,0,0,0,0,33,0,0,289,0,0,0,0,0,0
personal_or_auto-biographical,0,0,0,0,0,3,0,0,48,0,0,0,0,0,0
politics,18,0,0,0,170,0,1,0,360,30,6,5,2,3,0
religion,0,0,11,18,3,11,1,0,218,0,0,0,0,0,1
school_and_education,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
sports,0,1,0,0,6,15,0,0,173,0,0,0,0,0,4
technology,0,1,0,0,15,7,0,0,380,0,0,0,4,0,0
the_environment,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
the_mainstream_media,0,2,0,0,2,1,1,0,82,0,0,0,1,0,0
travel,0,0,0,0,0,2,0,0,48,0,0,0,0,0,0
videoblogging,0,0,0,0,1,8,0,1,233,0,0,0,0,0,0
web_development_and_sites,0,0,0,0,1,0,0,1,35,1,0,0,0,0,0
