category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15
art,0,0,0,0,0,0,0,90,1,0,43,0,0,0,0,0,0
autos_and_vehicles,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0
business,0,0,0,0,0,1,0,38,0,0,44,0,0,2,0,0,1
citizen_journalism,0,0,0,0,0,1,0,69,0,0,53,0,3,5,0,0,0
comedy,1,0,0,0,0,0,0,93,0,0,52,0,0,0,0,0,0
conferences_and_other_events,0,0,0,0,0,0,0,40,0,4,30,0,0,0,0,0,0
default_category,0,2,0,1,3,0,5,296,5,7,341,1,2,1,0,0,0
documentary,0,0,0,1,0,0,3,42,0,0,63,0,0,0,0,0,0
educational,0,1,0,0,0,0,0,167,0,5,123,0,0,0,0,0,0
food_and_drink,0,1,0,1,0,1,0,40,1,0,34,0,0,0,0,0,0
gaming,0,0,0,0,0,0,0,56,0,0,54,0,0,0,0,0,0
health,0,0,0,1,0,0,0,73,0,0,14,0,0,0,0,0,0
literature,0,0,0,1,0,0,1,20,0,1,42,15,0,0,0,3,0
movies_and_television,1,0,0,0,0,1,4,198,0,1,67,0,0,0,0,0,0
music_and_entertainment,1,1,0,0,0,0,0,175,3,1,141,0,0,0,0,0,0
personal_or_auto-biographical,0,0,0,0,0,0,0,13,1,1,36,0,0,0,0,0,0
politics,1,1,5,0,0,1,1,407,0,10,120,2,13,29,0,1,4
religion,0,0,0,0,0,0,0,181,2,1,72,0,0,0,7,0,0
school_and_education,1,0,0,0,1,0,0,32,0,0,19,0,0,0,0,0,0
sports,0,0,0,0,0,0,1,132,0,2,64,0,0,0,0,0,0
technology,1,1,0,0,0,0,1,237,2,7,158,0,0,0,0,0,0
the_environment,0,0,0,0,0,0,0,24,0,0,25,0,0,0,0,0,0
the_mainstream_media,0,0,0,0,1,0,0,58,0,0,30,0,0,0,0,0,0
travel,0,0,0,0,0,0,0,22,0,0,28,0,0,0,0,0,0
videoblogging,0,0,0,0,0,0,2,97,1,1,140,2,0,0,0,0,0
web_development_and_sites,0,1,0,0,0,0,0,20,0,0,17,0,0,0,0,0,0
