cluster,category,precision
-1,travel,0.18908227848101267
0,citizen_journalism,0.13847137831787656
1,travel,0.45454545454545453
10,citizen_journalism,0.7368421052631579
11,citizen_journalism,0.8
12,default_category,1.0
13,health,1.0
14,autos_and_vehicles,0.16666666666666666
15,citizen_journalism,0.3333333333333333
16,conferences_and_other_events,0.25
17,travel,0.5
18,autos_and_vehicles,0.25
19,travel,0.5
2,default_category,0.3333333333333333
20,music_and_entertainment,1.0
3,travel,0.25
4,citizen_journalism,0.29411764705882354
5,travel,0.35294117647058826
6,travel,0.2857142857142857
7,conferences_and_other_events,0.3333333333333333
8,school_and_education,0.4
9,travel,0.21428571428571427
