category,cluster,precision
art,cluster 6,0.8582089552238806
movies_and_television,cluster 6,0.9889705882352942
web_development_and_sites,cluster 6,1.0
politics,cluster 6,0.7159663865546219
sports,cluster 6,0.9597989949748744
technology,cluster 6,0.9828009828009828
educational,cluster 6,0.9898648648648649
school_and_education,cluster 6,1.0
travel,cluster 6,1.0
music_and_entertainment,cluster 6,0.9565217391304348
the_environment,cluster 6,1.0
religion,cluster 6,0.908745247148289
health,cluster 6,0.8636363636363636
citizen_journalism,cluster 6,0.9465648854961832
personal_or_auto-biographical,cluster 6,0.9411764705882353
food_and_drink,cluster 6,0.9871794871794872
conferences_and_other_events,cluster 6,0.972972972972973
gaming,cluster 6,0.9818181818181818
literature,cluster 6,1.0
business,cluster 6,0.9651162790697675
the_mainstream_media,cluster 6,1.0
autos_and_vehicles,cluster 6,1.0
comedy,cluster 6,0.9315068493150684
default_category,cluster 6,0.963855421686747
videoblogging,cluster 6,0.9670781893004116
documentary,cluster 6,0.981651376146789
