cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,6,2,3,30,3,24,20,4,2,9,0,1,7,9,3,6,2,3,17,5,2,0,1,38,8,8
1,2,17,1,18,6,10,9,4,1,10,0,1,12,6,2,4,3,9,0,5,2,0,4,18,14,6
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,3,16,5,18,12,71,52,15,3,6,20,16,6,20,3,5,10,3,7,29,16,0,4,54,16,5
13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,12,0,5,15,6,8,3,0,26,1,4,3,1,2,3,2,6,2,0,1,0,6,33,19,4
15,2,1,0,2,2,1,0,0,1,6,0,1,1,0,1,1,0,4,1,1,0,0,6,5,4,2
16,4,30,3,83,11,19,12,0,3,3,1,1,5,7,0,2,5,2,0,1,5,3,5,35,6,1
17,4,5,2,5,4,18,17,1,0,9,1,85,0,1,0,2,10,3,0,4,2,0,34,34,5,0
18,0,0,1,96,1,2,2,0,0,0,0,0,0,21,0,0,0,0,0,6,0,0,0,11,1,0
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,9,11,6,88,6,61,23,4,1,7,1,12,6,6,2,1,2,3,5,6,17,0,5,39,9,4
21,7,15,0,6,11,3,2,1,3,8,1,2,6,3,1,3,0,6,0,2,0,0,8,11,5,4
22,4,10,3,17,13,64,46,9,0,4,0,70,2,4,0,4,8,2,2,7,13,1,3,34,9,2
23,8,16,1,19,9,8,6,1,5,15,1,1,3,18,0,4,2,6,0,4,2,1,6,32,6,7
24,7,7,0,0,2,0,1,0,2,8,1,0,5,0,2,2,1,4,0,0,1,0,3,14,3,7
25,4,7,1,0,0,0,2,0,0,8,1,1,1,0,1,0,0,0,0,0,0,0,6,4,3,2
26,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
27,2,1,0,0,4,1,2,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,2,4,2,0
28,4,28,1,14,13,6,9,2,2,17,3,2,4,3,1,6,0,5,1,0,1,0,9,29,22,2
29,9,22,1,92,15,30,15,2,2,4,0,6,3,6,1,5,2,3,3,2,8,2,5,31,8,5
3,1,1,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,5,0,0,0,0,3,5,2,1
30,11,11,1,1,6,13,12,1,9,56,3,13,3,1,11,7,7,9,0,2,4,0,1,27,15,8
31,5,9,1,5,6,1,4,1,2,12,0,0,6,0,1,4,0,6,0,0,0,0,7,15,3,1
32,5,2,1,3,22,27,27,3,4,43,2,35,1,4,15,3,12,3,1,7,5,0,2,61,28,8
33,1,3,1,38,2,13,5,0,0,2,0,2,1,5,0,1,2,0,28,1,2,0,0,35,5,3
34,2,3,2,41,6,6,3,1,0,1,1,0,0,0,1,1,2,0,15,1,0,0,1,17,6,3
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,6,0,2,6,1,0,0,1,12,4,2,0,1,0,2,0,2,0,0,1,0,3,11,1,7
6,8,17,1,2,10,11,4,1,5,27,4,2,0,1,3,4,1,12,1,1,3,0,8,22,23,8
7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,7,2,0,0,6,1,5,0,3,8,0,1,8,4,0,1,1,4,0,0,0,0,4,11,7,4
9,10,13,1,7,8,3,7,0,1,9,0,0,4,7,1,7,1,5,0,1,2,0,7,26,11,6
