category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,7,4,0,2,9,7,4,8,4,9,2,6,1,0,3,0,0,8,10,7,0,0,1,3,2,4,4,4,0,0,5,11,2,1,5
autos_and_vehicles,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
business,0,0,0,0,6,2,7,4,0,2,5,5,0,0,0,0,0,1,1,0,0,0,0,29,1,0,4,1,0,6,0,2,1,1,7
citizen_journalism,0,0,0,1,6,3,4,18,3,6,6,9,1,0,1,0,1,1,7,4,0,0,0,20,0,1,1,7,0,21,0,1,0,5,4
comedy,3,6,0,2,5,8,3,6,9,5,4,1,3,0,3,0,0,8,7,4,0,0,0,4,6,6,34,5,0,0,7,1,1,0,2
conferences_and_other_events,1,0,0,0,2,0,8,2,0,2,3,2,0,0,0,0,0,1,1,1,0,0,0,10,0,2,10,5,0,0,0,7,2,2,12
default_category,14,4,2,4,39,11,34,32,29,31,18,38,5,1,11,0,0,22,26,11,1,0,0,54,5,33,34,35,0,11,15,27,17,35,61
documentary,7,2,0,0,4,4,2,7,2,5,6,8,1,0,7,0,0,8,6,4,0,0,0,5,2,4,0,1,0,0,1,8,3,3,8
educational,1,2,0,2,23,2,46,6,9,15,9,20,1,0,0,0,1,4,7,5,0,0,0,52,0,8,17,12,0,2,4,12,3,5,27
food_and_drink,2,0,0,0,1,3,4,4,6,5,4,6,0,0,2,0,0,4,7,1,0,0,0,5,1,3,2,2,0,0,4,7,1,1,3
gaming,4,0,1,2,3,6,2,6,5,3,9,3,5,0,2,0,0,12,5,4,0,1,0,3,4,6,3,2,1,0,6,9,0,0,3
health,5,1,0,0,6,6,2,3,4,3,12,7,0,0,0,0,0,0,4,8,0,0,0,6,1,3,0,5,0,0,6,3,0,1,1
literature,0,0,0,0,5,0,2,0,1,3,0,17,0,0,0,0,0,1,0,0,0,0,0,7,1,2,0,0,0,0,0,0,15,28,1
movies_and_television,7,7,0,1,11,15,10,16,28,22,17,2,1,0,6,0,0,17,13,2,0,0,1,16,1,12,5,30,1,0,9,11,3,3,2
music_and_entertainment,8,8,2,3,7,8,4,15,17,4,10,9,5,0,12,0,0,27,9,8,0,0,1,6,6,26,9,3,0,0,12,56,1,2,43
personal_or_auto-biographical,2,1,0,0,2,1,0,0,1,1,2,3,0,0,0,0,0,3,1,0,0,0,0,3,1,2,0,0,0,0,1,11,1,0,15
politics,0,0,0,0,88,6,17,19,14,92,18,30,0,0,2,0,0,2,7,0,0,0,0,18,2,5,5,83,0,96,5,1,41,38,3
religion,0,1,0,0,12,2,70,1,2,6,1,1,1,0,2,0,0,2,0,1,0,0,0,16,1,4,85,1,0,0,0,13,0,2,35
school_and_education,0,0,0,0,4,1,9,1,2,2,4,4,0,0,0,0,0,1,0,0,0,0,0,15,0,3,1,0,0,0,1,1,1,0,3
sports,2,0,0,4,6,11,13,9,13,15,6,3,0,0,6,0,0,10,8,6,0,0,0,12,2,15,4,11,0,1,6,6,6,2,22
technology,0,0,0,1,61,3,64,8,6,30,10,24,0,0,1,1,0,11,3,1,0,0,0,71,1,6,18,19,0,2,1,13,6,13,27
the_environment,1,1,4,0,1,1,0,1,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,20,0,1,1,1,0,0,0,3,1,0,2
the_mainstream_media,1,0,0,0,17,0,13,2,1,8,2,2,0,0,1,0,0,3,2,0,0,0,0,16,0,1,2,5,0,0,0,4,0,2,5
travel,2,0,0,0,1,3,0,5,2,2,1,2,0,0,1,0,0,5,1,3,0,0,0,3,1,0,0,3,0,0,2,9,0,0,4
videoblogging,3,3,0,2,9,5,9,6,22,8,14,8,2,0,1,0,1,23,11,7,0,0,0,16,4,19,5,6,0,1,3,15,6,5,28
web_development_and_sites,0,1,1,0,6,0,3,1,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,5,0,0,2,3,0,1,1,1,2,1,1
