category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,8,0,3,3,3,6,1,4,3,1,7,1,0,0,2,4,5,0,12,5,0,1,0,1,0,6,4,9,3,1,2,4,6,10,2,7,5,0,1,3
autos_and_vehicles,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
business,1,0,0,0,0,3,0,4,28,0,0,3,0,0,0,0,0,0,2,1,0,2,0,0,0,0,3,4,2,0,1,4,11,1,1,0,1,6,2,5
citizen_journalism,0,0,1,0,1,3,5,22,6,1,3,21,0,0,1,2,1,0,4,0,0,4,1,0,0,8,3,5,1,0,5,2,6,1,0,0,1,21,1,1
comedy,7,0,4,3,7,2,0,3,2,3,4,1,0,0,2,5,8,0,6,7,0,2,0,5,0,5,6,4,34,0,7,0,1,1,1,2,6,0,2,3
conferences_and_other_events,1,0,0,1,0,4,2,2,8,0,1,5,0,0,0,0,2,0,0,0,0,2,0,0,0,3,1,1,8,0,2,2,5,7,2,1,0,0,3,10
default_category,20,0,12,17,10,24,26,19,31,5,10,34,1,1,4,19,36,0,16,4,0,18,0,8,0,30,16,34,31,2,22,41,43,24,16,11,11,12,15,37
documentary,7,0,5,4,1,2,2,5,4,1,4,3,0,0,0,1,6,0,3,2,0,2,0,5,0,3,6,3,0,0,3,6,6,8,3,6,3,1,1,2
educational,3,0,0,3,5,12,5,6,37,1,4,20,0,0,2,2,7,0,4,2,1,13,0,0,0,15,1,22,14,0,10,12,41,12,3,1,1,2,13,21
food_and_drink,3,0,3,3,4,3,1,3,3,0,1,1,0,0,0,3,2,0,3,0,0,4,0,2,0,4,3,2,1,0,3,4,5,7,1,0,3,0,2,4
gaming,9,1,3,4,4,3,0,4,4,5,4,1,0,0,2,3,5,1,5,0,0,4,0,4,0,0,7,4,2,1,6,2,2,9,0,3,5,0,1,2
health,0,0,1,0,1,2,0,5,4,1,9,3,0,0,0,2,3,0,4,0,0,11,0,1,0,5,2,4,0,0,3,1,7,3,0,4,8,0,2,1
literature,1,0,0,0,0,4,23,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,6,0,0,1,0,13,0,14,0,0,0,0,7
movies_and_television,14,1,5,5,7,4,3,11,13,1,2,5,0,0,1,17,16,0,12,7,1,11,0,3,0,23,16,10,3,0,33,3,5,11,3,6,11,0,5,1
music_and_entertainment,24,0,11,14,12,1,2,3,3,5,5,3,0,0,3,15,26,0,4,10,1,5,0,6,0,4,11,6,7,2,4,51,8,44,2,10,7,0,2,10
personal_or_auto-biographical,2,0,0,1,1,2,0,0,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2,1,0,0,1,8,2,12,1,2,1,0,0,7
politics,0,0,2,0,5,90,33,17,5,0,0,19,0,0,0,6,5,0,8,0,0,21,0,2,0,74,5,65,4,0,47,0,32,0,37,0,4,98,4,9
religion,2,0,1,0,0,5,2,0,16,1,1,4,0,0,0,1,3,0,0,1,0,2,0,2,0,3,1,11,74,0,0,17,4,12,0,0,2,0,67,27
school_and_education,1,0,0,1,1,2,0,0,8,0,0,6,0,0,0,1,3,0,0,0,0,1,0,0,0,1,3,3,1,0,1,0,11,1,1,0,1,0,2,4
sports,10,0,6,3,5,6,2,5,12,0,5,1,0,0,4,7,13,0,11,2,0,6,0,1,0,13,5,6,4,0,13,20,11,7,6,2,6,1,3,3
technology,10,0,0,2,0,26,11,6,63,0,1,17,0,0,1,3,5,0,2,0,0,11,0,2,1,27,2,60,11,0,11,16,60,9,5,0,4,2,16,17
the_environment,4,0,1,0,0,1,0,1,19,0,0,1,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,1,4,3,1,0,3,0,1,1,0,0,1
the_mainstream_media,3,0,1,1,0,9,2,0,16,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,6,2,16,1,0,2,4,10,4,0,1,0,0,3,1
travel,5,0,1,1,2,0,0,1,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,5,1,0,0,2,3,3,8,0,2,2,0,0,1
videoblogging,22,0,1,8,4,6,5,3,11,2,5,6,0,0,2,19,17,0,6,3,0,4,1,5,0,3,13,11,5,0,9,21,12,15,6,3,2,1,1,10
web_development_and_sites,1,0,0,0,1,3,1,2,4,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,2,1,2,1,4,1,2,0,0,1,1,1
