category,cluster,precision
art,cluster 29,0.06015037593984962
autos_and_vehicles,cluster 6,0.2857142857142857
business,cluster 34,0.2
citizen_journalism,cluster 20,0.12213740458015267
comedy,cluster 47,0.23776223776223776
conferences_and_other_events,cluster 63,0.1232876712328767
default_category,cluster 31,0.05303030303030303
documentary,cluster 23,0.06481481481481481
educational,cluster 34,0.08813559322033898
food_and_drink,cluster 63,0.08974358974358974
gaming,cluster 58,0.06363636363636363
health,cluster 3,0.10344827586206896
literature,cluster 18,0.25301204819277107
movies_and_television,cluster 11,0.07434944237918216
music_and_entertainment,cluster 42,0.1059190031152648
personal_or_auto-biographical,cluster 63,0.19607843137254902
politics,cluster 57,0.11486486486486487
religion,cluster 65,0.25868725868725867
school_and_education,cluster 66,0.16981132075471697
sports,cluster 31,0.08542713567839195
technology,cluster 34,0.11221945137157108
the_environment,cluster 34,0.3673469387755102
the_mainstream_media,cluster 34,0.14942528735632185
travel,cluster 58,0.12
videoblogging,cluster 31,0.05371900826446281
web_development_and_sites,cluster 6,0.08108108108108109
