cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,23,83,1,42,50,62,49,2,2,45,2,19,6,33,15,1,5,40,0,2,28,0,11,94,7,47
1,1162,1601,25,452,490,228,250,93,116,1470,13,383,86,149,15,50,39,300,2,27,89,0,581,1392,328,467
10,163,57,0,1320,38,111,41,2,0,52,0,14,206,275,1,1,61,6,0,10,21,0,32,270,38,96
11,59,67,0,24,29,51,45,6,4,81,19,14,3,2,4,42,8,46,0,9,9,0,46,102,48,17
12,164,122,13,138,64,146,202,18,11,37,20,21,18,22,7,29,18,95,4,3,9,0,50,235,39,17
13,45,32,1,6,39,72,16,1,5,226,10,6,1,2,13,12,12,52,1,5,4,0,54,164,49,40
14,69,125,1,131,35,50,11,12,10,65,1,16,65,90,0,7,23,20,0,4,31,0,12,62,13,43
15,139,207,6,707,53,113,55,4,4,74,8,39,57,267,1,4,41,13,0,10,66,0,17,312,28,84
16,24,53,47,144,33,249,281,23,0,30,3,457,18,49,2,8,82,26,1,14,18,1,70,158,21,14
17,220,215,19,639,66,149,163,13,4,71,2,217,45,166,9,13,59,142,2,8,28,0,58,299,18,134
18,18,45,1,141,15,24,34,0,1,68,539,4,0,34,0,24,7,23,0,4,12,0,64,86,34,21
19,64,27,56,2618,278,104,602,8,13,3,1,375,267,37,2,20,77,7,0,39,21,6,40,509,39,26
2,145,156,25,4486,51,404,160,9,0,171,3,238,74,272,2,6,143,128,3,26,16,0,105,500,21,216
20,185,65,23,140,142,323,144,23,26,78,86,14,17,73,9,127,29,71,6,18,11,4,67,335,61,25
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,34,169,6,90,61,49,29,6,14,89,3,33,10,33,3,12,16,24,0,8,25,0,36,70,42,42
23,66,198,7,93,64,70,36,10,4,64,10,41,14,49,1,13,18,48,2,1,14,0,45,172,37,100
24,157,444,7,211,166,80,70,21,29,249,7,64,27,66,6,54,22,66,2,7,15,0,165,305,105,141
25,51,205,1,110,38,66,26,3,15,108,2,11,2,15,0,11,17,33,2,6,13,0,54,104,40,44
26,70,38,22,136,93,126,101,6,17,142,15,52,27,38,22,31,22,27,35,24,10,4,23,222,97,34
27,72,308,13,108,102,159,85,18,22,198,4,74,29,53,13,31,25,84,4,14,22,1,81,263,76,80
28,83,195,33,548,94,799,272,17,4,37,9,276,24,271,3,14,127,57,5,46,194,0,42,422,24,22
29,82,125,0,74,21,19,13,6,15,112,0,25,7,25,0,4,2,8,0,0,27,0,32,77,28,53
3,36,154,2,3407,106,1065,255,0,2,5,484,132,119,145,1,59,55,7,6,90,126,0,170,726,191,103
30,150,145,29,916,39,336,157,12,3,180,0,1287,25,203,3,8,96,67,5,17,67,0,47,379,25,127
31,47,44,0,87,30,11,8,1,1,22,5,8,27,88,0,0,4,7,0,0,42,0,2,38,5,18
32,84,113,0,170,20,26,12,2,4,37,0,16,1,130,0,0,21,10,0,1,9,0,25,73,17,64
33,19,42,3,49,48,30,48,6,17,37,37,15,6,8,5,35,2,22,0,8,5,2,45,77,30,9
34,43,303,0,141,21,14,17,2,8,80,5,25,22,44,1,8,13,11,0,7,51,1,25,73,51,60
35,70,210,2,168,43,85,30,10,14,80,5,21,8,149,1,1,23,29,0,7,43,0,28,150,69,79
