category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,84,68,117,33,161,197,69,60,7,38,42,112,137,232,56,108,1284,313,57,19,167,15,168,219,87,38,47,166,139,71,91,52,35,71,237
autos_and_vehicles,0,0,1,0,3,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,1,0,0,4,8,0,7,0,0,0,1,0,0,0,0
business,1,1,26,32,48,17,4,13,0,0,61,26,10,32,11,52,30,84,9,31,23,34,10,22,36,8,63,3,3,14,7,55,17,9,18
citizen_journalism,129,52,82,31,95,137,91,67,3,39,34,40,286,369,41,305,184,514,9,43,227,16,287,75,39,47,19,22,164,63,106,140,14,157,156
comedy,25,46,129,65,110,262,12,26,1,26,95,84,20,130,20,59,682,155,54,1,90,42,33,118,82,91,69,50,44,29,28,120,28,29,69
conferences_and_other_events,21,19,50,11,82,62,23,44,0,22,30,33,41,185,31,171,52,304,12,2,135,31,62,41,32,0,64,18,16,18,16,93,15,23,62
default_category,74,184,396,315,376,382,67,154,15,87,255,275,319,700,155,535,1637,1129,166,148,458,159,279,471,337,229,233,235,123,85,100,736,316,152,265
documentary,65,104,124,8,100,168,44,81,11,71,39,68,85,290,91,27,568,57,30,30,133,65,98,78,45,32,17,17,79,88,78,94,13,80,149
educational,13,39,151,171,250,140,11,102,4,41,66,172,61,252,47,399,299,740,69,22,286,87,41,142,249,19,286,200,30,48,25,316,497,30,305
food_and_drink,0,13,65,72,28,102,8,2,0,9,77,117,2,13,26,21,74,52,29,2,12,2,2,135,97,21,30,28,9,10,10,10,0,1,22
gaming,10,49,113,48,113,108,21,67,3,20,35,81,13,199,47,75,367,143,71,11,88,121,8,117,45,118,12,95,16,60,16,10,14,30,158
health,1,16,44,7,49,25,65,72,0,18,287,13,59,106,29,32,106,546,2,48,28,34,209,17,34,0,57,17,59,30,46,95,11,8,35
literature,0,2,7,6,0,3,0,0,0,1,14,2,0,4,0,5,3,3,2,0,5,78,0,8,31,56,8,4,0,5,0,6,1,0,1
movies_and_television,113,220,513,66,246,588,128,622,6,204,85,132,207,264,141,255,1866,367,73,22,186,74,58,92,110,67,40,121,188,192,342,164,31,215,519
music_and_entertainment,37,65,325,39,218,337,65,101,24,20,15,98,76,218,41,61,1732,47,135,8,185,34,60,266,126,107,27,38,115,35,100,26,19,82,76
personal_or_auto-biographical,0,1,24,16,37,5,0,6,0,0,2,10,2,3,1,5,37,16,19,2,4,7,1,20,29,7,9,7,0,0,1,1,0,1,12
politics,172,96,186,126,162,484,135,70,2,119,2163,242,716,5003,107,656,557,2862,18,377,944,257,1344,144,186,18,623,137,214,167,225,3463,444,183,372
religion,16,48,108,15,112,89,18,73,0,53,8,49,46,386,26,472,444,278,11,2,1823,44,15,18,89,6,113,22,25,33,32,188,321,21,465
school_and_education,2,13,25,23,14,24,12,10,0,10,0,24,3,16,7,22,114,17,10,2,30,1,2,24,30,1,22,17,6,6,4,0,10,10,15
sports,21,70,185,69,140,230,38,74,4,37,284,86,55,70,46,127,604,212,39,64,57,126,40,175,123,75,93,64,37,65,45,89,35,45,127
technology,26,79,227,407,222,150,54,47,3,55,39,256,127,517,42,953,278,1480,65,51,463,77,112,379,221,29,349,144,91,65,20,1054,119,86,137
the_environment,0,11,12,27,14,551,3,1,1,4,11,34,9,5,7,12,17,63,12,8,0,1,0,93,62,9,24,20,12,1,9,477,1,5,1
the_mainstream_media,9,15,42,5,81,34,31,21,3,13,15,24,74,27,5,208,116,236,13,13,77,16,25,12,22,3,227,9,47,15,90,119,16,45,39
travel,4,4,38,17,10,34,10,24,0,6,16,23,4,2,7,5,147,22,14,62,3,31,0,30,29,23,9,12,11,4,9,2,5,14,5
videoblogging,18,41,129,62,125,139,13,45,7,13,68,89,28,33,31,34,445,99,74,25,43,99,39,100,131,142,65,40,51,19,55,157,43,72,47
web_development_and_sites,0,8,31,59,23,18,1,4,0,6,7,4,6,40,1,46,32,75,10,10,56,6,0,23,41,10,56,12,1,6,0,2,52,3,16
