category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,68,24,95,221,99,74,0,139,83,57,16,4,66,16,155,63,20,72,62,38,50,166,146,38,64,99,1160,25,50,151,84,14,28,1,79,22,165,59,18,149,39,70,41,98,43,88,56,271,119,32
autos_and_vehicles,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,7,0,0,0,1,3,6,0,0,12,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0
business,3,2,9,8,12,14,0,10,3,12,8,29,1,3,8,9,9,13,13,55,6,10,27,18,23,128,27,32,37,16,1,29,2,5,6,2,3,16,4,48,0,7,5,49,11,7,0,51,14,5
citizen_journalism,89,22,64,169,81,49,0,285,134,48,15,25,49,27,71,11,8,4,69,14,16,283,273,63,35,179,146,27,25,206,129,8,4,5,25,8,23,47,36,81,39,149,2,284,36,103,30,494,52,41
comedy,12,15,101,58,33,82,0,18,22,19,31,1,45,8,172,69,46,63,25,42,54,32,105,67,22,210,574,50,70,65,25,21,11,32,35,2,49,26,60,97,27,28,52,54,11,27,29,96,36,95
conferences_and_other_events,23,2,52,59,49,24,0,41,13,14,16,0,18,5,22,11,2,11,43,34,17,62,143,90,22,132,39,11,24,102,21,12,4,15,15,0,18,25,5,73,21,23,10,147,28,16,2,286,19,0
default_category,61,31,203,299,150,257,2,320,67,48,49,74,172,65,314,182,80,120,162,184,104,275,501,234,207,1233,1394,289,339,388,72,113,32,71,175,36,238,187,87,344,87,150,158,470,133,98,52,830,189,221
documentary,43,26,70,137,88,74,0,84,56,64,24,5,100,30,138,30,10,29,78,13,43,97,219,19,35,129,472,6,4,124,64,45,20,48,24,11,27,46,18,97,73,79,38,23,77,77,30,54,5,24
educational,11,12,157,166,218,83,0,55,18,39,20,4,37,9,69,79,48,61,114,197,26,41,162,336,103,856,252,158,197,170,12,79,20,11,88,8,204,123,29,227,34,29,12,318,26,24,12,562,65,29
food_and_drink,7,4,77,13,12,30,0,2,6,8,11,1,13,2,55,36,36,57,2,25,10,1,6,17,29,79,50,66,19,8,0,2,14,2,33,0,29,65,18,27,8,1,10,19,11,10,3,37,97,33
gaming,19,11,50,145,93,83,0,14,8,49,19,8,47,13,67,78,23,51,63,7,30,6,128,35,28,14,302,40,2,70,10,114,5,12,27,7,95,32,23,104,19,29,49,61,42,16,5,146,47,156
health,64,4,16,44,18,29,0,59,56,29,8,10,14,2,28,3,7,4,73,32,2,208,74,47,27,387,86,5,419,25,1,33,0,1,13,0,19,10,0,41,18,8,1,27,29,46,2,163,7,6
literature,0,0,3,2,0,4,0,0,0,3,0,0,2,2,2,4,0,1,0,7,2,0,3,1,34,6,2,4,0,5,0,56,0,31,8,2,4,1,0,0,1,0,1,6,0,0,0,2,0,56
movies_and_television,114,73,343,218,379,296,0,207,72,81,114,16,199,152,442,85,43,80,638,30,200,56,157,76,33,181,1585,58,39,153,113,38,18,47,46,10,127,58,41,222,201,209,27,232,124,337,123,342,27,55
music_and_entertainment,63,67,135,70,43,193,2,74,25,13,38,6,64,36,251,131,38,88,100,17,108,54,173,35,139,7,1481,36,23,179,37,25,29,20,60,34,37,12,67,214,20,79,224,52,33,101,92,28,27,78
personal_or_auto-biographical,0,1,5,9,3,14,0,1,0,0,2,2,1,2,6,17,5,4,6,11,1,1,2,3,26,3,19,15,15,3,0,5,1,1,6,2,7,7,0,32,0,1,12,5,1,1,0,1,5,21
