category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,85,16,43,22,57,63,219,45,53,69,0,38,69,51,41,63,20,98,82,82,26,40,76,53,15,102,137,38,14,160,40,67,24,109,146,2,20,18,33,43,143,181,91,31,112,56,11,82,1092,163,15,3,150,114,78,18,0,42,17,19
autos_and_vehicles,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,0,1,0,5,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0
business,26,2,31,4,4,8,8,18,1,1,0,0,2,54,5,8,6,3,45,17,10,24,6,12,4,10,17,15,14,8,61,4,30,3,10,29,0,8,9,9,22,42,12,49,26,3,5,0,23,2,3,29,23,14,5,13,0,11,0,2
citizen_journalism,33,13,23,22,132,11,155,33,44,104,2,40,89,141,2,140,27,140,278,43,20,25,92,49,32,70,195,10,56,78,34,29,26,194,251,12,6,8,31,28,266,409,72,8,40,66,4,25,114,22,18,26,102,52,23,37,0,38,25,18
comedy,65,1,65,74,18,65,46,31,44,16,0,27,12,118,52,11,37,25,44,86,10,27,22,22,58,109,39,27,38,174,90,92,50,14,28,29,8,44,37,11,97,74,31,33,82,23,18,32,492,46,9,1,48,36,35,69,0,14,11,7
conferences_and_other_events,62,3,17,0,19,12,47,21,11,20,0,21,23,93,10,28,0,13,135,27,28,18,11,13,4,54,93,15,71,19,31,12,11,23,57,15,7,2,15,17,121,212,41,26,33,26,15,2,29,18,4,0,74,19,16,74,0,28,2,3
default_category,189,52,303,175,99,176,274,155,124,56,10,85,61,738,152,176,110,72,433,261,62,161,77,46,78,206,365,303,151,358,252,128,289,188,246,110,63,75,68,143,484,661,140,175,264,123,66,75,1190,232,54,73,245,189,164,132,1,135,23,51
documentary,22,13,4,16,49,30,128,70,79,55,0,79,43,96,38,49,31,57,24,83,34,13,69,62,19,79,123,8,18,147,40,68,6,56,85,25,26,10,38,32,213,38,76,12,68,64,42,53,358,17,34,6,22,5,26,10,0,85,45,29
educational,142,9,173,23,18,71,144,69,29,8,4,35,11,318,10,21,7,19,297,89,49,134,20,37,31,134,150,495,85,78,64,31,162,42,39,78,13,48,28,51,157,387,194,186,169,105,10,12,210,202,12,4,252,69,91,243,0,27,4,10
food_and_drink,30,6,17,24,0,36,12,1,12,0,0,8,7,10,9,0,8,6,12,24,0,27,6,9,18,75,6,1,7,40,74,39,66,6,1,2,2,34,13,16,6,30,10,20,116,5,0,6,33,29,2,1,21,100,34,8,0,14,1,1
gaming,31,1,2,114,16,75,139,61,36,8,1,19,20,10,49,5,31,10,59,79,15,13,15,46,21,57,67,8,31,73,30,31,41,11,5,114,17,22,27,31,126,112,85,5,80,61,8,7,262,94,15,8,44,47,27,19,0,41,4,16
health,12,0,383,7,7,3,41,9,15,1,0,18,64,95,1,31,0,55,21,28,51,27,38,29,0,16,24,11,81,32,284,10,5,53,191,33,0,6,11,11,67,120,13,30,11,24,0,5,70,16,0,10,75,6,12,10,0,29,1,2
literature,0,2,0,18,0,3,2,0,1,0,0,1,0,6,1,0,28,0,6,4,0,19,0,3,0,3,5,1,0,1,16,2,4,0,0,58,1,0,0,15,3,2,0,7,2,0,26,0,2,3,0,0,0,0,8,1,0,0,0,1
movies_and_television,126,7,36,44,68,75,208,84,84,31,0,193,120,165,25,71,47,84,205,306,391,35,297,78,38,353,133,33,25,473,78,214,54,185,48,38,158,41,178,28,156,254,329,25,131,324,44,123,1329,121,154,18,150,29,46,50,0,126,101,150
music_and_entertainment,76,5,22,97,28,130,60,135,26,15,10,18,63,24,212,24,64,32,37,204,68,24,93,10,68,149,176,18,12,273,14,123,35,62,49,25,69,36,92,149,175,16,37,12,97,40,23,110,1270,37,53,5,42,26,63,28,0,35,28,34
personal_or_auto-biographical,11,0,9,27,1,16,7,25,0,0,0,0,0,1,12,1,6,0,4,10,2,7,1,0,0,5,2,0,5,5,2,4,15,1,1,5,2,5,2,24,2,0,3,7,10,5,0,0,11,7,0,1,8,6,5,0,0,1,0,1
politics,94,25,1111,19,88,27,599,35,87,133,0,116,132,3471,2,528,1,151,544,129,31,100,181,161,126,173,903,447,237,234,2165,86,113,329,1219,207,6,43,90,76,4430,1576,188,559,236,68,48,75,365,136,90,348,227,71,77,100,0,105,43,13
religion,118,0,8,5,9,11,202,35,33,13,0,52,18,187,6,22,5,7,283,63,21,51,29,16,3,87,1128,318,86,97,8,26,14,23,14,44,14,15,31,29,234,181,691,29,50,176,0,26,329,22,12,2,95,8,11,434,0,20,3,15
school_and_education,7,0,9,13,5,11,12,8,3,2,0,9,12,0,1,4,0,0,17,15,4,22,2,3,1,19,11,9,1,20,0,12,22,3,0,1,6,5,6,3,9,4,12,17,20,9,0,6,85,17,5,2,7,10,15,19,0,7,1,3
sports,53,65,101,89,25,39,63,59,41,16,4,34,36,91,32,39,16,23,94,96,19,37,47,36,15,109,35,29,28,141,283,124,66,25,34,81,29,45,58,77,48,71,65,67,84,66,44,21,408,64,21,1,102,79,73,25,0,44,4,30
technology,128,18,193,3,51,72,133,85,44,19,1,55,50,1053,69,100,26,84,838,163,11,143,14,58,20,110,319,105,112,97,39,33,390,30,103,66,29,29,52,64,384,1000,89,245,254,52,11,19,192,137,38,30,353,203,130,227,0,30,8,13
the_environment,6,6,7,6,5,12,1,1,7,0,1,4,1,477,9,5,2,13,9,4,1,19,9,1,537,16,0,1,3,3,11,8,27,4,0,1,1,33,3,5,3,42,1,19,34,0,0,0,12,20,0,6,22,69,24,3,0,3,0,0
the_mainstream_media,42,13,91,2,6,12,27,28,11,1,1,13,30,120,3,52,3,28,192,21,11,12,85,8,9,17,64,16,19,21,15,6,5,25,17,3,8,5,27,8,16,123,23,215,22,16,12,27,75,10,41,1,49,2,9,9,0,2,11,7
travel,6,5,6,14,4,16,3,5,2,3,0,16,9,1,3,0,12,1,5,24,14,6,9,2,1,16,2,3,2,41,15,13,16,4,0,31,5,18,12,13,0,13,1,9,23,12,0,15,95,11,11,47,4,21,6,0,0,5,2,3
videoblogging,56,11,39,119,43,80,20,74,27,6,1,11,13,157,42,17,64,26,24,78,32,47,53,6,28,66,24,36,5,116,67,44,50,17,36,77,17,30,43,67,19,41,41,30,83,19,40,28,263,39,32,21,44,22,51,21,0,26,17,15
web_development_and_sites,19,2,29,5,2,11,13,4,7,0,0,6,1,2,1,4,2,1,35,10,2,25,0,5,1,36,29,50,20,15,7,0,56,0,0,6,0,2,6,13,26,32,10,30,4,5,1,0,19,12,1,8,20,11,14,44,0,1,0,0
