cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,5,0,0,0,2,9,0,0,0,25,1,1,0,0,4,0,2,2,1,1,1,0,1,11,6,5
1,2,4,0,162,8,18,6,0,1,0,0,1,24,2,0,1,1,0,0,3,7,0,5,22,2,2
10,2,4,2,5,1,15,10,2,0,2,0,13,1,1,2,5,6,3,1,1,0,0,2,13,4,2
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,0,0,0,47,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,1,0
13,1,4,0,0,1,1,0,1,0,3,0,6,0,1,0,1,0,1,0,0,1,0,0,1,2,2
14,3,3,0,12,4,9,5,0,0,3,1,0,1,3,1,1,1,5,2,0,2,0,1,8,3,1
15,1,1,1,3,2,8,6,1,2,3,3,3,0,3,2,0,2,2,1,5,1,0,0,15,5,2
16,15,38,1,1,12,11,9,11,3,43,0,19,2,3,4,3,1,12,2,3,2,0,22,45,16,7
17,1,5,0,6,4,10,9,2,0,2,14,3,1,0,0,2,0,0,0,5,9,0,1,7,3,1
18,0,1,1,52,1,1,0,0,5,0,1,0,1,11,0,1,0,1,0,2,0,0,0,9,2,0
19,2,0,0,0,6,6,5,0,2,9,4,10,0,1,4,1,0,2,2,0,1,0,0,17,6,3
2,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
20,0,1,3,18,5,23,14,2,1,3,2,4,21,10,1,1,2,1,0,1,1,3,3,19,3,1
21,0,2,0,0,1,2,1,1,0,2,1,0,0,3,1,0,2,4,1,1,2,0,0,7,4,1
22,1,4,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,10,0,0,0,1,3,6,1
23,7,1,2,12,12,28,12,0,1,2,1,6,2,2,1,1,3,1,0,3,25,2,3,14,4,0
24,2,0,4,5,2,11,9,2,1,2,1,0,0,0,1,2,0,2,0,1,1,0,2,19,4,1
25,2,0,0,2,4,2,2,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,8,2,4
26,0,2,0,30,6,2,2,0,1,1,0,1,1,4,1,1,1,1,25,1,0,0,0,16,4,2
27,3,0,0,1,1,5,2,1,0,5,2,2,1,1,2,2,2,0,0,2,1,0,1,14,3,3
28,0,0,0,0,0,2,1,0,1,3,0,0,0,1,6,0,0,0,0,1,0,0,0,4,2,0
29,5,27,0,2,6,32,17,6,4,8,1,8,5,2,1,8,0,3,0,4,1,0,8,16,12,6
3,8,32,0,12,9,23,9,2,1,5,0,5,0,8,1,6,5,6,0,4,5,0,11,19,8,0
30,1,1,0,0,1,2,0,0,2,19,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3,2
