category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,2,3,2,3,2,0,2,0,0,0,1,2,3,0,9,7,6,1,2,2,12,0,8,1,30,7,2,1,1,0,5,0,0,0,1,7,2,1,2,6,0,0,0,0,1
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
business,6,0,3,6,2,1,3,4,2,4,1,0,1,5,0,3,0,3,1,0,5,0,2,1,1,1,0,5,1,1,0,5,1,0,1,0,2,1,8,2,1,0,1,0,2
citizen_journalism,0,3,3,2,1,1,3,15,1,11,2,3,1,3,2,6,0,7,3,0,2,0,10,0,1,10,3,0,0,0,1,0,2,7,2,2,2,0,5,12,1,0,4,0,0
comedy,1,2,1,4,1,0,5,0,1,0,3,0,0,0,12,12,2,3,2,2,24,0,6,0,17,1,4,1,3,3,0,1,0,2,5,8,3,1,11,5,0,0,0,0,0
conferences_and_other_events,7,0,2,3,4,0,1,0,5,0,5,1,1,2,0,6,1,0,1,0,3,0,4,0,3,6,0,0,1,2,1,0,1,1,0,0,0,3,3,5,1,0,1,0,0
default_category,17,7,25,18,7,5,23,8,11,7,26,8,18,12,26,28,12,8,13,3,47,2,20,8,42,9,24,10,13,6,14,10,7,17,11,16,22,9,29,28,5,2,16,2,13
documentary,1,0,3,5,6,0,1,1,1,1,2,0,1,2,3,0,4,5,4,0,8,0,8,4,8,3,2,1,5,0,1,1,1,2,6,1,2,0,6,1,1,2,1,0,5
educational,44,1,9,6,1,1,6,1,6,1,11,4,4,5,14,10,0,8,1,0,7,0,9,2,6,4,1,12,3,14,14,15,1,4,0,6,10,2,29,17,0,0,3,1,3
food_and_drink,0,1,4,2,0,0,1,0,0,1,11,1,0,1,7,8,0,3,4,0,5,0,1,0,1,0,1,3,0,0,0,0,0,9,1,3,3,2,2,1,0,0,1,0,1
gaming,2,10,1,4,2,0,0,0,0,1,3,5,2,0,4,7,2,2,1,0,10,0,4,2,13,1,4,0,0,0,1,2,4,2,3,9,3,2,0,2,0,0,1,0,1
health,1,0,1,1,0,0,23,0,1,1,2,1,0,1,7,1,0,0,2,0,3,0,4,0,7,2,3,1,0,0,0,0,0,1,0,0,0,0,3,21,0,0,1,0,0
literature,1,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,1,1,15,2,1,0,1,2,1,0,9,0,10,0,2,0,1,2,6,1,0,0,2,0,0,0,18,0,0
movies_and_television,1,7,1,12,25,0,4,0,1,1,20,2,1,1,19,28,1,3,2,0,49,0,7,0,9,18,3,6,9,3,1,0,2,2,8,5,0,2,12,1,4,1,1,0,0
music_and_entertainment,2,21,4,11,5,3,0,0,2,0,10,2,20,3,9,4,25,3,5,3,40,0,6,0,63,8,1,2,2,3,4,0,3,2,2,15,3,8,6,4,3,6,1,3,5
personal_or_auto-biographical,0,1,2,2,1,5,0,0,2,0,1,1,1,3,1,1,3,1,2,0,4,0,0,0,3,0,1,0,0,0,1,0,1,2,1,3,1,1,0,2,0,0,1,0,3
politics,1,1,2,3,1,0,168,61,9,54,7,12,0,12,14,9,0,23,4,0,2,0,48,1,1,4,15,6,13,2,3,0,0,4,0,1,5,0,56,25,0,0,27,0,1
religion,12,0,4,10,9,0,2,0,1,0,29,0,8,4,1,5,1,0,0,0,21,0,10,0,20,6,0,3,0,74,1,0,0,1,1,0,1,3,20,5,2,0,2,0,7
school_and_education,5,0,2,2,2,0,0,0,0,0,1,0,0,0,4,2,0,3,0,0,11,0,0,0,4,2,0,2,0,2,1,1,1,1,0,2,1,1,1,2,0,0,0,0,0
sports,1,4,1,3,2,0,9,0,2,1,8,3,7,1,14,9,1,2,3,0,12,0,3,4,19,8,1,5,8,1,1,0,0,7,2,16,2,2,10,15,4,1,4,1,2
technology,32,4,11,11,6,2,13,0,9,1,9,9,6,5,17,28,8,9,0,0,12,0,20,2,15,10,1,13,2,4,12,37,0,2,2,3,13,5,24,40,1,1,3,0,5
the_environment,0,0,2,0,1,0,0,0,0,1,0,0,1,2,3,1,0,0,1,1,0,0,0,0,0,0,0,14,0,0,1,1,1,1,0,0,1,3,9,3,0,0,0,0,2
the_mainstream_media,2,2,2,1,0,0,5,0,0,0,1,1,1,1,0,10,1,1,0,0,4,0,2,1,1,1,1,13,1,2,1,0,2,0,1,0,1,2,6,18,2,0,0,0,2
travel,1,3,0,3,1,1,1,0,1,5,0,0,3,0,3,1,0,1,3,0,4,0,0,0,6,0,3,0,0,0,1,0,0,2,0,3,2,0,0,1,0,0,1,0,0
videoblogging,1,11,5,11,2,2,2,2,5,2,9,2,5,2,13,8,5,1,19,5,17,0,2,1,18,4,5,3,6,3,5,2,4,3,6,15,6,2,7,5,3,1,5,1,7
web_development_and_sites,9,0,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,1,0,2,0,0,2,2,0,0,0,2,1,0,0,0,2,4,0,2,4,0,0,0,0,0
