category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,1,3,2,0,2,2,0,3,0,0,1,7,0,0,2,1,0,5,0,1,2,5,8,0,3,1,2,3,0,32,1,2,0,2,1,0,1,3,1,15,2,0,1,1,7,2,3,5,0,1
autos_and_vehicles,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,4,0,3,1,1,1,1,2,1,1,0,3,0,2,1,1,1,4,3,2,3,1,4,0,1,0,0,0,2,1,5,1,0,1,0,3,5,0,5,3,0,2,3,0,2,7,5,0,0,0
citizen_journalism,1,2,1,0,0,0,4,1,10,3,1,2,0,4,0,0,1,2,10,1,2,0,8,0,6,0,1,3,0,1,0,3,0,1,1,7,3,3,0,3,1,11,4,1,3,2,16,8,0,0
comedy,0,5,3,3,2,0,0,1,3,0,1,3,0,4,1,5,0,8,0,0,5,1,11,0,1,1,2,4,1,16,0,9,0,2,0,0,0,1,1,22,0,0,2,1,5,10,7,2,0,3
conferences_and_other_events,0,0,1,2,0,0,1,2,2,2,0,3,0,4,3,0,0,0,0,4,1,2,5,0,4,0,2,0,4,3,6,1,0,6,0,0,2,1,0,1,0,0,0,0,4,3,0,3,1,1
default_category,15,9,18,4,19,8,16,14,19,7,3,14,1,25,11,15,4,16,5,10,22,11,19,2,9,3,19,9,11,46,17,33,1,13,1,4,15,8,7,45,17,9,9,4,13,25,26,12,7,14
documentary,4,0,1,0,1,4,2,3,1,1,1,0,0,2,0,5,0,6,0,5,2,5,0,0,1,2,2,1,0,8,1,5,0,2,2,0,2,1,1,7,3,0,5,2,6,5,1,4,0,5
educational,9,2,5,12,9,2,2,2,14,1,1,12,0,10,2,0,1,17,2,3,6,0,9,1,2,0,14,1,7,8,38,4,0,10,0,1,6,5,9,9,5,0,9,0,7,26,10,1,0,2
food_and_drink,0,1,2,0,2,1,1,2,1,0,0,1,0,5,1,2,0,8,0,1,1,0,6,0,0,0,0,1,0,2,0,5,0,5,1,0,0,1,2,3,1,1,3,0,1,1,16,0,0,0
gaming,3,15,6,0,2,2,1,0,1,4,0,1,0,1,2,7,0,3,0,2,0,2,6,0,1,0,2,1,0,10,1,6,0,3,1,0,2,5,0,12,2,1,0,0,3,0,2,0,0,0
health,1,0,1,0,0,0,1,1,21,0,0,2,0,1,0,0,0,5,0,1,24,0,0,0,0,0,1,0,1,7,0,5,0,1,0,0,0,1,1,2,0,1,0,0,2,3,2,3,0,0
literature,0,0,1,0,0,2,25,0,0,1,10,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,15,0,1,0,0,1,2,0,2,2,0,1,0,1,2,2,0,0,2
movies_and_television,3,1,3,2,0,0,2,0,1,2,4,1,0,17,3,9,0,27,0,29,4,0,32,0,16,1,1,5,1,10,0,5,0,4,4,0,1,3,5,38,0,1,2,1,5,9,9,5,0,6
music_and_entertainment,8,8,6,2,2,0,1,5,3,2,1,2,0,11,11,2,3,8,0,5,0,25,5,3,7,10,5,5,2,67,0,8,0,2,3,0,3,3,2,43,9,0,3,19,6,6,3,2,0,1
personal_or_auto-biographical,1,2,1,0,1,0,1,2,1,1,0,1,0,1,1,1,6,1,0,0,0,4,1,0,0,0,1,2,1,3,0,3,0,2,0,0,2,1,0,4,4,0,1,0,0,0,1,0,0,0
politics,0,1,0,2,5,2,30,1,18,0,2,12,0,3,0,2,0,2,25,3,162,0,12,0,0,0,2,0,13,1,0,11,0,5,0,47,3,12,6,1,0,52,18,0,34,46,35,13,3,11
religion,7,0,2,62,0,0,1,2,4,0,0,6,0,23,5,0,0,8,0,10,1,1,5,0,5,0,1,1,1,16,4,2,0,13,6,0,3,0,3,19,10,0,0,0,8,17,2,3,12,0
school_and_education,0,2,0,2,2,0,0,1,2,1,0,0,0,2,1,0,0,6,0,2,0,0,2,0,0,0,1,0,0,2,4,0,0,2,1,0,1,0,2,11,0,0,2,0,0,1,2,1,0,0
sports,3,10,4,1,2,4,6,1,5,1,0,12,0,7,2,6,0,6,0,3,8,2,9,1,6,1,3,2,1,22,0,6,0,1,1,0,2,4,4,12,6,1,2,1,2,7,11,5,0,6
