category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,26,1,0,5,0,5,0,0,0,0,1,1,0,1,3,2,2,0,1,3,4,0,1,3,0,0,1,0,1,0,7,2,0,1,4,3,1,1,0,2,7,1,5,3,3,1,0,3,0,1,1,1,1,0,1,1,2,0,0,5,0,7,3,0,2,1,0,1,0,2
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,1,0,0,2,2,2,3,3,0,1,0,0,0,0,1,5,0,0,4,0,1,2,1,1,3,2,4,2,1,1,2,0,0,1,0,0,0,1,0,7,0,1,1,2,1,1,3,1,3,0,1,3,0,0,0,2,0,0,5,1,3,0,0,2,0,0,0,2,0,1
citizen_journalism,1,0,0,0,4,2,1,3,0,0,1,0,0,0,6,4,0,0,2,2,4,1,0,2,7,4,0,4,1,1,0,2,0,1,0,9,0,3,0,0,1,0,8,1,3,0,10,2,1,0,1,1,0,0,0,11,2,0,0,1,0,3,1,11,4,1,0,1,0,3
comedy,13,0,0,15,1,4,0,2,0,0,1,0,0,0,1,2,0,0,0,4,6,3,3,3,0,0,2,2,0,0,10,0,1,3,0,2,0,1,0,3,7,1,1,3,3,0,0,1,0,2,1,2,1,0,2,1,8,0,0,9,8,8,0,0,2,0,1,0,0,3
conferences_and_other_events,3,0,1,0,1,2,0,2,1,1,0,0,0,0,3,3,0,0,1,0,1,0,0,3,0,0,5,0,0,0,1,1,2,0,0,3,0,0,0,3,0,3,3,0,1,0,0,2,3,1,2,0,2,0,0,0,0,4,0,0,2,5,2,0,0,0,0,4,0,3
default_category,35,3,6,22,9,21,8,9,3,6,10,1,2,9,6,17,7,8,11,4,18,8,7,16,4,10,5,7,6,3,8,6,7,16,9,10,18,12,2,14,16,11,9,12,14,7,3,15,15,14,13,13,2,1,13,3,13,7,4,10,18,20,11,7,11,1,3,7,1,7
documentary,7,2,0,5,1,3,0,1,0,2,1,1,0,1,2,1,0,1,2,0,4,1,6,3,0,0,0,2,1,0,1,1,1,1,5,3,0,0,0,4,3,0,2,0,0,4,0,4,1,5,1,2,0,0,0,1,1,0,1,4,3,0,0,1,0,2,2,5,0,4
educational,6,0,0,2,3,3,13,3,0,1,15,0,0,2,2,6,3,3,4,1,6,2,0,8,1,4,18,5,2,1,5,4,6,11,0,2,2,4,1,10,6,2,4,4,11,1,1,2,29,2,1,1,8,0,5,2,0,4,10,2,17,9,2,0,0,0,6,3,0,5
food_and_drink,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,1,1,9,0,3,1,5,0,0,1,1,3,1,0,0,0,0,0,3,3,2,0,1,1,0,0,1,0,0,5,1,0,0,2,2,3,0,2,7,0,6,1,1,1,0,0,0,0,0
gaming,10,0,0,10,1,2,2,3,0,1,1,1,0,0,1,1,0,0,0,1,4,0,3,0,0,1,0,2,1,0,4,5,1,3,1,0,5,0,0,2,8,2,2,0,1,1,0,0,0,0,1,2,0,0,1,0,2,0,0,4,0,6,2,1,9,0,0,0,0,2
health,7,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,24,0,1,0,0,0,0,1,0,2,1,1,1,0,3,0,1,0,1,0,0,1,2,20,0,0,1,0,0,1,0,0,0,0,1,1,0,1,7,0,0,0,1,0,0,0,1,0,2
literature,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,27,1,2,0,0,5,1,0,0,1,1,0,0,0,1,0,0,0,0,3,5,0,0,1,0,1,0,0,1,0,0,0,10,3,0,0,0,0,0,7,1,0,2,2,0,1,0,0,0,1,0,0,0
movies_and_television,5,1,0,31,1,18,0,1,1,0,1,1,0,0,18,9,2,2,1,3,12,1,8,15,0,0,3,2,3,0,9,2,2,5,1,1,1,3,0,11,5,3,2,1,0,0,0,1,0,7,1,1,1,0,0,1,1,1,4,6,7,18,1,1,5,2,1,24,0,4
music_and_entertainment,52,4,0,25,1,15,0,2,1,2,1,4,1,5,5,0,0,0,3,7,7,0,2,9,0,0,1,5,4,3,14,2,1,1,29,1,0,2,3,7,16,9,0,2,3,0,0,3,1,0,6,1,2,0,2,0,0,2,2,9,2,3,8,0,19,2,1,4,0,6
personal_or_auto-biographical,3,0,0,0,1,5,0,2,0,3,1,0,0,2,0,0,0,1,2,1,0,0,0,1,0,2,0,0,1,5,0,1,1,0,0,0,1,0,0,1,3,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,2,0,1,0,1,0,0,0
politics,1,0,1,1,26,1,1,0,0,0,3,0,0,0,2,54,129,5,6,0,16,9,1,2,39,3,0,7,0,0,0,9,3,3,0,9,12,20,0,1,1,0,12,7,17,1,33,1,0,10,2,0,2,0,5,17,0,10,3,5,12,5,0,49,1,0,6,2,0,30
religion,17,0,9,12,0,7,2,0,2,0,1,0,0,6,6,6,0,1,4,1,18,1,0,14,0,2,13,0,5,0,4,0,9,3,0,3,0,1,0,5,0,4,8,3,0,0,0,3,0,0,1,1,58,0,0,1,0,1,2,1,7,1,4,0,0,5,0,8,0,3
school_and_education,2,0,0,7,0,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,4,0,0,0,3,0,0,6,0,1,0,0,0,2,2,1,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,1,2,0,0,0,1,1,1,0,0
sports,17,1,0,6,7,7,0,3,0,0,0,0,3,2,6,10,4,0,1,0,3,1,2,4,0,4,1,0,4,0,3,2,1,4,0,3,0,7,1,1,15,2,3,6,7,4,0,1,2,4,5,0,1,0,0,3,2,0,3,8,2,5,5,0,6,1,2,3,0,1
technology,11,0,0,11,2,9,26,2,1,4,9,0,1,3,4,17,10,0,4,4,8,0,1,7,0,12,9,5,7,2,2,8,9,6,2,6,0,4,0,12,2,5,14,18,15,2,0,9,31,2,5,5,4,0,5,2,0,7,7,1,14,14,2,1,2,1,4,7,0,10
the_environment,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,3,0,0,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,3,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,14,2,4,0,1,1,0,0,0,0,0,0
the_mainstream_media,1,0,0,2,0,0,0,2,1,2,1,1,0,0,1,6,3,0,1,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,2,1,0,0,2,0,1,3,6,14,1,0,2,0,0,0,0,2,0,1,0,0,0,9,0,3,8,1,0,1,0,1,1,0,1
travel,4,0,0,3,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,4,1,0,2,0,1,2,3,3,0,0,1,0,0
videoblogging,17,1,0,5,4,15,2,1,0,1,4,3,1,2,5,3,0,2,2,9,3,1,3,9,0,2,2,2,1,2,7,2,3,3,6,0,2,4,1,7,14,1,1,4,3,1,1,4,0,6,3,6,2,0,4,1,14,4,2,9,2,7,4,2,7,2,0,1,0,1
web_development_and_sites,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,9,0,0,1,0,0,2,0,2,1,0,0,2,0,0,1,1,0,0,0,0,1
