category,cluster,precision
art,cluster 24,0.22388059701492538
movies_and_television,cluster 20,0.1801470588235294
web_development_and_sites,cluster 0,0.23684210526315788
politics,cluster 6,0.2823529411764706
sports,cluster 24,0.09547738693467336
technology,cluster 39,0.09828009828009827
educational,cluster 0,0.14864864864864866
school_and_education,cluster 20,0.20754716981132076
travel,cluster 24,0.12
music_and_entertainment,cluster 24,0.1956521739130435
the_environment,cluster 27,0.2857142857142857
religion,cluster 29,0.2813688212927757
health,cluster 6,0.26136363636363635
citizen_journalism,cluster 7,0.11450381679389313
personal_or_auto-biographical,cluster 5,0.09803921568627451
food_and_drink,cluster 10,0.14102564102564102
conferences_and_other_events,cluster 0,0.0945945945945946
gaming,cluster 24,0.11818181818181818
literature,cluster 42,0.21686746987951808
business,cluster 38,0.09302325581395349
the_mainstream_media,cluster 39,0.20224719101123595
autos_and_vehicles,cluster 39,0.7142857142857143
comedy,cluster 20,0.1643835616438356
default_category,cluster 20,0.07078313253012049
videoblogging,cluster 18,0.07818930041152264
documentary,cluster 20,0.07339449541284404
