cluster,category,precision
1200,religion,1.0
344,autos_and_vehicles,0.5
345,educational,0.5
346,conferences_and_other_events,0.5
347,citizen_journalism,0.5
340,comedy,0.5
341,default_category,0.3333333333333333
342,art,0.5
343,citizen_journalism,0.3333333333333333
348,travel,1.0
349,travel,0.5
298,movies_and_television,0.5
299,citizen_journalism,0.5
296,citizen_journalism,0.5
297,literature,0.5
294,art,0.5
295,autos_and_vehicles,0.5
292,literature,0.5
293,default_category,1.0
290,art,0.5
291,citizen_journalism,1.0
270,conferences_and_other_events,0.5
271,travel,0.5
272,autos_and_vehicles,0.3333333333333333
273,comedy,0.5
274,autos_and_vehicles,1.0
275,art,0.5
276,health,0.3333333333333333
277,politics,0.5
278,citizen_journalism,0.5
279,personal_or_auto-biographical,0.5
1132,autos_and_vehicles,1.0
1004,travel,1.0
108,citizen_journalism,0.6666666666666666
109,travel,0.25
102,gaming,0.3
103,travel,0.26666666666666666
100,movies_and_television,0.5
101,citizen_journalism,0.8333333333333334
106,citizen_journalism,1.0
107,citizen_journalism,0.6
104,travel,0.5
105,citizen_journalism,0.75
1212,conferences_and_other_events,0.3333333333333333
1213,default_category,1.0
99,travel,0.5
98,conferences_and_other_events,0.2
91,food_and_drink,0.2
90,conferences_and_other_events,0.42857142857142855
93,autos_and_vehicles,0.6
92,default_category,0.7777777777777778
95,citizen_journalism,0.8333333333333334
94,travel,0.3333333333333333
97,default_category,0.2857142857142857
96,comedy,0.42857142857142855
559,food_and_drink,1.0
558,educational,1.0
555,travel,1.0
554,religion,1.0
557,travel,1.0
556,travel,1.0
551,travel,1.0
550,travel,1.0
553,citizen_journalism,0.3333333333333333
552,sports,1.0
1199,art,0.5
1198,travel,1.0
1191,food_and_drink,1.0
1190,default_category,0.5
1193,art,1.0
1192,autos_and_vehicles,0.3333333333333333
1195,religion,1.0
1194,food_and_drink,1.0
1197,art,1.0
1196,conferences_and_other_events,0.3333333333333333
1177,travel,1.0
1176,art,1.0
1175,travel,1.0
1174,movies_and_television,1.0
1173,movies_and_television,1.0
1172,comedy,1.0
1171,travel,1.0
1170,gaming,1.0
1179,citizen_journalism,1.0
1178,videoblogging,1.0
1007,food_and_drink,1.0
1006,conferences_and_other_events,0.4
1005,citizen_journalism,1.0
1285,conferences_and_other_events,1.0
1284,conferences_and_other_events,1.0
1287,citizen_journalism,1.0
1286,citizen_journalism,1.0
1281,food_and_drink,1.0
1280,conferences_and_other_events,1.0
1283,food_and_drink,1.0
1282,citizen_journalism,1.0
1003,comedy,0.5
879,health,1.0
1289,technology,1.0
1288,conferences_and_other_events,1.0
1002,autos_and_vehicles,1.0
1578,food_and_drink,1.0
689,default_category,1.0
1001,conferences_and_other_events,1.0
1573,food_and_drink,1.0
1572,technology,1.0
1571,videoblogging,1.0
686,personal_or_auto-biographical,1.0
1577,food_and_drink,1.0
1576,religion,1.0
1575,default_category,1.0
1574,music_and_entertainment,1.0
623,autos_and_vehicles,1.0
1349,web_development_and_sites,1.0
621,autos_and_vehicles,1.0
873,web_development_and_sites,1.0
1224,travel,1.0
627,citizen_journalism,1.0
1222,travel,1.0
625,videoblogging,1.0
1220,default_category,1.0
407,travel,1.0
1370,food_and_drink,0.5
1373,autos_and_vehicles,1.0
1372,conferences_and_other_events,1.0
1375,travel,1.0
1374,documentary,1.0
1377,travel,1.0
1376,conferences_and_other_events,1.0
1379,food_and_drink,1.0
1378,travel,1.0
1342,movies_and_television,1.0
409,autos_and_vehicles,1.0
408,travel,1.0
1343,literature,1.0
1344,gaming,1.0
1345,literature,1.0
456,travel,1.0
1347,food_and_drink,1.0
379,food_and_drink,1.0
378,videoblogging,1.0
371,sports,1.0
370,videoblogging,1.0
373,conferences_and_other_events,1.0
372,travel,1.0
375,comedy,1.0
374,travel,1.0
377,technology,1.0
376,movies_and_television,1.0
393,travel,1.0
392,citizen_journalism,0.5
391,health,1.0
390,travel,1.0
397,travel,1.0
396,educational,1.0
395,health,1.0
394,sports,1.0
399,educational,1.0
398,web_development_and_sites,1.0
895,health,1.0
245,movies_and_television,0.5
244,autos_and_vehicles,1.0
247,comedy,0.5
246,documentary,0.5
241,default_category,0.5
240,conferences_and_other_events,0.5
243,food_and_drink,0.5
242,movies_and_television,0.5
249,art,0.5
248,autos_and_vehicles,0.5
179,citizen_journalism,0.25
178,the_mainstream_media,0.6666666666666666
177,conferences_and_other_events,0.3333333333333333
176,literature,0.6666666666666666
175,autos_and_vehicles,0.3333333333333333
174,travel,0.6666666666666666
173,art,0.3333333333333333
172,literature,0.3333333333333333
171,autos_and_vehicles,0.25
170,default_category,0.75
656,conferences_and_other_events,1.0
657,conferences_and_other_events,1.0
654,travel,1.0
655,travel,1.0
652,the_mainstream_media,1.0
653,comedy,0.3333333333333333
1110,citizen_journalism,1.0
1367,the_mainstream_media,1.0
1504,comedy,1.0
651,food_and_drink,1.0
1364,the_mainstream_media,1.0
1365,travel,1.0
1115,travel,1.0
1362,food_and_drink,1.0
1114,conferences_and_other_events,1.0
1363,citizen_journalism,1.0
1142,art,1.0
1143,art,1.0
1140,citizen_journalism,1.0
1141,food_and_drink,1.0
1146,conferences_and_other_events,1.0
1147,school_and_education,0.5
1144,the_mainstream_media,1.0
1145,educational,1.0
1148,religion,1.0
1149,default_category,1.0
1546,travel,1.0
693,the_mainstream_media,1.0
690,comedy,1.0
691,default_category,1.0
696,travel,1.0
1543,travel,1.0
694,travel,1.0
1541,the_mainstream_media,1.0
698,educational,1.0
699,food_and_drink,1.0
1548,food_and_drink,1.0
1549,food_and_drink,1.0
542,conferences_and_other_events,1.0
543,conferences_and_other_events,1.0
540,conferences_and_other_events,1.0
541,conferences_and_other_events,0.5
546,health,1.0
547,comedy,1.0
544,food_and_drink,1.0
545,the_mainstream_media,1.0
548,autos_and_vehicles,0.3333333333333333
549,conferences_and_other_events,1.0
414,travel,1.0
415,travel,1.0
416,citizen_journalism,0.9090909090909091
417,educational,1.0
410,default_category,1.0
411,conferences_and_other_events,1.0
412,travel,1.0
413,videoblogging,1.0
1384,the_mainstream_media,1.0
1385,videoblogging,1.0
1386,religion,1.0
1387,health,1.0
418,videoblogging,1.0
419,movies_and_television,1.0
1382,videoblogging,1.0
1383,videoblogging,1.0
368,travel,1.0
369,travel,1.0
366,food_and_drink,1.0
367,videoblogging,1.0
364,videoblogging,1.0
365,food_and_drink,1.0
362,web_development_and_sites,1.0
363,citizen_journalism,0.8333333333333334
360,food_and_drink,0.5
361,movies_and_television,0.5
380,the_mainstream_media,1.0
381,citizen_journalism,0.5
382,travel,1.0
383,conferences_and_other_events,1.0
384,educational,1.0
385,technology,1.0
386,comedy,1.0
387,travel,1.0
388,autos_and_vehicles,1.0
389,school_and_education,1.0
1077,web_development_and_sites,1.0
258,art,0.5
259,default_category,0.5
252,food_and_drink,0.5
253,conferences_and_other_events,0.5
250,religion,0.5
251,comedy,0.5
256,autos_and_vehicles,0.5
257,autos_and_vehicles,1.0
254,citizen_journalism,0.5
255,conferences_and_other_events,0.5
168,food_and_drink,0.5
169,comedy,0.5
164,health,1.0
165,citizen_journalism,0.5
166,citizen_journalism,0.5
167,literature,0.5
160,default_category,0.3333333333333333
161,personal_or_auto-biographical,0.5
162,conferences_and_other_events,0.4
163,conferences_and_other_events,0.2
678,art,0.3333333333333333
1091,food_and_drink,1.0
1093,autos_and_vehicles,1.0
1098,default_category,1.0
1099,personal_or_auto-biographical,1.0
809,default_category,1.0
808,travel,1.0
803,art,1.0
802,conferences_and_other_events,1.0
801,the_mainstream_media,1.0
800,autos_and_vehicles,1.0
807,travel,1.0
806,videoblogging,1.0
805,autos_and_vehicles,1.0
804,sports,1.0
1259,travel,1.0
608,videoblogging,1.0
1159,default_category,1.0
1158,videoblogging,1.0
1155,travel,1.0
1154,literature,1.0
1157,travel,1.0
1156,web_development_and_sites,1.0
1151,videoblogging,1.0
1150,comedy,1.0
1153,travel,1.0
1152,health,1.0
1555,citizen_journalism,1.0
1554,food_and_drink,1.0
1551,travel,1.0
1550,videoblogging,1.0
1553,food_and_drink,1.0
1552,default_category,0.4
59,food_and_drink,0.23076923076923078
58,school_and_education,0.2727272727272727
1557,religion,1.0
1556,conferences_and_other_events,0.5
1559,web_development_and_sites,1.0
54,travel,0.3076923076923077
57,movies_and_television,0.46153846153846156
56,citizen_journalism,0.25
51,conferences_and_other_events,0.23529411764705882
50,food_and_drink,0.46153846153846156
53,citizen_journalism,0.75
52,travel,0.4
537,travel,1.0
536,religion,1.0
535,movies_and_television,1.0
534,videoblogging,1.0
533,literature,1.0
532,travel,1.0
531,food_and_drink,1.0
1558,autos_and_vehicles,1.0
539,web_development_and_sites,1.0
538,the_mainstream_media,1.0
429,travel,0.5
428,the_mainstream_media,1.0
1399,food_and_drink,1.0
1398,videoblogging,1.0
421,travel,1.0
420,default_category,1.0
423,personal_or_auto-biographical,1.0
422,travel,1.0
425,travel,1.0
424,travel,1.0
1391,music_and_entertainment,1.0
1390,food_and_drink,1.0
530,conferences_and_other_events,1.0
853,technology,1.0
1321,default_category,1.0
229,educational,0.5
228,travel,1.0
227,travel,0.5
226,food_and_drink,0.5
225,citizen_journalism,0.5
224,citizen_journalism,0.5
223,art,0.5
222,travel,0.75
221,conferences_and_other_events,0.5
220,comedy,0.6666666666666666
151,travel,0.2857142857142857
150,autos_and_vehicles,0.6666666666666666
153,food_and_drink,0.5
152,food_and_drink,0.3333333333333333
155,citizen_journalism,1.0
154,health,0.4
157,art,0.75
156,art,0.3333333333333333
159,health,0.75
158,citizen_journalism,0.25
1293,food_and_drink,1.0
1256,documentary,1.0
1257,default_category,1.0
1254,autos_and_vehicles,1.0
818,food_and_drink,0.6666666666666666
0,conferences_and_other_events,0.17886178861788618
1255,videoblogging,1.0
810,travel,1.0
1252,travel,1.0
812,autos_and_vehicles,1.0
813,web_development_and_sites,1.0
814,citizen_journalism,1.0
815,travel,1.0
816,videoblogging,1.0
1253,food_and_drink,1.0
1250,food_and_drink,1.0
1251,literature,1.0
1490,the_mainstream_media,1.0
1491,videoblogging,1.0
1492,travel,1.0
1493,religion,1.0
1494,travel,1.0
1495,citizen_journalism,1.0
1496,default_category,1.0
1497,religion,1.0
1498,comedy,1.0
1499,videoblogging,1.0
1395,conferences_and_other_events,1.0
1394,travel,1.0
1393,comedy,1.0
1392,comedy,1.0
427,the_mainstream_media,1.0
426,videoblogging,1.0
1128,movies_and_television,1.0
1129,food_and_drink,1.0
1120,conferences_and_other_events,1.0
1121,travel,1.0
1122,citizen_journalism,1.0
1123,religion,1.0
1124,the_mainstream_media,1.0
1125,health,1.0
1126,travel,1.0
1127,conferences_and_other_events,1.0
524,travel,1.0
525,personal_or_auto-biographical,1.0
526,autos_and_vehicles,1.0
527,technology,1.0
520,default_category,0.5
1019,citizen_journalism,1.0
522,conferences_and_other_events,0.5
523,autos_and_vehicles,1.0
1014,health,1.0
1015,autos_and_vehicles,1.0
1016,gaming,1.0
1017,health,1.0
1010,business,1.0
1011,health,1.0
1012,gaming,1.0
1013,default_category,1.0
1234,travel,1.0
1235,movies_and_television,1.0
1236,art,1.0
1237,art,1.0
1230,default_category,1.0
1231,school_and_education,0.5
1232,personal_or_auto-biographical,1.0
1233,videoblogging,1.0
1238,sports,1.0
