category,cluster,precision
art,cluster 257,0.03007518796992481
movies_and_television,cluster 755,0.048327137546468404
web_development_and_sites,cluster 1,0.10810810810810811
politics,cluster 323,0.1097972972972973
sports,cluster 501,0.07537688442211055
technology,cluster 1,0.12219451371571072
educational,cluster 1,0.09491525423728814
school_and_education,cluster 1,0.16981132075471697
travel,cluster 404,0.06
music_and_entertainment,cluster 405,0.06542056074766354
the_environment,cluster 1,0.3469387755102041
religion,cluster 675,0.19305019305019305
health,cluster 260,0.05747126436781609
citizen_journalism,cluster 323,0.08396946564885496
personal_or_auto-biographical,cluster 890,0.09803921568627451
food_and_drink,cluster 261,0.0641025641025641
conferences_and_other_events,cluster 1,0.0958904109589041
gaming,cluster 405,0.03636363636363636
literature,cluster 411,0.12048192771084337
business,cluster 1,0.25882352941176473
the_mainstream_media,cluster 1,0.13793103448275862
autos_and_vehicles,cluster 406,0.2857142857142857
comedy,cluster 203,0.23776223776223776
default_category,cluster 1,0.031818181818181815
videoblogging,cluster 1,0.0371900826446281
documentary,cluster 252,0.037037037037037035
