cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cluster12,5,12,0,3,13,3,6,2,2,26,2,5,3,1,3,2,2,7,0,0,1,0,5,21,17,4
cluster13,2,3,1,6,1,12,12,1,0,4,1,11,0,0,4,4,7,2,17,2,0,0,4,21,1,1
cluster14,0,0,3,2,0,20,39,1,0,0,1,6,0,0,0,0,2,5,0,2,0,0,0,17,3,1
cluster15,4,3,2,90,5,29,15,2,1,3,1,7,4,3,2,0,4,1,4,6,8,2,4,27,5,2
cluster16,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1
cluster17,3,6,0,2,6,0,0,0,1,12,1,1,1,1,0,3,0,3,0,0,1,0,4,13,1,5
cluster18,0,0,0,73,0,2,1,0,0,0,0,0,0,15,0,0,0,0,1,5,1,0,0,8,1,0
cluster19,1,2,0,2,1,9,10,0,0,6,0,31,0,0,0,1,2,0,0,2,1,0,30,5,1,0
cluster30,4,2,1,65,8,25,11,2,1,2,0,3,0,1,0,2,0,0,0,0,5,0,2,14,1,1
cluster31,0,0,0,31,1,4,3,0,0,1,0,0,0,7,0,0,0,0,0,2,0,0,0,13,1,0
cluster36,3,7,1,15,4,3,3,0,1,1,1,0,4,12,1,5,3,3,0,4,1,0,3,16,5,3
cluster37,7,31,1,7,10,9,4,0,2,11,3,2,2,5,1,7,1,7,5,1,3,0,6,24,16,9
cluster34,5,13,1,17,10,4,8,3,2,7,0,2,7,13,1,5,0,6,0,2,2,1,7,24,4,9
cluster35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cluster38,1,10,5,11,10,33,15,14,2,3,16,9,5,17,5,2,5,1,0,12,5,0,1,22,12,5
cluster39,3,5,0,0,3,2,2,1,3,15,0,0,0,0,0,1,0,5,0,0,0,0,1,17,7,2
cluster43,1,1,0,0,4,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,4,0,0
cluster42,1,2,1,0,0,0,1,0,0,5,0,1,1,1,1,0,0,1,0,0,0,0,4,4,4,1
cluster41,1,2,0,2,1,2,0,0,1,5,3,2,1,0,1,2,0,4,1,0,0,0,5,7,5,5
cluster40,1,3,1,32,2,11,2,0,0,1,0,2,0,5,0,1,2,0,21,0,2,0,0,23,5,2
cluster44,1,3,2,35,6,4,3,1,0,2,0,0,0,0,1,2,2,0,13,1,0,0,0,17,5,3
cluster29,3,1,8,13,5,45,41,11,0,3,0,1,2,0,2,0,1,1,3,4,0,1,0,23,3,0
cluster28,1,28,0,34,8,11,12,1,1,3,3,0,6,2,1,3,2,4,1,1,0,1,3,24,7,2
cluster21,4,5,1,5,4,21,18,2,0,5,4,49,1,2,0,2,9,1,1,14,9,0,4,47,8,1
cluster20,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster23,7,13,0,6,5,4,3,1,1,8,1,2,7,1,2,4,0,6,0,1,0,0,9,9,2,3
cluster22,8,10,0,34,5,33,11,1,0,6,0,11,3,2,0,3,1,3,6,1,15,0,3,17,10,5
cluster25,4,2,0,1,20,19,9,1,4,39,1,23,1,3,9,0,7,1,0,5,5,0,0,45,23,6
cluster24,3,7,1,3,6,1,7,1,4,10,0,1,10,4,0,4,1,4,0,0,0,0,8,13,8,3
cluster27,11,10,0,0,4,12,6,1,8,52,2,9,3,1,10,8,7,7,1,2,4,0,1,26,12,6
cluster26,3,13,3,52,10,17,8,0,3,3,0,1,4,7,0,1,4,1,0,1,5,2,6,30,7,1
cluster32,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0
cluster8,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
cluster9,12,14,0,3,13,2,4,0,2,6,0,0,5,4,0,2,0,5,0,1,1,0,6,18,5,3
cluster33,4,5,2,33,11,38,23,3,2,8,0,4,7,15,2,5,4,2,9,11,10,0,2,41,13,7
cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster3,5,21,2,10,7,8,5,2,2,15,0,1,5,6,1,3,2,5,0,3,3,0,5,21,22,3
cluster0,1,6,0,5,3,10,4,1,0,2,0,72,1,1,0,3,4,1,0,1,3,0,2,10,1,1
cluster1,4,6,0,0,2,0,2,0,0,8,1,1,0,0,0,0,0,0,0,1,0,0,6,3,1,1
cluster6,11,6,0,0,4,0,1,0,3,14,1,0,4,0,2,0,1,6,0,0,1,0,2,15,4,8
cluster7,6,15,0,0,7,6,3,1,4,27,3,2,0,0,2,3,0,9,0,0,1,0,8,15,19,4
cluster4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
