category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,4,2,12,7,6,5,10,3,0,0,6,1,0,1,4,9,0,10,0,6,11,1,8,11,7,9
movies_and_television,2,1,18,22,8,7,15,8,0,0,47,1,1,3,5,23,1,15,0,14,19,0,7,5,16,31
web_development_and_sites,9,0,1,3,0,1,0,7,0,0,2,0,0,1,0,1,0,0,0,3,4,1,1,0,2,1
politics,55,0,11,110,2,0,7,37,0,0,38,0,0,112,2,25,0,1,0,16,126,0,2,1,46,1
sports,8,4,16,22,7,2,8,11,0,0,15,0,0,2,1,11,0,10,0,8,17,0,9,25,13,10
technology,72,1,3,34,0,0,4,66,1,0,18,0,0,12,2,8,0,9,0,46,38,0,1,24,52,10
educational,44,2,8,20,0,2,3,68,0,0,18,1,1,4,0,9,0,7,0,33,21,0,8,20,23,3
religion,11,0,0,3,0,1,2,33,0,0,1,1,0,2,3,2,0,8,0,75,8,0,1,33,72,3
travel,0,0,2,4,3,0,3,3,0,0,3,0,0,0,1,5,0,7,0,0,2,0,4,7,1,5
music_and_entertainment,4,3,9,5,13,10,13,10,0,0,20,5,0,1,8,19,0,47,0,13,7,3,18,64,15,34
the_environment,0,0,0,1,1,1,1,15,0,0,4,0,0,0,4,1,0,2,0,7,2,4,0,3,0,3
school_and_education,10,0,0,1,0,0,1,16,0,0,3,0,0,0,0,4,0,1,0,3,5,0,1,2,5,1
health,5,0,5,5,5,0,10,6,0,0,10,1,0,0,1,10,0,1,0,1,7,0,9,3,8,0
citizen_journalism,1,1,9,11,1,0,1,25,0,0,7,1,1,20,0,20,0,2,0,4,6,0,4,3,14,0
personal_or_auto-biographical,2,0,1,0,2,1,2,4,0,0,1,0,0,0,1,2,0,8,0,2,3,0,0,18,1,3
food_and_drink,1,0,7,3,3,0,6,4,0,0,8,0,0,1,2,6,0,4,0,3,8,0,2,6,10,4
conferences_and_other_events,0,0,1,3,1,0,0,10,0,0,3,0,0,2,0,3,0,5,0,15,6,0,1,10,11,2
gaming,2,2,8,1,4,0,6,6,0,0,8,5,0,0,5,12,2,12,0,3,5,1,8,4,3,13
literature,5,0,0,1,0,0,0,0,0,0,1,0,0,24,1,0,0,1,0,14,17,0,0,2,14,3
business,6,0,1,1,0,1,2,16,0,0,3,0,0,6,0,6,0,2,0,19,4,0,0,8,9,1
the_mainstream_media,8,0,2,7,1,0,0,4,0,0,3,0,0,2,1,2,0,5,0,12,14,0,0,5,17,4
autos_and_vehicles,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
comedy,3,2,9,8,3,7,10,27,0,0,9,3,0,0,7,9,0,5,0,13,7,0,8,0,4,9
default_category,39,4,31,39,18,4,15,53,0,1,43,5,0,33,10,38,0,29,1,63,59,2,20,66,59,28
videoblogging,6,2,13,8,2,3,3,19,0,0,27,2,1,6,5,13,0,25,0,12,17,0,11,25,15,27
documentary,1,0,7,2,9,2,3,6,0,0,4,1,0,3,7,11,0,8,0,1,10,0,5,9,10,9
