category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,6,7,4,2,9,12,0,8,7,14,3,5,5,0,0,0,7,6,0,0,2,1,5,2,3,7,9,8,0,1
movies_and_television,14,14,5,4,8,11,3,5,23,15,1,7,15,0,1,0,26,8,0,1,1,0,3,44,7,16,19,17,0,1
web_development_and_sites,4,1,0,2,3,0,0,1,2,0,9,1,2,0,0,0,0,0,0,0,0,1,0,2,7,0,1,1,0,0
politics,16,44,2,40,110,1,129,0,110,8,22,0,13,0,0,0,4,2,0,0,0,0,3,42,11,9,20,6,0,0
sports,9,9,1,5,7,5,3,7,18,15,7,2,6,0,0,0,11,7,0,0,4,0,24,18,10,7,10,14,0,0
technology,45,58,2,5,43,12,11,1,39,2,49,0,6,0,0,0,9,0,1,0,1,0,24,15,59,4,8,7,0,0
educational,32,21,0,4,16,10,3,8,20,5,52,2,7,0,1,0,3,0,0,0,2,0,15,16,61,3,8,5,0,1
religion,76,71,3,0,11,13,0,1,4,0,2,1,0,0,0,0,3,0,0,0,0,0,30,1,34,2,2,4,0,1
travel,0,0,1,0,1,9,0,4,4,2,1,0,4,0,0,0,4,3,0,0,0,0,5,3,3,2,3,1,0,0
music_and_entertainment,10,9,8,2,4,55,3,15,5,8,3,10,15,0,0,0,29,13,0,0,3,3,46,13,7,13,12,30,0,5
the_environment,7,0,4,0,1,3,0,0,2,0,0,1,1,0,0,0,2,1,0,0,0,4,1,4,15,1,0,2,0,0
school_and_education,3,4,0,1,4,1,0,0,1,0,12,0,1,0,0,0,1,0,0,0,0,0,1,2,15,2,4,1,0,0
health,1,6,1,0,6,4,0,9,6,5,2,0,4,0,0,0,0,5,0,0,0,0,2,8,6,8,10,3,0,1
citizen_journalism,7,12,0,0,5,1,26,4,9,4,0,0,20,0,1,0,1,1,0,0,1,0,4,7,17,1,8,1,0,1
personal_or_auto-biographical,2,0,1,1,2,12,0,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,13,1,5,2,2,2,0,0
food_and_drink,4,5,2,2,1,7,0,2,6,3,2,0,6,0,0,0,5,3,0,0,0,0,6,6,4,6,5,3,0,0
conferences_and_other_events,12,8,0,2,4,8,1,1,3,0,1,0,3,0,0,0,2,1,0,0,0,0,12,2,9,0,2,2,0,0
gaming,3,3,5,0,4,11,0,8,1,6,1,0,8,0,0,0,10,4,0,1,2,1,1,6,6,6,8,9,1,5
literature,10,10,1,17,6,3,23,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,2,0,0
business,21,7,0,1,6,2,7,0,1,2,4,1,4,0,0,0,1,0,0,0,0,0,8,2,14,1,3,0,0,0
the_mainstream_media,12,17,1,0,17,6,2,0,8,1,0,0,1,0,0,0,3,1,0,0,0,0,5,1,5,0,4,3,0,0
autos_and_vehicles,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
comedy,12,4,7,1,6,1,0,7,7,7,0,7,4,0,0,0,10,3,0,0,2,0,1,8,27,11,7,8,0,3
default_category,65,43,10,21,38,27,32,20,38,25,31,4,36,1,0,1,25,16,0,0,4,2,62,39,46,11,22,36,0,5
videoblogging,13,12,5,6,13,15,4,10,9,7,6,3,11,0,1,0,26,2,0,0,2,0,27,18,14,3,16,17,0,2
documentary,2,8,7,3,3,9,3,5,2,4,1,2,7,0,0,0,7,9,0,0,0,0,7,5,5,3,7,8,0,1
