category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,1,1,3,4,3,11,0,4,8,7,1,1,3,1,1,4,1,5,0,0,0,6,11,12,1,3,1,0,0,2,5,4,0,3,1,1,0,0,4,7,3,0,5,4,1
movies_and_television,2,1,7,2,13,10,1,5,10,13,3,28,1,3,2,6,6,21,0,0,0,15,6,14,0,5,10,1,0,3,12,3,0,6,0,2,0,0,2,31,7,0,13,5,0
web_development_and_sites,1,0,1,0,3,0,0,1,0,0,2,0,8,1,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,1,0,2,3,0,0,0,0,0,1,1,1,0,1,2,0
politics,0,0,3,1,52,0,0,5,34,6,35,34,13,32,2,0,5,10,0,0,0,0,0,3,0,0,11,0,0,6,3,90,2,2,0,2,73,31,65,7,15,0,17,33,0
sports,0,4,6,20,10,4,0,4,5,5,6,8,5,2,1,2,3,7,0,0,0,7,4,13,0,3,10,0,0,1,13,5,0,6,0,1,0,1,8,10,4,0,10,11,0
technology,0,0,1,19,17,12,0,21,33,4,4,11,45,11,2,0,10,8,0,0,0,6,0,2,0,2,33,0,1,12,3,29,20,0,0,9,2,4,25,9,3,0,4,38,1
educational,1,1,7,9,8,6,1,18,11,3,3,12,41,2,0,2,4,5,0,0,0,3,1,4,0,2,15,0,0,12,6,15,39,0,0,10,1,3,11,4,3,0,8,23,1
religion,1,0,1,23,1,9,0,49,11,2,0,0,1,2,2,1,72,1,0,0,0,2,0,0,0,0,9,0,0,11,5,7,6,1,0,31,0,0,3,2,0,0,2,4,0
travel,0,0,4,4,3,8,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,4,3,2,0,3,2,0,0,0,2,1,0,1,0,0,0,0,1,2,1,0,2,2,0
music_and_entertainment,5,2,10,39,3,52,1,5,6,8,2,3,3,1,5,8,2,15,0,0,0,27,14,6,2,15,3,0,0,4,26,3,0,12,2,6,0,1,2,11,1,0,7,8,1
the_environment,0,0,0,1,0,2,0,4,0,1,0,3,0,0,3,1,0,0,0,0,0,3,1,0,4,0,16,0,0,1,2,1,1,1,0,0,0,0,0,3,1,0,0,0,0
school_and_education,0,0,1,1,0,1,0,2,1,1,1,1,11,0,0,0,1,2,0,0,0,1,0,0,0,1,14,0,0,1,2,2,1,0,0,0,0,0,2,0,0,0,3,3,0
health,1,0,10,1,4,3,0,1,3,7,0,6,2,0,1,0,1,5,0,0,0,0,4,5,0,0,5,0,0,0,3,4,0,1,0,0,0,0,0,2,4,0,7,7,0
citizen_journalism,1,1,4,3,7,1,0,2,2,1,0,2,0,5,0,0,1,6,0,1,0,0,0,4,0,0,17,0,0,0,1,3,0,1,0,0,15,7,1,5,12,0,13,15,0
personal_or_auto-biographical,1,0,0,9,0,10,0,0,0,2,1,1,2,0,1,0,0,1,0,0,0,2,2,0,0,0,5,0,0,4,3,2,0,0,0,0,0,0,0,1,1,0,1,2,0
food_and_drink,0,0,4,0,1,8,0,2,3,4,2,3,0,1,2,0,3,3,0,0,0,3,0,2,0,1,2,0,0,4,2,0,0,3,0,1,0,0,2,7,5,0,5,5,0
conferences_and_other_events,0,0,1,7,4,7,0,9,1,0,2,2,1,2,0,0,4,2,0,0,0,0,1,0,0,0,5,0,0,7,2,4,2,0,0,2,0,0,0,1,3,0,0,4,0
gaming,1,1,4,1,1,7,0,1,3,6,0,4,1,0,4,0,1,5,0,0,0,9,6,5,1,5,1,1,0,2,7,1,5,3,4,0,0,0,0,7,3,1,6,2,1
literature,0,0,0,0,0,1,0,1,6,0,13,1,3,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,1,0,0,5,0,0,0,9,0
business,0,0,0,5,1,2,0,14,1,1,1,1,4,0,0,1,1,3,0,0,0,0,0,1,0,0,12,0,0,2,0,6,2,0,0,2,5,2,0,1,4,0,2,11,0
the_mainstream_media,0,0,0,5,5,4,0,9,15,0,0,0,0,2,0,0,3,3,0,0,0,1,1,1,0,0,5,0,0,0,1,8,0,1,0,1,1,0,5,3,1,0,2,10,0
autos_and_vehicles,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
comedy,4,1,8,0,6,1,0,4,3,9,0,3,0,0,5,6,2,5,0,0,0,8,2,6,0,1,1,0,0,4,5,4,0,4,0,30,0,0,2,6,3,0,7,2,1
default_category,4,4,13,45,30,26,0,47,17,9,17,24,23,23,7,3,10,21,1,0,1,15,15,18,2,17,22,0,0,21,21,27,17,13,2,5,8,13,14,24,16,0,24,41,0
videoblogging,4,0,8,23,7,12,0,8,10,2,5,7,3,5,5,1,1,22,0,1,0,19,4,5,0,7,12,0,0,1,17,5,3,1,0,1,1,1,1,16,5,0,4,13,2
documentary,1,0,3,6,1,6,0,1,5,3,3,2,0,2,5,1,1,3,0,0,0,4,8,3,0,2,5,0,0,1,4,2,1,5,1,0,0,0,1,9,3,0,9,7,0
