category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,0,6,11,1,1,2,2,0,7,0,0,1,1,8,2,7,0,1,1,1,0,4,5,1,6,2,1,0,2,0,3,0,3,4,0,3,3,8,4,0,2,0,2,1,0,1,3,2,0,3,4,0,3,0,3,4,1,2,1,0
movies_and_television,0,2,11,1,4,0,25,0,8,3,2,4,32,3,10,8,0,0,0,13,0,11,17,1,6,1,1,0,1,0,0,1,3,12,5,9,2,11,1,0,7,0,2,2,1,0,5,4,1,5,13,0,4,2,6,3,0,3,3,0
web_development_and_sites,0,0,0,1,0,0,0,1,0,3,1,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,2,2,1,1,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,1,1,6,0,1,1
politics,0,1,8,19,4,2,15,0,0,1,1,12,23,0,7,1,28,27,0,22,71,5,1,0,0,0,6,0,0,0,62,0,0,4,10,12,56,25,3,0,0,0,22,1,0,17,0,8,39,2,1,0,0,2,5,15,3,12,25,14
sports,0,4,11,5,3,16,8,1,8,3,1,0,2,5,9,7,1,0,0,4,0,5,6,0,2,2,2,0,4,0,2,0,0,5,8,4,7,2,4,0,6,0,3,1,0,6,4,5,2,5,4,0,2,1,6,6,1,4,2,0
technology,0,8,1,3,8,5,6,2,7,26,5,12,1,1,28,4,3,4,0,10,2,4,4,0,0,13,3,0,1,0,16,0,0,4,8,4,15,11,11,1,11,0,14,8,0,9,2,7,32,0,2,0,0,2,0,43,19,2,4,15
educational,0,5,4,4,3,7,2,17,2,23,3,3,2,3,18,4,1,0,0,8,1,4,1,1,0,4,5,0,2,0,5,0,0,2,7,6,5,6,7,0,5,0,5,10,1,11,2,7,9,0,1,0,2,0,6,13,38,2,2,16
religion,0,10,0,0,66,17,5,6,2,7,1,3,0,1,8,6,0,0,0,1,0,2,1,1,0,9,0,0,0,0,1,0,1,2,0,0,0,8,47,0,0,0,2,31,0,1,0,0,3,1,1,0,0,2,0,7,0,1,1,4
travel,0,2,1,0,0,2,1,0,4,1,0,0,0,2,2,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,4,0,0,0,0,0,1,3,0,1,5,0,0,1,3,0,0,0,0,0
music_and_entertainment,0,35,2,0,2,21,2,1,22,0,1,3,3,11,2,25,0,1,1,3,0,24,16,5,5,13,3,0,3,0,0,0,3,8,4,2,0,3,4,0,10,2,3,6,0,1,11,3,2,11,12,0,7,5,11,2,0,1,2,4
the_environment,0,1,0,0,0,1,0,0,1,13,0,0,1,0,5,2,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,3,1,0,1,1,0,1,4,0,1,0,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0
school_and_education,0,0,0,0,1,0,0,1,1,10,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,2,0,0,2,0,1,4,0,2,0,0,0,1,6,4,2,1,1
health,0,2,5,0,1,0,0,0,0,4,0,2,0,6,1,1,0,0,0,7,0,0,1,0,5,0,0,0,0,0,1,0,1,7,1,4,4,1,0,0,6,0,2,0,0,5,0,2,2,0,3,0,0,1,4,2,0,6,0,0
citizen_journalism,0,1,4,2,1,0,5,0,0,2,1,18,4,2,3,0,7,4,0,3,14,1,2,1,0,3,2,0,1,0,1,0,0,1,1,18,1,5,1,0,4,0,2,0,1,0,0,0,0,1,2,0,0,0,2,1,0,5,0,4
personal_or_auto-biographical,0,5,0,0,0,3,0,0,3,1,0,1,0,0,2,5,0,0,0,1,0,1,0,0,2,9,1,0,0,0,0,0,1,1,0,0,0,1,1,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,1,1,0
food_and_drink,0,2,3,1,2,1,2,0,2,1,0,0,1,1,0,3,0,0,0,3,0,1,2,0,2,1,1,0,0,0,1,0,0,4,2,4,1,1,3,0,8,0,1,1,0,1,1,5,0,2,3,0,0,1,3,2,0,2,1,2
conferences_and_other_events,0,2,0,2,2,5,0,0,0,4,1,3,2,1,4,3,0,0,0,2,0,2,0,0,1,4,1,0,0,0,2,0,0,0,0,2,2,2,8,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,5,1,1,1,2
gaming,0,6,5,1,1,1,2,0,8,5,0,0,3,5,0,5,0,0,1,2,0,6,1,4,3,1,4,0,1,0,0,1,1,6,3,4,0,4,1,0,0,1,1,0,0,1,2,0,0,2,5,1,0,4,3,0,0,2,0,3
literature,0,0,0,6,0,1,0,0,1,0,5,6,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,8,0,0,3,0,2,1,0,0,0,0,1,0,2,0,0,13,9
